,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
3044,7.0,4.0,125.0,26440.0,23400.0,182.0,234.0,112.991452991453,19.230769230769234,45.0,74.0
3045,7.0,4.0,126.0,23180.0,21000.0,182.0,210.0,110.38095238095238,20.0,42.0,75.0
3046,7.0,4.0,127.0,22850.0,19300.0,182.0,193.0,118.39378238341969,20.72538860103627,40.0,76.0
3047,7.0,4.0,128.0,23420.0,19700.0,182.0,197.0,118.8832487309645,21.319796954314718,42.0,77.0
3155,7.0,5.0,137.0,21820.0,16700.0,182.0,167.0,130.65868263473058,22.75449101796407,38.0,86.0
3255,7.0,6.0,138.0,27750.0,22400.0,182.0,224.0,123.88392857142858,21.428571428571427,48.0,87.0
3261,7.0,6.0,144.0,21070.0,17800.0,182.0,178.0,118.37078651685393,21.910112359550567,39.0,93.0
3264,7.0,6.0,147.0,20040.0,16300.0,182.0,163.0,122.94478527607363,22.699386503067483,37.0,96.0
5604,12.0,5.0,111.0,86170.0,77600.0,86.0,776.0,111.04381443298969,5.541237113402062,43.0,60.0
5605,12.0,5.0,112.0,87840.0,79400.0,86.0,794.0,110.62972292191436,5.415617128463477,43.0,61.0
5825,12.0,7.0,134.0,25020.0,22000.0,86.0,220.0,113.72727272727272,9.545454545454547,21.0,83.0
5988,13.0,4.0,99.0,247610.0,217600.0,107.0,2176.0,113.79136029411764,3.6764705882352944,80.0,48.0
5989,13.0,4.0,100.0,227820.0,198900.0,107.0,1989.0,114.53996983408749,3.7204625439919563,74.0,49.0
5995,13.0,4.0,106.0,154670.0,125600.0,107.0,1256.0,123.14490445859873,4.3789808917197455,55.0,55.0
5996,13.0,4.0,107.0,152030.0,120100.0,107.0,1201.0,126.58617818484596,4.579517069109076,55.0,56.0
5997,13.0,4.0,108.0,139620.0,108900.0,107.0,1089.0,128.20936639118455,4.591368227731863,50.0,57.0
5998,13.0,4.0,109.0,131010.0,94000.0,107.0,940.0,139.37234042553192,4.893617021276596,46.0,58.0
5999,13.0,4.0,110.0,106290.0,86700.0,107.0,867.0,122.59515570934255,4.498269896193771,39.0,59.0
6000,13.0,4.0,111.0,102430.0,75700.0,107.0,757.0,135.31043593130778,4.7556142668428,36.0,60.0
6001,13.0,4.0,112.0,84740.0,59800.0,107.0,598.0,141.7056856187291,4.6822742474916375,28.0,61.0
6002,13.0,4.0,113.0,81940.0,59000.0,107.0,590.0,138.88135593220338,4.40677966101695,26.0,62.0
6003,13.0,4.0,114.0,75250.0,47100.0,107.0,471.0,159.7664543524416,5.520169851380043,26.0,63.0
6094,13.0,5.0,106.0,155500.0,132400.0,107.0,1324.0,117.44712990936556,4.154078549848943,55.0,55.0
6095,13.0,5.0,107.0,162860.0,136400.0,107.0,1364.0,119.39882697947216,4.325513196480939,59.0,56.0
6096,13.0,5.0,108.0,155080.0,121000.0,107.0,1210.0,128.16528925619838,4.545454545454546,55.0,57.0
6097,13.0,5.0,109.0,141080.0,112200.0,107.0,1122.0,125.73975044563281,4.45632798573975,50.0,58.0
6098,13.0,5.0,110.0,120240.0,100800.0,107.0,1008.0,119.28571428571428,4.464285714285714,45.0,59.0
6099,13.0,5.0,111.0,114260.0,98300.0,107.0,983.0,116.23601220752798,4.27263479145473,42.0,60.0
6100,13.0,5.0,112.0,125180.0,86300.0,107.0,863.0,145.0521436848204,4.982618771726536,43.0,61.0
6101,13.0,5.0,113.0,115080.0,83300.0,107.0,833.0,138.15126050420167,4.801920768307324,40.0,62.0
6102,13.0,5.0,114.0,104230.0,75800.0,107.0,758.0,137.50659630606864,4.749340369393139,36.0,63.0
6103,13.0,5.0,115.0,89290.0,65400.0,107.0,654.0,136.5290519877676,4.434250764525994,29.0,64.0
6104,13.0,5.0,116.0,79410.0,54800.0,107.0,548.0,144.9087591240876,5.109489051094892,28.0,65.0
6105,13.0,5.0,117.0,61630.0,49300.0,107.0,493.0,125.01014198782958,4.86815415821501,24.0,66.0
6106,13.0,5.0,118.0,57220.0,41300.0,107.0,413.0,138.54721549636804,5.5690072639225185,23.0,67.0
6107,13.0,5.0,119.0,67860.0,35300.0,107.0,353.0,192.2379603399433,6.515580736543909,23.0,68.0
6193,13.0,6.0,106.0,164540.0,146100.0,107.0,1461.0,112.621492128679,3.969883641341547,58.0,55.0
6194,13.0,6.0,107.0,170090.0,139900.0,107.0,1399.0,121.57969978556112,4.288777698355968,60.0,56.0
6195,13.0,6.0,108.0,163430.0,132100.0,107.0,1321.0,123.71688115064345,4.390613171839516,58.0,57.0
6196,13.0,6.0,109.0,157460.0,128900.0,107.0,1289.0,122.15671062839412,4.422032583397983,57.0,58.0
6197,13.0,6.0,110.0,144390.0,117200.0,107.0,1172.0,123.19965870307169,4.436860068259387,52.0,59.0
6199,13.0,6.0,112.0,130140.0,104600.0,107.0,1046.0,124.41682600382408,4.302103250478012,45.0,61.0
6200,13.0,6.0,113.0,109960.0,99500.0,107.0,995.0,110.51256281407036,4.1206030150753765,41.0,62.0
6201,13.0,6.0,114.0,124990.0,91300.0,107.0,913.0,136.90032858707556,4.70974808324206,43.0,63.0
6202,13.0,6.0,115.0,101750.0,84900.0,107.0,849.0,119.84687868080096,4.2402826855123665,36.0,64.0
6203,13.0,6.0,116.0,105190.0,75300.0,107.0,753.0,139.6945551128818,4.7808764940239055,36.0,65.0
6204,13.0,6.0,117.0,100550.0,66800.0,107.0,668.0,150.52395209580837,5.089820359281437,34.0,66.0
6205,13.0,6.0,118.0,75760.0,55300.0,107.0,553.0,136.998191681736,5.063291139240507,28.0,67.0
6206,13.0,6.0,119.0,85250.0,54600.0,107.0,546.0,156.13553113553112,4.945054945054945,27.0,68.0
6207,13.0,6.0,120.0,66200.0,47200.0,107.0,472.0,140.25423728813558,5.084745762711865,24.0,69.0
6208,13.0,6.0,121.0,59110.0,41300.0,107.0,413.0,143.12348668280873,5.326876513317192,22.0,70.0
6209,13.0,6.0,122.0,61270.0,38500.0,107.0,385.0,159.14285714285714,6.233766233766234,24.0,71.0
6280,13.0,7.0,94.0,282720.0,249600.0,107.0,2496.0,113.26923076923076,3.525641025641025,88.0,43.0
6293,13.0,7.0,107.0,169900.0,144300.0,107.0,1443.0,117.74081774081776,4.227304227304227,61.0,56.0
6294,13.0,7.0,108.0,167090.0,138100.0,107.0,1381.0,120.99203475742216,4.272266473569877,59.0,57.0
6295,13.0,7.0,109.0,162170.0,134500.0,107.0,1345.0,120.5724907063197,4.237918215613383,57.0,58.0
6296,13.0,7.0,110.0,145160.0,127000.0,107.0,1270.0,114.2992125984252,4.2519685039370065,54.0,59.0
6297,13.0,7.0,111.0,139270.0,125800.0,107.0,1258.0,110.7074721780604,4.0540540540540535,51.0,60.0
6298,13.0,7.0,112.0,141050.0,111400.0,107.0,1114.0,126.6157989228007,4.488330341113107,50.0,61.0
6299,13.0,7.0,113.0,141020.0,113200.0,107.0,1132.0,124.57597173144876,4.5053003533568905,51.0,62.0
6300,13.0,7.0,114.0,138200.0,103600.0,107.0,1036.0,133.3976833976834,4.729729729729731,49.0,63.0
6301,13.0,7.0,115.0,117020.0,99000.0,107.0,990.0,118.20202020202021,4.4444444444444455,44.0,64.0
6302,13.0,7.0,116.0,110350.0,86500.0,107.0,865.0,127.57225433526013,4.624277456647398,40.0,65.0
6303,13.0,7.0,117.0,112200.0,82100.0,107.0,821.0,136.6626065773447,4.8721071863580985,40.0,66.0
6304,13.0,7.0,118.0,79620.0,70600.0,107.0,706.0,112.77620396600568,4.2492917847025495,30.0,67.0
6305,13.0,7.0,119.0,94080.0,66300.0,107.0,663.0,141.90045248868782,4.826546003016592,32.0,68.0
6306,13.0,7.0,120.0,82520.0,63200.0,107.0,632.0,130.56962025316457,4.746835443037975,30.0,69.0
6307,13.0,7.0,121.0,73380.0,56300.0,107.0,563.0,130.33747779751332,4.6181172291296635,26.0,70.0
6308,13.0,7.0,122.0,87720.0,50600.0,107.0,506.0,173.3596837944664,5.731225296442688,29.0,71.0
6309,13.0,7.0,123.0,70870.0,45300.0,107.0,453.0,156.4459161147903,5.518763796909492,25.0,72.0
6310,13.0,7.0,124.0,67030.0,46000.0,107.0,460.0,145.7173913043478,5.434782608695652,25.0,73.0
6378,13.0,8.0,93.0,287970.0,250500.0,107.0,2505.0,114.95808383233532,3.6327345309381234,91.0,42.0
