,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
3045,7.0,4.0,126.0,23230.0,20700.0,182.0,207.0,112.22222222222223,20.28985507246377,42.0,75.0
3046,7.0,4.0,127.0,22250.0,19100.0,182.0,191.0,116.49214659685863,21.46596858638744,41.0,76.0
3047,7.0,4.0,128.0,21820.0,19200.0,182.0,192.0,113.64583333333331,20.3125,39.0,77.0
3048,7.0,4.0,129.0,19650.0,15900.0,182.0,159.0,123.58490566037734,22.641509433962263,36.0,78.0
3049,7.0,4.0,130.0,18160.0,13400.0,182.0,134.0,135.52238805970148,24.626865671641788,33.0,79.0
3050,7.0,4.0,131.0,15610.0,12500.0,182.0,125.0,124.88,23.200000000000006,29.0,80.0
3159,7.0,5.0,141.0,14890.0,12800.0,182.0,128.0,116.328125,22.65625,29.0,90.0
3160,7.0,5.0,142.0,15150.0,11500.0,182.0,115.0,131.7391304347826,25.217391304347824,29.0,91.0
3255,7.0,6.0,138.0,27750.0,22900.0,182.0,229.0,121.17903930131004,20.960698689956327,48.0,87.0
3256,7.0,6.0,139.0,23390.0,20100.0,182.0,201.0,116.3681592039801,20.8955223880597,42.0,88.0
3257,7.0,6.0,140.0,23490.0,20300.0,182.0,203.0,115.71428571428572,20.19704433497537,41.0,89.0
3258,7.0,6.0,141.0,25360.0,22300.0,182.0,223.0,113.7219730941704,20.62780269058296,46.0,90.0
3259,7.0,6.0,142.0,22980.0,20100.0,182.0,201.0,114.32835820895521,20.8955223880597,42.0,91.0
3260,7.0,6.0,143.0,23320.0,17400.0,182.0,174.0,134.02298850574712,22.988505747126432,40.0,92.0
3261,7.0,6.0,144.0,21350.0,17500.0,182.0,175.0,122.0,22.285714285714285,39.0,93.0
3262,7.0,6.0,145.0,20570.0,18300.0,182.0,183.0,112.40437158469943,20.76502732240437,38.0,94.0
3263,7.0,6.0,146.0,18950.0,14600.0,182.0,146.0,129.79452054794518,23.28767123287671,34.0,95.0
3264,7.0,6.0,147.0,19660.0,16100.0,182.0,161.0,122.111801242236,22.360248447204967,36.0,96.0
3363,7.0,7.0,147.0,25320.0,21000.0,182.0,210.0,120.57142857142857,21.904761904761905,46.0,96.0
5825,12.0,7.0,134.0,24040.0,21600.0,86.0,216.0,111.29629629629628,8.796296296296298,19.0,83.0
5826,12.0,7.0,135.0,22660.0,18600.0,86.0,186.0,121.8279569892473,9.677419354838712,18.0,84.0
5827,12.0,7.0,136.0,21030.0,17800.0,86.0,178.0,118.1460674157303,9.550561797752808,17.0,85.0
5995,13.0,4.0,106.0,153290.0,123500.0,107.0,1235.0,124.12145748987857,4.37246963562753,54.0,55.0
5996,13.0,4.0,107.0,149410.0,117700.0,107.0,1177.0,126.94137638062872,4.587935429056925,54.0,56.0
5997,13.0,4.0,108.0,141670.0,106700.0,107.0,1067.0,132.77413308341144,4.686035613870666,50.0,57.0
5998,13.0,4.0,109.0,124640.0,93200.0,107.0,932.0,133.73390557939913,4.721030042918455,44.0,58.0
5999,13.0,4.0,110.0,110450.0,84100.0,107.0,841.0,131.33174791914388,4.756242568370987,40.0,59.0
6000,13.0,4.0,111.0,102430.0,77000.0,107.0,770.0,133.025974025974,4.675324675324675,36.0,60.0
6001,13.0,4.0,112.0,87230.0,59200.0,107.0,592.0,147.34797297297297,5.067567567567568,30.0,61.0
6002,13.0,4.0,113.0,86560.0,58100.0,107.0,581.0,148.98450946643715,4.647160068846817,27.0,62.0
6003,13.0,4.0,114.0,72920.0,45600.0,107.0,456.0,159.91228070175438,5.482456140350877,25.0,63.0
6004,13.0,4.0,115.0,61450.0,39100.0,107.0,391.0,157.1611253196931,5.3708439897698215,21.0,64.0
6005,13.0,4.0,116.0,44950.0,28500.0,107.0,285.0,157.71929824561403,6.315789473684211,18.0,65.0
6094,13.0,5.0,106.0,161640.0,133100.0,107.0,1331.0,121.44252441773102,4.2824943651389935,57.0,55.0
6095,13.0,5.0,107.0,154970.0,134500.0,107.0,1345.0,115.21933085501858,4.163568773234201,56.0,56.0
6096,13.0,5.0,108.0,157330.0,120300.0,107.0,1203.0,130.78137988362428,4.655029093931837,56.0,57.0
6097,13.0,5.0,109.0,140490.0,110400.0,107.0,1104.0,127.2554347826087,4.619565217391304,51.0,58.0
6098,13.0,5.0,110.0,123220.0,102100.0,107.0,1021.0,120.68560235063663,4.407443682664055,45.0,59.0
6099,13.0,5.0,111.0,115310.0,99200.0,107.0,992.0,116.23991935483869,4.334677419354839,43.0,60.0
6100,13.0,5.0,112.0,121740.0,88200.0,107.0,882.0,138.02721088435374,4.648526077097506,41.0,61.0
6101,13.0,5.0,113.0,111050.0,81800.0,107.0,818.0,135.75794621026895,4.645476772616137,38.0,62.0
6102,13.0,5.0,114.0,104230.0,74600.0,107.0,746.0,139.71849865951742,4.825737265415548,36.0,63.0
6103,13.0,5.0,115.0,89290.0,65200.0,107.0,652.0,136.9478527607362,4.447852760736196,29.0,64.0
6104,13.0,5.0,116.0,78040.0,54800.0,107.0,548.0,142.4087591240876,5.109489051094892,28.0,65.0
6105,13.0,5.0,117.0,62830.0,49800.0,107.0,498.0,126.16465863453816,5.020080321285142,25.0,66.0
6106,13.0,5.0,118.0,59300.0,39200.0,107.0,392.0,151.27551020408163,5.867346938775509,23.0,67.0
6107,13.0,5.0,119.0,63360.0,34700.0,107.0,347.0,182.5936599423631,6.340057636887607,22.0,68.0
6108,13.0,5.0,120.0,46860.0,28700.0,107.0,287.0,163.2752613240418,6.2717770034843205,18.0,69.0
6109,13.0,5.0,121.0,43810.0,24300.0,107.0,243.0,180.2880658436214,7.4074074074074066,18.0,70.0
6193,13.0,6.0,106.0,164750.0,145600.0,107.0,1456.0,113.15247252747255,3.9835164835164827,58.0,55.0
6194,13.0,6.0,107.0,159760.0,137400.0,107.0,1374.0,116.27365356623,4.148471615720524,57.0,56.0
6195,13.0,6.0,108.0,165360.0,132300.0,107.0,1323.0,124.98866213151926,4.459561602418747,59.0,57.0
6196,13.0,6.0,109.0,157460.0,128100.0,107.0,1281.0,122.91959406713505,4.4496487119437935,57.0,58.0
6197,13.0,6.0,110.0,144390.0,116500.0,107.0,1165.0,123.93991416309014,4.4635193133047215,52.0,59.0
