,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,4.0,51.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
1,1.0,4.0,52.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
2,1.0,4.0,53.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
3,1.0,4.0,54.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
4,1.0,4.0,55.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
5,1.0,4.0,56.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
6,1.0,4.0,57.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
7,1.0,4.0,58.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
8,1.0,4.0,59.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
9,1.0,4.0,60.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
10,1.0,4.0,61.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
11,1.0,4.0,62.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
12,1.0,4.0,63.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
13,1.0,4.0,64.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
14,1.0,4.0,65.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
15,1.0,4.0,66.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
16,1.0,4.0,67.0,360280.0,417100.0,327.0,4171.0,86.37736753776073,7.839846559578039,327.0
17,1.0,4.0,68.0,360280.0,417000.0,327.0,4170.0,86.39808153477219,7.841726618705036,327.0
18,1.0,4.0,69.0,360280.0,416700.0,327.0,4167.0,86.46028317734581,7.847372210223182,327.0
19,1.0,4.0,70.0,360280.0,416900.0,327.0,4169.0,86.41880546893739,7.843607579755337,327.0
20,1.0,4.0,71.0,360280.0,416700.0,327.0,4167.0,86.46028317734581,7.847372210223182,327.0
21,1.0,4.0,72.0,360280.0,416300.0,327.0,4163.0,86.54335815517655,7.854912322844103,327.0
22,1.0,4.0,73.0,360280.0,415900.0,327.0,4159.0,86.62659293099303,7.86246693916807,327.0
23,1.0,4.0,74.0,360280.0,415400.0,327.0,4154.0,86.73086181993258,7.871930669234473,327.0
24,1.0,4.0,75.0,360280.0,413900.0,327.0,4139.0,87.04517999516791,7.900459048079246,327.0
25,1.0,4.0,76.0,360280.0,412500.0,327.0,4125.0,87.34060606060606,7.927272727272728,327.0
26,1.0,4.0,77.0,356170.0,408500.0,327.0,4085.0,87.18971848225215,7.980416156670747,326.0
27,1.0,4.0,78.0,352980.0,407000.0,327.0,4070.0,86.72727272727273,7.96068796068796,324.0
28,1.0,4.0,79.0,352980.0,402000.0,327.0,4020.0,87.80597014925374,8.059701492537313,324.0
29,1.0,4.0,80.0,347690.0,398300.0,327.0,3983.0,87.29349736379613,8.084358523725834,322.0
30,1.0,4.0,81.0,343100.0,395200.0,327.0,3952.0,86.8168016194332,8.12246963562753,321.0
31,1.0,4.0,82.0,339210.0,389000.0,327.0,3890.0,87.20051413881748,8.226221079691516,320.0
32,1.0,4.0,83.0,340810.0,381700.0,327.0,3817.0,89.28739848048205,8.357348703170029,319.0
33,1.0,4.0,84.0,332220.0,374200.0,327.0,3742.0,88.78140032068413,8.444681988241582,316.0
34,1.0,4.0,85.0,320030.0,363100.0,327.0,3631.0,88.13825392453869,8.565133572018729,311.0
35,1.0,4.0,86.0,307880.0,353700.0,327.0,3537.0,87.04551880124399,8.62312694373763,305.0
36,1.0,4.0,87.0,300070.0,345400.0,327.0,3454.0,86.87608569774174,8.801389693109437,304.0
37,1.0,4.0,88.0,287040.0,335100.0,327.0,3351.0,85.65801253357208,8.89286780065652,298.0
38,1.0,4.0,89.0,276170.0,322800.0,327.0,3228.0,85.5545229244114,8.983890954151178,290.0
39,1.0,4.0,90.0,272220.0,308600.0,327.0,3086.0,88.21127673363578,9.364873622812702,289.0
40,1.0,4.0,91.0,248590.0,291700.0,327.0,2917.0,85.22111758656153,9.496057593417895,277.0
41,1.0,4.0,92.0,249250.0,282000.0,327.0,2820.0,88.38652482269504,9.645390070921986,272.0
42,1.0,4.0,93.0,229450.0,263700.0,327.0,2637.0,87.01175578308684,9.897610921501707,261.0
43,1.0,4.0,94.0,204610.0,244800.0,327.0,2448.0,83.58251633986929,9.88562091503268,242.0
44,1.0,4.0,95.0,197960.0,230600.0,327.0,2306.0,85.84562012142237,10.190806591500435,235.0
45,1.0,4.0,96.0,189120.0,207000.0,327.0,2070.0,91.36231884057972,10.869565217391305,225.0
46,1.0,4.0,97.0,179060.0,191000.0,327.0,1910.0,93.74869109947645,11.30890052356021,216.0
47,1.0,4.0,98.0,151040.0,176800.0,327.0,1768.0,85.42986425339366,10.916289592760181,193.0
48,1.0,4.0,99.0,138610.0,159900.0,327.0,1599.0,86.68542839274546,11.31957473420888,181.0
49,1.0,4.0,100.0,129250.0,142000.0,327.0,1420.0,91.02112676056338,11.901408450704224,169.0
50,1.0,4.0,101.0,115130.0,131300.0,327.0,1313.0,87.68469154607769,11.957349581111957,157.0
51,1.0,4.0,102.0,107210.0,116800.0,327.0,1168.0,91.78938356164383,12.842465753424658,150.0
52,1.0,4.0,103.0,97020.0,104100.0,327.0,1041.0,93.19884726224784,13.064361191162345,136.0
53,1.0,4.0,104.0,82440.0,89400.0,327.0,894.0,92.21476510067113,13.087248322147651,117.0
54,1.0,4.0,105.0,78510.0,82400.0,327.0,824.0,95.27912621359224,13.228155339805825,109.0
55,1.0,4.0,106.0,66900.0,69000.0,327.0,690.0,96.95652173913044,14.782608695652174,102.0
