,pred_3,pred_4,pred_5,pred_7,pred_13,pred_14,result_com,date,year,month,day,num_date,range_date,season,right_pred
15171,0,0,0,0,0,0,7,2019-04-01,2019,4,1,1,6,sp,0
15172,0,0,1,1,0,0,5,2019-04-01,2019,4,1,1,6,sp,1
15173,0,0,1,0,0,0,6,2019-04-01,2019,4,1,1,6,sp,0
15174,1,0,0,0,0,0,31,2019-04-01,2019,4,1,1,6,sp,0
15175,0,0,0,0,0,0,1,2019-04-01,2019,4,1,1,6,sp,0
15176,0,0,0,0,0,0,21,2019-04-01,2019,4,1,1,6,sp,0
15177,0,0,0,0,0,0,67,2019-04-01,2019,4,1,1,6,sp,0
15178,1,0,1,0,0,0,1,2019-04-01,2019,4,1,1,6,sp,0
15179,0,0,0,0,0,0,58,2019-04-01,2019,4,1,1,6,sp,0
15180,0,0,0,0,0,0,9,2019-04-01,2019,4,1,1,6,sp,0
15181,1,0,1,0,1,1,20,2019-04-02,2019,4,2,2,6,sp,0
15182,0,0,0,0,0,0,44,2019-04-02,2019,4,2,2,6,sp,0
15183,0,0,1,1,0,1,42,2019-04-02,2019,4,2,2,6,sp,0
15184,0,0,0,0,0,0,14,2019-04-02,2019,4,2,2,6,sp,0
15185,0,0,0,0,0,0,36,2019-04-02,2019,4,2,2,6,sp,0
15186,0,0,0,0,0,0,47,2019-04-02,2019,4,2,2,6,sp,0
15187,0,0,0,0,0,0,29,2019-04-02,2019,4,2,2,6,sp,0
15188,0,0,0,0,0,0,6,2019-04-02,2019,4,2,2,6,sp,0
15189,0,0,0,0,0,0,29,2019-04-02,2019,4,2,2,6,sp,0
15190,0,0,0,0,0,0,1,2019-04-02,2019,4,2,2,6,sp,0
15191,0,0,0,0,0,0,42,2019-04-02,2019,4,2,2,6,sp,0
15192,0,0,0,0,0,0,9,2019-04-02,2019,4,2,2,6,sp,0
15193,1,0,1,0,0,0,3,2019-04-03,2019,4,3,3,6,sp,1
15194,0,0,0,0,0,0,9,2019-04-03,2019,4,3,3,6,sp,0
15195,0,0,1,0,0,0,51,2019-04-03,2019,4,3,3,6,sp,0
15196,0,0,0,0,0,0,22,2019-04-03,2019,4,3,3,6,sp,0
15197,0,0,0,0,0,0,21,2019-04-03,2019,4,3,3,6,sp,0
15198,0,0,0,0,0,0,2,2019-04-03,2019,4,3,3,6,sp,0
15199,0,0,0,0,0,0,6,2019-04-03,2019,4,3,3,6,sp,0
