,3,4,5,7,13,14,sum,月,num_pred,money,gain,hit_per
1月,3.0,1.0,2.0,5.0,3.0,0.0,14.0,1月,111,20420.0,183.96396396396398,12.612612612612612
2月,1.0,1.0,1.0,1.0,5.0,0.0,9.0,2月,63,15230.0,241.74603174603172,14.285714285714285
3月,1.0,0.0,2.0,0.0,1.0,2.0,6.0,3月,96,14840.0,154.58333333333334,6.25
4月,1.0,2.0,1.0,2.0,2.0,2.0,10.0,4月,102,10810.0,105.98039215686275,9.803921568627452
5月,1.0,4.0,0.0,3.0,4.0,1.0,13.0,5月,114,15850.0,139.03508771929825,11.403508771929824
6月,1.0,2.0,3.0,0.0,2.0,2.0,10.0,6月,107,14810.0,138.411214953271,9.345794392523365
7月,0.0,1.0,1.0,3.0,3.0,0.0,8.0,7月,74,12020.0,162.43243243243245,10.81081081081081
8月,0.0,1.0,1.0,4.0,3.0,1.0,10.0,8月,94,12790.0,136.06382978723403,10.638297872340425
9月,1.0,1.0,2.0,1.0,2.0,0.0,7.0,9月,85,10160.0,119.52941176470588,8.235294117647058
10月,0.0,0.0,1.0,1.0,3.0,0.0,5.0,10月,86,10690.0,124.30232558139535,5.813953488372093
11月,0.0,1.0,2.0,3.0,1.0,0.0,7.0,11月,101,15610.0,154.55445544554456,6.9306930693069315
12月,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12月,13,0.0,0.0,0.0
