,date,result_com,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,money,racer_1_b,racer_1_m,racer_2_b,racer_2_m,racer_3_b,racer_3_m,racer_4_b,racer_4_m,racer_5_b,racer_5_m,racer_6_b,racer_6_m
,2015-04-01,84,1,3333,4151,4382,4479,4737,4759,6500.0,7.0,53.0,47.0,55.0,54.0,51.0,24.0,49.0,31.0,65.0,16.0,27.0
,2015-04-01,75,2,3559,4525,3584,4236,4434,4625,3690.0,23.0,30.0,59.0,71.0,1.0,31.0,55.0,47.0,25.0,14.0,48.0,45.0
,2015-04-01,42,3,3379,3234,3842,4373,3455,4757,3230.0,10.0,17.0,44.0,56.0,6.0,28.0,46.0,21.0,60.0,72.0,14.0,70.0
,2015-04-01,11,4,3443,4047,3296,4364,4502,4661,820.0,35.0,59.0,3.0,50.0,15.0,23.0,51.0,12.0,4.0,57.0,21.0,22.0
,2015-04-01,1,5,4498,4008,2380,4529,4327,4382,880.0,26.0,16.0,42.0,32.0,38.0,34.0,43.0,18.0,2.0,67.0,54.0,51.0
,2015-04-01,8,6,4488,3885,4208,4359,4625,4233,1970.0,20.0,69.0,32.0,42.0,33.0,73.0,27.0,36.0,48.0,45.0,53.0,68.0
,2015-04-01,14,8,3902,3296,4434,3455,4743,4737,10200.0,37.0,41.0,15.0,23.0,25.0,14.0,60.0,72.0,40.0,66.0,31.0,65.0
,2015-04-01,12,9,4466,3950,4502,3559,4759,4015,2560.0,49.0,62.0,5.0,44.0,4.0,57.0,23.0,30.0,16.0,27.0,41.0,20.0
,2015-04-01,8,11,4364,4313,4498,4151,4359,4715,570.0,51.0,12.0,22.0,43.0,26.0,16.0,47.0,55.0,27.0,36.0,57.0,46.0
,2015-04-01,9,12,4236,3333,3443,4008,4208,3842,880.0,55.0,47.0,7.0,53.0,35.0,59.0,42.0,32.0,33.0,73.0,6.0,28.0
,2015-04-02,10,3,3455,2380,3379,4625,3333,4313,6310.0,60.0,72.0,38.0,34.0,10.0,17.0,48.0,45.0,7.0,53.0,22.0,43.0
