,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2020-04-01,1060.0,2,3297,53.0,0.18,14.0,0.436,1,14.0,3,3964,41.0,0.18,2.0,0.214,1,23.0,2,5008,23.0,0.17,42.0,0.07,1,55.0,2,3826,47.0,0.14,60.0,0.51,1,12.0,4,3310,56.0,0.19,33.0,0.14800000000000002,1,29.0,2,5084,21.0,0.17,49.0,0.128,1,51.0,2,10
,2020-04-01,730.0,3,3712,46.0,0.16,38.0,0.42,1,39.0,3,3553,48.0,0.17,24.0,0.285,1,58.0,2,3959,43.0,0.15,46.0,0.5,1,40.0,4,3663,50.0,0.16,7.0,0.33899999999999997,1,47.0,3,4486,34.0,0.18,30.0,0.37200000000000005,1,27.0,3,5111,21.0,0.17,48.0,0.035,1,37.0,2,43
,2020-04-01,380.0,4,3717,45.0,0.14,54.0,0.508,1,15.0,4,4057,41.0,0.16,25.0,0.315,1,70.0,3,4198,38.0,0.21,50.0,0.052000000000000005,1,42.0,1,4703,32.0,0.16,19.0,0.485,1,61.0,4,4815,30.0,0.16,5.0,0.225,1,63.0,2,5081,22.0,0.17,16.0,0.015,1,13.0,2,2
,2020-04-01,1340.0,5,4080,41.0,0.13,23.0,0.524,1,16.0,4,3868,45.0,0.17,37.0,0.35100000000000003,1,68.0,3,2903,61.0,0.16,31.0,0.259,1,49.0,2,3945,45.0,0.2,34.0,0.24,1,45.0,2,3800,46.0,0.15,41.0,0.428,1,52.0,4,4292,35.0,0.15,6.0,0.39799999999999996,1,41.0,3,14
,2020-04-01,3200.0,6,4633,31.0,0.15,47.0,0.28,1,20.0,2,3522,52.0,0.16,10.0,0.40299999999999997,1,36.0,3,4437,34.0,0.14,28.0,0.41600000000000004,1,26.0,3,5029,23.0,0.17,59.0,0.23,1,22.0,2,4583,31.0,0.15,52.0,0.368,1,62.0,3,4702,33.0,0.13,58.0,0.348,1,57.0,2,25
,2020-04-01,9010.0,7,3265,55.0,0.15,11.0,0.648,1,66.0,4,3325,52.0,0.19,13.0,0.031,1,34.0,2,3463,53.0,0.17,29.0,0.384,1,17.0,3,3553,48.0,0.17,24.0,0.285,1,58.0,2,4461,34.0,0.17,45.0,0.192,1,24.0,2,5008,23.0,0.17,42.0,0.07,1,55.0,2,18
,2020-04-01,660.0,8,4175,38.0,0.15,27.0,0.36200000000000004,1,50.0,3,4815,30.0,0.16,5.0,0.225,1,63.0,2,3612,48.0,0.15,40.0,0.415,1,67.0,3,4486,34.0,0.18,30.0,0.37200000000000005,1,27.0,3,3964,41.0,0.18,2.0,0.214,1,23.0,2,5025,25.0,0.16,20.0,0.042,1,21.0,1,1
,2020-04-01,3110.0,9,4395,34.0,0.16,17.0,0.32,1,69.0,2,3629,51.0,0.14,57.0,0.426,1,28.0,3,4292,35.0,0.15,6.0,0.39799999999999996,1,41.0,3,4945,28.0,0.16,3.0,0.235,1,32.0,2,5084,21.0,0.17,49.0,0.128,1,51.0,2,4396,34.0,0.17,35.0,0.341,1,56.0,2,23
,2020-04-01,1610.0,10,3800,46.0,0.15,41.0,0.428,1,52.0,4,3663,50.0,0.16,7.0,0.33899999999999997,1,47.0,3,3297,53.0,0.18,14.0,0.436,1,14.0,3,4702,33.0,0.13,58.0,0.348,1,57.0,2,3987,42.0,0.15,1.0,0.375,1,11.0,3,4057,41.0,0.16,25.0,0.315,1,70.0,3,7
,2020-04-01,3560.0,11,3612,48.0,0.15,40.0,0.415,1,67.0,3,4703,32.0,0.16,19.0,0.485,1,61.0,4,3265,55.0,0.15,11.0,0.648,1,66.0,4,3868,45.0,0.17,37.0,0.35100000000000003,1,68.0,3,3712,46.0,0.16,38.0,0.42,1,39.0,3,4423,31.0,0.17,43.0,0.34600000000000003,1,44.0,2,45
