,date,result_com,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,money,racer_1_b,racer_1_m,racer_2_b,racer_2_m,racer_3_b,racer_3_m,racer_4_b,racer_4_m,racer_5_b,racer_5_m,racer_6_b,racer_6_m
,2020-04-01,10,2,3297,3964,5008,3826,3310,5084,1060.0,14.0,14.0,2.0,23.0,42.0,55.0,60.0,12.0,33.0,29.0,49.0,51.0
,2020-04-01,43,3,3712,3553,3959,3663,4486,5111,730.0,38.0,39.0,24.0,58.0,46.0,40.0,7.0,47.0,30.0,27.0,48.0,37.0
,2020-04-01,2,4,3717,4057,4198,4703,4815,5081,380.0,54.0,15.0,25.0,70.0,50.0,42.0,19.0,61.0,5.0,63.0,16.0,13.0
,2020-04-01,14,5,4080,3868,2903,3945,3800,4292,1340.0,23.0,16.0,37.0,68.0,31.0,49.0,34.0,45.0,41.0,52.0,6.0,41.0
,2020-04-01,25,6,4633,3522,4437,5029,4583,4702,3200.0,47.0,20.0,10.0,36.0,28.0,26.0,59.0,22.0,52.0,62.0,58.0,57.0
,2020-04-01,18,7,3265,3325,3463,3553,4461,5008,9010.0,11.0,66.0,13.0,34.0,29.0,17.0,24.0,58.0,45.0,24.0,42.0,55.0
,2020-04-01,1,8,4175,4815,3612,4486,3964,5025,660.0,27.0,50.0,5.0,63.0,40.0,67.0,30.0,27.0,2.0,23.0,20.0,21.0
,2020-04-01,23,9,4395,3629,4292,4945,5084,4396,3110.0,17.0,69.0,57.0,28.0,6.0,41.0,3.0,32.0,49.0,51.0,35.0,56.0
,2020-04-01,7,10,3800,3663,3297,4702,3987,4057,1610.0,41.0,52.0,7.0,47.0,14.0,14.0,58.0,57.0,1.0,11.0,25.0,70.0
,2020-04-01,45,11,3612,4703,3265,3868,3712,4423,3560.0,40.0,67.0,19.0,61.0,11.0,66.0,37.0,68.0,38.0,39.0,43.0,44.0
,2020-04-02,20,1,3717,3310,4461,5025,5029,3265,2340.0,54.0,15.0,33.0,29.0,45.0,24.0,20.0,21.0,59.0,22.0,11.0,66.0
,2020-04-02,73,2,4292,3463,3945,3959,4945,5081,2690.0,6.0,41.0,29.0,17.0,34.0,45.0,46.0,40.0,3.0,32.0,16.0,13.0
,2020-04-02,43,3,3629,4423,4080,4198,4175,3553,790.0,57.0,28.0,43.0,44.0,23.0,16.0,50.0,42.0,27.0,50.0,24.0,58.0
,2020-04-02,30,4,4437,4583,4395,3800,3325,5111,13670.0,28.0,26.0,52.0,62.0,17.0,69.0,41.0,52.0,13.0,34.0,48.0,37.0
,2020-04-02,85,5,4057,3826,5029,5008,3522,4703,5020.0,25.0,70.0,60.0,12.0,59.0,22.0,42.0,55.0,10.0,36.0,19.0,61.0
,2020-04-02,51,6,3463,4486,3987,5084,3297,4545,16650.0,29.0,17.0,30.0,27.0,1.0,11.0,49.0,51.0,14.0,14.0,12.0,53.0
,2020-04-02,8,8,4702,3945,3553,3717,5111,3868,3650.0,58.0,57.0,34.0,45.0,24.0,58.0,54.0,15.0,48.0,37.0,37.0,68.0
,2020-04-02,13,10,4080,3800,3712,4461,4703,3663,1150.0,23.0,16.0,41.0,52.0,38.0,39.0,45.0,24.0,19.0,61.0,7.0,47.0
,2020-04-02,1,11,3522,3959,4633,3629,4395,4486,680.0,10.0,36.0,46.0,40.0,47.0,20.0,57.0,28.0,17.0,69.0,30.0,27.0
,2020-04-02,32,12,3826,4702,4175,4396,4292,4583,21720.0,60.0,12.0,58.0,57.0,27.0,50.0,35.0,56.0,6.0,41.0,52.0,62.0
,2020-04-03,9,1,3826,4461,3663,3463,5081,5111,630.0,60.0,12.0,45.0,24.0,7.0,47.0,29.0,17.0,16.0,13.0,48.0,37.0
,2020-04-03,9,2,4703,2903,4633,4437,5084,5029,620.0,19.0,61.0,31.0,49.0,47.0,20.0,28.0,26.0,49.0,51.0,59.0,22.0
,2020-04-03,5,3,4702,5008,3717,3964,4057,3310,710.0,58.0,57.0,42.0,55.0,54.0,15.0,2.0,23.0,25.0,70.0,33.0,29.0
,2020-04-03,9,4,3959,3712,4396,3987,5025,4545,1140.0,46.0,40.0,38.0,39.0,35.0,56.0,1.0,11.0,20.0,21.0,12.0,53.0
,2020-04-03,38,5,4583,4080,4945,4461,3868,3522,5530.0,52.0,62.0,23.0,16.0,3.0,32.0,45.0,24.0,37.0,68.0,10.0,36.0
,2020-04-03,46,6,3553,3612,4815,3297,4633,4175,5830.0,24.0,58.0,40.0,67.0,5.0,18.0,14.0,14.0,47.0,20.0,27.0,50.0
,2020-04-03,14,7,3663,4395,3310,3325,3945,5084,5020.0,7.0,47.0,17.0,69.0,33.0,29.0,13.0,34.0,34.0,45.0,49.0,51.0
