,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
1477,3.0,8.0,142.0,26730.0,20900.0,162.0,209.0,127.89473684210527,15.789473684210524,33.0,91.0
5021,11.0,4.0,122.0,22070.0,18200.0,84.0,182.0,121.26373626373623,9.89010989010989,18.0,71.0
5022,11.0,4.0,123.0,22790.0,18400.0,84.0,184.0,123.8586956521739,9.782608695652174,18.0,72.0
5123,11.0,5.0,125.0,26800.0,23300.0,84.0,233.0,115.0214592274678,9.44206008583691,22.0,74.0
5124,11.0,5.0,126.0,27590.0,20900.0,84.0,209.0,132.00956937799043,11.004784688995215,23.0,75.0
5125,11.0,5.0,127.0,25050.0,20100.0,84.0,201.0,124.6268656716418,10.44776119402985,21.0,76.0
5126,11.0,5.0,128.0,23680.0,19900.0,84.0,199.0,118.99497487437185,9.547738693467336,19.0,77.0
5127,11.0,5.0,129.0,25080.0,17200.0,84.0,172.0,145.8139534883721,11.627906976744184,20.0,78.0
5228,11.0,6.0,131.0,26800.0,20400.0,84.0,204.0,131.37254901960785,10.784313725490195,22.0,80.0
5229,11.0,6.0,132.0,23510.0,18900.0,84.0,189.0,124.3915343915344,10.052910052910052,19.0,81.0
5230,11.0,6.0,133.0,22810.0,17700.0,84.0,177.0,128.87005649717514,10.734463276836157,19.0,82.0
5231,11.0,6.0,134.0,23010.0,18600.0,84.0,186.0,123.70967741935483,10.752688172043008,20.0,83.0
5232,11.0,6.0,135.0,24330.0,17200.0,84.0,172.0,141.45348837209298,11.627906976744184,20.0,84.0
5333,11.0,7.0,137.0,27410.0,21900.0,84.0,219.0,125.15981735159819,10.04566210045662,22.0,86.0
5435,11.0,8.0,140.0,24960.0,21400.0,84.0,214.0,116.6355140186916,10.280373831775698,22.0,89.0
5436,11.0,8.0,141.0,23040.0,18300.0,84.0,183.0,125.90163934426229,10.928961748633881,20.0,90.0
5437,11.0,8.0,142.0,20440.0,18500.0,84.0,185.0,110.4864864864865,9.72972972972973,18.0,91.0
5438,11.0,8.0,143.0,21150.0,17500.0,84.0,175.0,120.85714285714286,10.285714285714283,18.0,92.0
7520,16.0,4.0,146.0,17030.0,13400.0,36.0,134.0,127.08955223880598,5.970149253731343,8.0,95.0
7521,16.0,4.0,147.0,17030.0,14000.0,36.0,140.0,121.64285714285714,5.7142857142857135,8.0,96.0
7984,17.0,4.0,115.0,48740.0,40600.0,60.0,406.0,120.04926108374386,5.911330049261084,24.0,64.0
7985,17.0,4.0,116.0,51350.0,39200.0,60.0,392.0,130.9948979591837,6.1224489795918355,24.0,65.0
7986,17.0,4.0,117.0,47280.0,36600.0,60.0,366.0,129.18032786885243,6.284153005464481,23.0,66.0
7987,17.0,4.0,118.0,42930.0,30300.0,60.0,303.0,141.68316831683168,6.6006600660066,20.0,67.0
7988,17.0,4.0,119.0,42910.0,29400.0,60.0,294.0,145.9523809523809,7.142857142857142,21.0,68.0
7989,17.0,4.0,120.0,30040.0,22900.0,60.0,229.0,131.17903930131004,7.423580786026203,17.0,69.0
7990,17.0,4.0,121.0,34960.0,20800.0,60.0,208.0,168.0769230769231,9.134615384615383,19.0,70.0
7991,17.0,4.0,122.0,29030.0,20300.0,60.0,203.0,143.00492610837438,6.896551724137932,14.0,71.0
8088,17.0,5.0,120.0,48960.0,33600.0,60.0,336.0,145.71428571428567,6.845238095238097,23.0,69.0
8089,17.0,5.0,121.0,40760.0,32200.0,60.0,322.0,126.58385093167699,6.832298136645963,22.0,70.0
8090,17.0,5.0,122.0,41880.0,29800.0,60.0,298.0,140.53691275167785,6.711409395973154,20.0,71.0
8096,17.0,5.0,128.0,23500.0,18300.0,60.0,183.0,128.4153005464481,8.196721311475411,15.0,77.0
8188,17.0,6.0,121.0,50470.0,39400.0,60.0,394.0,128.0964467005076,6.598984771573606,26.0,70.0
8189,17.0,6.0,122.0,43920.0,37000.0,60.0,370.0,118.70270270270271,6.216216216216218,23.0,71.0
8190,17.0,6.0,123.0,45710.0,35600.0,60.0,356.0,128.3988764044944,6.179775280898876,22.0,72.0
8191,17.0,6.0,124.0,50300.0,34900.0,60.0,349.0,144.1260744985673,7.163323782234957,25.0,73.0
8192,17.0,6.0,125.0,43280.0,29200.0,60.0,292.0,148.21917808219175,6.849315068493151,20.0,74.0
8193,17.0,6.0,126.0,40120.0,30600.0,60.0,306.0,131.11111111111111,6.862745098039216,21.0,75.0
8194,17.0,6.0,127.0,36570.0,28800.0,60.0,288.0,126.97916666666669,7.291666666666668,21.0,76.0
8195,17.0,6.0,128.0,36520.0,27200.0,60.0,272.0,134.26470588235293,7.352941176470589,20.0,77.0
8196,17.0,6.0,129.0,32500.0,23300.0,60.0,233.0,139.48497854077254,7.296137339055795,17.0,78.0
8293,17.0,7.0,127.0,51060.0,36200.0,60.0,362.0,141.04972375690608,7.18232044198895,26.0,76.0
8294,17.0,7.0,128.0,42700.0,36100.0,60.0,361.0,118.2825484764543,6.64819944598338,24.0,77.0
8295,17.0,7.0,129.0,49290.0,31400.0,60.0,314.0,156.9745222929936,7.32484076433121,23.0,78.0
8296,17.0,7.0,130.0,44040.0,29800.0,60.0,298.0,147.78523489932888,7.046979865771812,21.0,79.0
8297,17.0,7.0,131.0,32860.0,26400.0,60.0,264.0,124.46969696969695,7.575757575757576,20.0,80.0
8298,17.0,7.0,132.0,36290.0,25800.0,60.0,258.0,140.65891472868216,6.9767441860465125,18.0,81.0
8299,17.0,7.0,133.0,34310.0,26700.0,60.0,267.0,128.50187265917606,6.741573033707866,18.0,82.0
8306,17.0,7.0,140.0,19720.0,15200.0,60.0,152.0,129.73684210526315,8.552631578947368,13.0,89.0
8307,17.0,7.0,141.0,20750.0,15000.0,60.0,150.0,138.33333333333334,8.666666666666668,13.0,90.0
8308,17.0,7.0,142.0,17810.0,15900.0,60.0,159.0,112.01257861635222,7.547169811320754,12.0,91.0
8390,17.0,8.0,125.0,51050.0,44200.0,60.0,442.0,115.49773755656106,5.656108597285066,25.0,74.0
8391,17.0,8.0,126.0,57660.0,41000.0,60.0,410.0,140.6341463414634,7.073170731707316,29.0,75.0
8392,17.0,8.0,127.0,50590.0,41000.0,60.0,410.0,123.39024390243902,6.3414634146341475,26.0,76.0
