,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,4.0,51.0,374060.0,423200.0,308.0,4232.0,88.38846880907373,7.277882797731569,308.0
1,1.0,4.0,52.0,374060.0,423100.0,308.0,4231.0,88.40935948948238,7.279602930749232,308.0
2,1.0,4.0,53.0,374060.0,423100.0,308.0,4231.0,88.40935948948238,7.279602930749232,308.0
3,1.0,4.0,54.0,374060.0,422800.0,308.0,4228.0,88.4720908230842,7.28476821192053,308.0
4,1.0,4.0,55.0,374060.0,422800.0,308.0,4228.0,88.4720908230842,7.28476821192053,308.0
5,1.0,4.0,56.0,374060.0,422800.0,308.0,4228.0,88.4720908230842,7.28476821192053,308.0
6,1.0,4.0,57.0,374060.0,422400.0,308.0,4224.0,88.5558712121212,7.291666666666667,308.0
7,1.0,4.0,58.0,374060.0,421600.0,308.0,4216.0,88.72390891840607,7.30550284629981,308.0
8,1.0,4.0,59.0,374060.0,420400.0,308.0,4204.0,88.97716460513796,7.326355851569934,308.0
9,1.0,4.0,60.0,374060.0,421400.0,308.0,4214.0,88.76601803512104,7.308970099667775,308.0
10,1.0,4.0,61.0,374060.0,419400.0,308.0,4194.0,89.18931807343824,7.343824511206486,308.0
11,1.0,4.0,62.0,374060.0,418900.0,308.0,4189.0,89.29577464788733,7.352590116973025,308.0
12,1.0,4.0,63.0,374060.0,416400.0,308.0,4164.0,89.83189241114313,7.396733909702209,308.0
13,1.0,4.0,64.0,370700.0,415200.0,308.0,4152.0,89.28227360308286,7.39402697495183,307.0
14,1.0,4.0,65.0,374060.0,414500.0,308.0,4145.0,90.24366706875753,7.430639324487334,308.0
15,1.0,4.0,66.0,370700.0,412000.0,308.0,4120.0,89.97572815533981,7.451456310679612,307.0
16,1.0,4.0,67.0,370700.0,409300.0,308.0,4093.0,90.5692645980943,7.500610798924994,307.0
17,1.0,4.0,68.0,370700.0,408900.0,308.0,4089.0,90.65786255808266,7.507948153582783,307.0
18,1.0,4.0,69.0,370700.0,405100.0,308.0,4051.0,91.50826956307084,7.578375709701309,307.0
19,1.0,4.0,70.0,370700.0,400200.0,308.0,4002.0,92.62868565717142,7.671164417791104,307.0
20,1.0,4.0,71.0,367530.0,394600.0,308.0,3946.0,93.13988849467816,7.754688291941206,306.0
21,1.0,4.0,72.0,367530.0,393700.0,308.0,3937.0,93.35280670561342,7.772415544831089,306.0
22,1.0,4.0,73.0,365150.0,387000.0,308.0,3870.0,94.35400516795866,7.881136950904392,305.0
23,1.0,4.0,74.0,361250.0,381900.0,308.0,3819.0,94.59282534694947,7.9340141398271795,303.0
24,1.0,4.0,75.0,353350.0,378900.0,308.0,3789.0,93.25679598838744,7.944048561625759,301.0
25,1.0,4.0,76.0,358650.0,372600.0,308.0,3726.0,96.25603864734299,8.132045088566828,303.0
26,1.0,4.0,77.0,350480.0,367400.0,308.0,3674.0,95.3946652150245,8.13826891671203,299.0
27,1.0,4.0,78.0,343870.0,361400.0,308.0,3614.0,95.14941892639735,8.190370780298837,296.0
28,1.0,4.0,79.0,344800.0,356800.0,308.0,3568.0,96.63677130044843,8.295964125560538,296.0
29,1.0,4.0,80.0,339370.0,353300.0,308.0,3533.0,96.05717520520804,8.349844324936315,295.0
30,1.0,4.0,81.0,338920.0,345500.0,308.0,3455.0,98.09551374819104,8.480463096960927,293.0
31,1.0,4.0,82.0,330620.0,337200.0,308.0,3372.0,98.04863582443653,8.600237247924081,290.0
32,1.0,4.0,83.0,324480.0,332200.0,308.0,3322.0,97.67609873570139,8.63937387116195,287.0
33,1.0,4.0,84.0,323510.0,326400.0,308.0,3264.0,99.11458333333333,8.792892156862745,287.0
34,1.0,4.0,85.0,320370.0,318200.0,308.0,3182.0,100.68196103079825,8.956631049654305,285.0
35,1.0,4.0,86.0,311720.0,311300.0,308.0,3113.0,100.13491808544812,9.026662383552843,281.0
36,1.0,4.0,87.0,303860.0,302800.0,308.0,3028.0,100.35006605019817,9.147952443857331,277.0
37,1.0,4.0,88.0,300090.0,299500.0,308.0,2995.0,100.19699499165276,9.181969949916526,275.0
38,1.0,4.0,89.0,279200.0,288000.0,308.0,2880.0,96.94444444444444,9.340277777777779,269.0
39,1.0,4.0,90.0,272450.0,278800.0,308.0,2788.0,97.72238163558106,9.469153515064562,264.0
40,1.0,4.0,91.0,268540.0,272700.0,308.0,2727.0,98.47451411807847,9.570957095709572,261.0
41,1.0,4.0,92.0,257980.0,262800.0,308.0,2628.0,98.16590563165906,9.665144596651446,254.0
42,1.0,4.0,93.0,249910.0,254900.0,308.0,2549.0,98.0423695566889,9.729305610043154,248.0
43,1.0,4.0,94.0,228800.0,244500.0,308.0,2445.0,93.57873210633947,9.815950920245399,240.0
44,1.0,4.0,95.0,227560.0,237700.0,308.0,2377.0,95.73411863693731,10.096760622633571,240.0
45,1.0,4.0,96.0,220410.0,226700.0,308.0,2267.0,97.22540802823114,10.27790030877812,233.0
46,1.0,4.0,97.0,214480.0,219200.0,308.0,2192.0,97.84671532846716,10.31021897810219,226.0
47,1.0,4.0,98.0,205140.0,216600.0,308.0,2166.0,94.70914127423823,10.110803324099724,219.0
48,1.0,4.0,99.0,200710.0,206400.0,308.0,2064.0,97.24321705426357,10.368217054263566,214.0
49,1.0,4.0,100.0,188650.0,197000.0,308.0,1970.0,95.76142131979695,10.456852791878173,206.0
50,1.0,4.0,101.0,184010.0,190300.0,308.0,1903.0,96.69469259064634,10.614818707304256,202.0
51,1.0,4.0,102.0,173740.0,182400.0,308.0,1824.0,95.25219298245614,10.800438596491228,197.0
52,1.0,4.0,103.0,171870.0,171400.0,308.0,1714.0,100.27421236872812,11.31855309218203,194.0
53,1.0,4.0,104.0,151260.0,162600.0,308.0,1626.0,93.02583025830258,11.00861008610086,179.0
54,1.0,4.0,105.0,149400.0,155800.0,308.0,1558.0,95.89216944801026,11.360718870346599,177.0
55,1.0,4.0,106.0,143090.0,150000.0,308.0,1500.0,95.39333333333333,11.533333333333333,173.0
