,3,7,8,11,17,sum,月,num_pred,money,gain,hit_per
1月,1.0,1.0,2.0,0.0,3.0,7.0,1月,123,8670.0,70.48780487804878,5.691056910569105
2月,2.0,0.0,0.0,0.0,1.0,3.0,2月,61,4150.0,68.0327868852459,4.918032786885246
3月,2.0,1.0,0.0,1.0,1.0,5.0,3月,80,4990.0,62.375,6.25
4月,2.0,0.0,0.0,0.0,1.0,3.0,4月,29,2610.0,90.0,10.344827586206897
5月,1.0,1.0,1.0,3.0,0.0,6.0,5月,80,8400.0,105.0,7.5
6月,2.0,0.0,3.0,1.0,1.0,7.0,6月,57,9010.0,158.0701754385965,12.280701754385964
7月,1.0,3.0,2.0,2.0,0.0,8.0,7月,66,10270.0,155.60606060606062,12.121212121212121
8月,3.0,1.0,0.0,0.0,1.0,5.0,8月,95,5870.0,61.78947368421053,5.263157894736842
9月,2.0,3.0,2.0,1.0,0.0,8.0,9月,98,26860.0,274.0816326530612,8.16326530612245
10月,1.0,1.0,2.0,1.0,1.0,6.0,10月,88,13880.0,157.72727272727275,6.8181818181818175
11月,1.0,1.0,3.0,0.0,0.0,5.0,11月,88,14810.0,168.29545454545453,5.681818181818182
12月,1.0,1.0,1.0,1.0,0.0,4.0,12月,35,4000.0,114.28571428571428,11.428571428571429
