,date,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2019-04-06,3170.0,1,4407,46.0,31.0,3398,11.0,38.0,3430,27.0,64.0,4069,32.0,42.0,4128,42.0,30.0,4630,54.0,57.0,1
,2019-04-06,2120.0,2,3282,25.0,62.0,4498,28.0,46.0,4082,21.0,23.0,3319,67.0,74.0,4423,26.0,32.0,4077,65.0,72.0,42
,2019-04-06,1870.0,3,3335,24.0,73.0,4583,68.0,18.0,4258,44.0,37.0,3075,45.0,45.0,4706,49.0,52.0,4251,50.0,69.0,1
,2019-04-06,1290.0,4,4568,16.0,56.0,4710,57.0,48.0,3227,63.0,67.0,4022,30.0,14.0,4644,69.0,13.0,3051,73.0,63.0,2
,2019-04-06,5300.0,5,4284,22.0,58.0,4407,46.0,31.0,4643,58.0,54.0,3842,19.0,68.0,3036,23.0,70.0,3224,71.0,36.0,72
,2019-04-06,820.0,6,3541,72.0,24.0,4198,31.0,53.0,4663,56.0,44.0,4942,43.0,40.0,4498,28.0,46.0,3052,17.0,15.0,3
,2019-04-06,2000.0,7,4128,42.0,20.0,3159,14.0,47.0,4154,29.0,34.0,4999,35.0,12.0,3282,25.0,62.0,4583,68.0,18.0,34
,2019-04-06,77020.0,8,4082,21.0,23.0,3273,53.0,43.0,3051,73.0,63.0,4973,75.0,33.0,4470,48.0,59.0,3964,37.0,66.0,58
,2019-04-06,4360.0,9,4645,34.0,75.0,3227,63.0,67.0,4630,54.0,57.0,4980,36.0,26.0,4258,44.0,37.0,3319,67.0,74.0,14
,2019-04-06,3410.0,11,4643,58.0,54.0,4069,32.0,42.0,3231,33.0,65.0,4077,65.0,72.0,3075,45.0,45.0,4710,57.0,48.0,17
,2019-04-06,2440.0,12,3159,14.0,47.0,4140,74.0,51.0,4537,47.0,11.0,3300,13.0,71.0,4645,34.0,75.0,4470,48.0,59.0,14
,2019-04-07,4990.0,1,3036,23.0,70.0,4568,16.0,56.0,4198,31.0,53.0,4643,58.0,54.0,3052,17.0,15.0,4258,44.0,37.0,79
,2019-04-07,1120.0,2,4663,56.0,44.0,3319,67.0,74.0,4588,62.0,60.0,3335,24.0,73.0,4251,50.0,69.0,4999,35.0,12.0,22
,2019-04-07,1980.0,3,4706,49.0,52.0,3051,73.0,63.0,4140,74.0,51.0,4284,22.0,58.0,4942,43.0,40.0,3430,27.0,64.0,6
,2019-04-07,57530.0,4,3273,53.0,43.0,4630,54.0,57.0,4644,69.0,13.0,4154,29.0,34.0,4980,36.0,26.0,3541,72.0,24.0,94
,2019-04-07,4470.0,5,4423,26.0,32.0,3964,37.0,66.0,4710,57.0,48.0,3224,71.0,36.0,3231,33.0,65.0,4645,34.0,75.0,26
,2019-04-07,5610.0,6,3300,13.0,71.0,4077,65.0,72.0,4568,16.0,56.0,4128,42.0,20.0,3398,11.0,38.0,4498,28.0,46.0,20
,2019-04-07,3830.0,7,4583,68.0,18.0,3842,19.0,68.0,3036,23.0,70.0,4537,47.0,11.0,4663,56.0,44.0,3227,63.0,67.0,32
,2019-04-07,38820.0,8,4022,30.0,14.0,3282,25.0,62.0,3052,17.0,15.0,4407,46.0,31.0,4069,32.0,42.0,4980,36.0,26.0,116
,2019-04-07,1310.0,9,4644,69.0,13.0,4942,43.0,40.0,3159,14.0,47.0,4251,50.0,69.0,4973,75.0,33.0,3231,33.0,65.0,57
,2019-04-07,5300.0,10,3842,19.0,68.0,4470,48.0,59.0,4423,26.0,32.0,3273,53.0,43.0,3300,13.0,71.0,4284,22.0,58.0,81
,2019-04-07,31560.0,11,3319,67.0,74.0,4154,29.0,34.0,3224,71.0,36.0,4583,68.0,18.0,4643,58.0,54.0,4140,74.0,51.0,39
,2019-04-07,890.0,12,4537,47.0,11.0,3075,45.0,45.0,4645,34.0,75.0,3541,72.0,24.0,4082,21.0,23.0,4588,62.0,60.0,10
,2019-04-08,1760.0,1,3430,27.0,64.0,4663,56.0,44.0,4128,42.0,20.0,3159,14.0,47.0,4630,54.0,57.0,4973,75.0,33.0,10
,2019-04-08,10390.0,2,4498,28.0,46.0,4258,44.0,37.0,3398,11.0,38.0,3231,33.0,65.0,4154,29.0,34.0,4980,36.0,26.0,88
,2019-04-08,970.0,3,4198,31.0,53.0,3224,71.0,36.0,3282,25.0,62.0,4644,69.0,13.0,4537,47.0,11.0,4999,35.0,12.0,82
,2019-04-08,45460.0,4,3052,17.0,15.0,4645,34.0,75.0,3842,19.0,68.0,4588,62.0,60.0,4568,16.0,56.0,3335,24.0,73.0,79
,2019-04-08,2980.0,5,4251,50.0,69.0,4082,21.0,23.0,4470,48.0,59.0,4973,75.0,33.0,3051,73.0,63.0,3036,23.0,70.0,7
,2019-04-08,4480.0,6,4140,74.0,51.0,3430,27.0,64.0,4498,28.0,46.0,3964,37.0,66.0,4407,46.0,31.0,3273,53.0,43.0,4
,2019-04-08,29970.0,7,4942,43.0,40.0,3300,13.0,71.0,3541,72.0,24.0,4999,35.0,12.0,4077,65.0,72.0,4154,29.0,34.0,118
,2019-04-08,5760.0,8,4069,32.0,42.0,4423,26.0,32.0,4630,54.0,57.0,3398,11.0,38.0,3319,67.0,74.0,4644,69.0,13.0,53
,2019-04-08,1200.0,9,3075,45.0,45.0,4588,62.0,60.0,4583,68.0,18.0,3282,25.0,62.0,4284,22.0,58.0,4128,42.0,20.0,6
,2019-04-08,4280.0,10,4470,48.0,59.0,3231,33.0,65.0,3964,37.0,66.0,4568,16.0,56.0,4198,31.0,53.0,3159,14.0,47.0,115
,2019-04-08,3540.0,11,3227,63.0,67.0,4643,58.0,54.0,4069,32.0,42.0,4258,44.0,37.0,3335,24.0,73.0,4537,47.0,11.0,8
,2019-04-08,4680.0,12,4710,57.0,48.0,4706,49.0,52.0,3300,13.0,71.0,4140,74.0,51.0,3224,71.0,36.0,4022,30.0,14.0,44
,2019-04-09,2010.0,1,4630,54.0,57.0,4284,22.0,58.0,3273,53.0,43.0,4645,34.0,75.0,3430,27.0,64.0,4423,26.0,32.0,62
,2019-04-09,10310.0,2,3051,73.0,63.0,4128,42.0,20.0,3319,67.0,74.0,4706,49.0,52.0,4999,35.0,12.0,4069,32.0,42.0,68
,2019-04-09,11930.0,3,4154,29.0,34.0,4407,46.0,31.0,4022,30.0,14.0,3227,63.0,67.0,4973,75.0,33.0,3300,13.0,71.0,78
,2019-04-09,7110.0,4,4077,65.0,72.0,4583,68.0,18.0,4710,57.0,48.0,4663,56.0,44.0,3159,14.0,47.0,3398,11.0,38.0,99
,2019-04-09,6700.0,5,4258,44.0,37.0,3541,72.0,24.0,3075,45.0,45.0,4588,62.0,60.0,3842,19.0,68.0,4942,43.0,40.0,24
,2019-04-09,1300.0,6,4537,47.0,11.0,3036,23.0,70.0,4423,26.0,32.0,3052,17.0,15.0,3964,37.0,66.0,4198,31.0,53.0,14
,2019-04-09,2220.0,8,4470,48.0,59.0,3335,24.0,73.0,4077,65.0,72.0,4498,28.0,46.0,4140,74.0,51.0,3282,25.0,62.0,84
,2019-04-09,15260.0,9,3224,71.0,36.0,4644,69.0,13.0,4407,46.0,31.0,3051,73.0,63.0,4980,36.0,26.0,4663,56.0,44.0,30
,2019-04-09,760.0,10,4645,34.0,75.0,3319,67.0,74.0,4537,47.0,11.0,4022,30.0,14.0,4583,68.0,18.0,3075,45.0,45.0,6
,2019-04-09,1750.0,11,3541,72.0,24.0,3300,13.0,71.0,4069,32.0,42.0,4470,48.0,59.0,4710,57.0,48.0,4082,21.0,23.0,7
,2019-04-09,17790.0,12,3159,14.0,47.0,4140,74.0,51.0,3842,19.0,68.0,4643,58.0,54.0,3227,63.0,67.0,4706,49.0,52.0,43
,2019-04-10,2590.0,1,3036,23.0,70.0,3052,17.0,15.0,3273,53.0,43.0,3075,45.0,45.0,4077,65.0,72.0,4999,35.0,12.0,69
,2019-04-10,7190.0,2,3398,11.0,38.0,3282,25.0,62.0,4588,62.0,60.0,4407,46.0,31.0,4082,21.0,23.0,4643,58.0,54.0,33
,2019-04-10,6050.0,3,3964,37.0,66.0,3224,71.0,36.0,4258,44.0,37.0,3541,72.0,24.0,3335,24.0,73.0,4583,68.0,18.0,73
,2019-04-10,1250.0,4,3842,19.0,68.0,4198,31.0,53.0,4645,34.0,75.0,4710,57.0,48.0,4630,54.0,57.0,3300,13.0,71.0,6
,2019-04-10,11040.0,5,4069,32.0,42.0,4251,50.0,69.0,3231,33.0,65.0,4980,36.0,26.0,4154,29.0,34.0,4537,47.0,11.0,2
,2019-04-10,820.0,6,4140,74.0,51.0,4284,22.0,58.0,4942,43.0,40.0,4128,42.0,20.0,4423,26.0,32.0,4973,75.0,33.0,2
,2019-04-10,10010.0,7,4706,49.0,52.0,3430,27.0,64.0,3319,67.0,74.0,3159,14.0,47.0,4022,30.0,14.0,4644,69.0,13.0,14
,2019-04-10,1090.0,8,3227,63.0,27.0,3051,73.0,63.0,4568,16.0,56.0,4663,56.0,44.0,4470,48.0,59.0,4498,28.0,46.0,1
,2019-04-10,11610.0,9,3300,13.0,71.0,4154,29.0,34.0,3541,72.0,24.0,4645,34.0,75.0,3282,25.0,62.0,4069,32.0,42.0,16
,2019-04-10,1430.0,10,4537,47.0,11.0,4643,58.0,54.0,3964,37.0,66.0,3842,19.0,68.0,4706,49.0,52.0,4407,46.0,31.0,6
,2019-04-10,24950.0,11,3159,14.0,47.0,4140,74.0,51.0,4710,57.0,48.0,4258,44.0,37.0,3227,63.0,27.0,4980,36.0,26.0,85
,2019-04-10,3110.0,12,4022,30.0,14.0,4082,21.0,23.0,3335,24.0,73.0,4630,54.0,57.0,4251,50.0,69.0,4470,48.0,59.0,22
,2019-04-11,8440.0,1,3052,17.0,15.0,4498,28.0,46.0,4663,56.0,44.0,3231,33.0,65.0,4973,75.0,33.0,4942,43.0,40.0,44
,2019-04-11,2710.0,2,3224,71.0,36.0,4568,16.0,56.0,4644,69.0,13.0,3398,11.0,38.0,3036,23.0,70.0,4198,31.0,53.0,22
,2019-04-11,7780.0,3,4583,68.0,18.0,4258,44.0,37.0,4082,21.0,23.0,4284,22.0,58.0,4980,36.0,26.0,4999,35.0,12.0,90
,2019-04-11,2180.0,4,4407,46.0,31.0,3335,24.0,73.0,4154,29.0,34.0,4069,32.0,42.0,3075,45.0,45.0,4588,62.0,60.0,51
,2019-04-11,2200.0,5,4645,34.0,75.0,4942,43.0,40.0,4251,50.0,69.0,4706,49.0,52.0,4022,30.0,14.0,3842,19.0,68.0,7
,2019-04-11,1150.0,6,4643,58.0,54.0,4077,65.0,72.0,4128,42.0,20.0,3430,27.0,64.0,3052,17.0,15.0,4423,26.0,32.0,2
,2019-04-11,1140.0,7,4710,57.0,48.0,4470,48.0,59.0,3398,11.0,38.0,3051,73.0,63.0,4999,35.0,12.0,3159,14.0,47.0,18
,2019-04-11,640.0,8,3319,67.0,74.0,3273,53.0,43.0,3335,24.0,73.0,3036,23.0,70.0,3541,72.0,24.0,4973,75.0,33.0,3
,2019-04-11,1480.0,9,3075,45.0,45.0,4251,50.0,69.0,3231,33.0,65.0,4630,54.0,57.0,3224,71.0,36.0,4284,22.0,58.0,11
,2019-04-11,1850.0,10,3842,19.0,68.0,4069,32.0,42.0,4980,36.0,26.0,4154,29.0,34.0,4710,57.0,48.0,4645,34.0,75.0,10
,2019-04-11,5070.0,11,3159,14.0,47.0,3541,72.0,24.0,4706,49.0,52.0,4643,58.0,54.0,4258,44.0,37.0,4407,46.0,31.0,23
,2019-04-11,8880.0,12,4537,47.0,11.0,3300,13.0,71.0,3227,63.0,27.0,4140,74.0,51.0,3964,37.0,66.0,3282,25.0,62.0,23
,2019-04-17,1040.0,1,3947,39.0,45.0,4212,71.0,35.0,4062,64.0,55.0,4512,35.0,17.0,3793,63.0,25.0,5062,66.0,21.0,11
,2019-04-17,800.0,2,3501,47.0,43.0,3771,36.0,57.0,3905,40.0,28.0,3655,70.0,72.0,4989,33.0,39.0,4292,38.0,41.0,1
,2019-04-17,10850.0,3,3025,23.0,51.0,3790,13.0,30.0,3562,15.0,62.0,3811,12.0,74.0,4677,59.0,73.0,3578,60.0,27.0,33
,2019-04-17,7340.0,4,3596,74.0,46.0,3627,58.0,52.0,3527,51.0,38.0,4360,49.0,15.0,4199,65.0,49.0,4166,52.0,67.0,102
,2019-04-17,1390.0,5,3488,18.0,53.0,4492,20.0,75.0,3874,26.0,29.0,4571,32.0,11.0,4185,55.0,65.0,4946,16.0,40.0,21
,2019-04-17,2960.0,7,4677,59.0,73.0,3883,37.0,68.0,3685,50.0,47.0,4440,68.0,64.0,3928,57.0,50.0,3983,69.0,19.0,109
,2019-04-17,1820.0,8,3771,36.0,57.0,4449,25.0,22.0,3596,74.0,46.0,4167,48.0,44.0,4075,61.0,14.0,3790,13.0,30.0,7
,2019-04-17,2100.0,9,4199,65.0,49.0,4573,73.0,58.0,3655,70.0,72.0,3578,60.0,27.0,3503,45.0,69.0,4062,64.0,55.0,5
,2019-04-17,13520.0,10,3562,15.0,62.0,4512,35.0,17.0,3501,47.0,43.0,3627,58.0,52.0,4571,32.0,11.0,4649,42.0,70.0,51
,2019-04-17,1560.0,11,3685,50.0,47.0,3811,12.0,74.0,4292,38.0,41.0,3458,41.0,16.0,3527,51.0,38.0,4492,20.0,75.0,4
,2019-04-17,1160.0,12,4075,61.0,14.0,3983,69.0,19.0,4166,52.0,67.0,3874,26.0,29.0,4136,75.0,13.0,4573,73.0,58.0,5
,2019-04-18,6270.0,1,4888,28.0,12.0,3503,45.0,69.0,3928,57.0,50.0,3685,50.0,47.0,4212,71.0,35.0,5047,46.0,61.0,71
,2019-04-18,3540.0,2,4167,48.0,44.0,3527,51.0,38.0,4946,16.0,40.0,4062,64.0,55.0,4166,52.0,67.0,4440,68.0,64.0,94
,2019-04-18,2250.0,3,3790,13.0,30.0,3025,23.0,51.0,4199,65.0,49.0,4573,73.0,58.0,4360,49.0,15.0,3488,18.0,53.0,9
,2019-04-18,4430.0,4,3793,63.0,25.0,4292,38.0,41.0,3458,41.0,16.0,4449,25.0,22.0,3874,26.0,29.0,3905,40.0,28.0,27
,2019-04-18,8500.0,5,3627,58.0,52.0,3562,15.0,62.0,4075,61.0,14.0,4952,62.0,71.0,3596,74.0,46.0,4677,59.0,73.0,102
,2019-04-18,4050.0,6,3983,69.0,19.0,4185,55.0,65.0,3578,60.0,27.0,4888,28.0,12.0,3883,37.0,68.0,4989,33.0,39.0,8
,2019-04-18,1020.0,7,3527,51.0,38.0,4571,32.0,11.0,3503,45.0,69.0,4136,75.0,13.0,4492,20.0,75.0,3025,23.0,51.0,2
,2019-04-18,690.0,9,3458,41.0,16.0,4075,61.0,14.0,4512,35.0,17.0,4212,71.0,35.0,4167,48.0,44.0,4199,65.0,49.0,5
,2019-04-18,4410.0,10,3874,26.0,29.0,4649,42.0,70.0,3811,12.0,74.0,3983,69.0,19.0,3947,39.0,45.0,3562,15.0,62.0,77
,2019-04-18,5570.0,11,4492,20.0,75.0,3905,40.0,28.0,4573,73.0,58.0,3501,47.0,43.0,3627,58.0,52.0,3685,50.0,47.0,49
,2019-04-18,3120.0,12,4166,52.0,18.0,3488,18.0,53.0,4136,75.0,13.0,4677,59.0,73.0,4512,35.0,17.0,3771,36.0,57.0,13
,2019-04-19,4360.0,1,3503,45.0,69.0,4360,49.0,15.0,4185,55.0,65.0,4075,61.0,14.0,4888,28.0,12.0,4952,62.0,71.0,64
,2019-04-19,6790.0,2,3883,37.0,68.0,3874,26.0,29.0,4571,32.0,11.0,5062,66.0,21.0,3655,70.0,72.0,4449,25.0,22.0,8
,2019-04-19,3000.0,3,3578,60.0,27.0,3685,50.0,47.0,4677,59.0,73.0,4989,33.0,39.0,3771,36.0,57.0,3596,74.0,46.0,45
,2019-04-19,3310.0,5,3905,40.0,28.0,3458,41.0,16.0,3983,69.0,19.0,4492,20.0,75.0,3811,12.0,74.0,4185,55.0,65.0,66
,2019-04-19,1200.0,6,4573,73.0,58.0,4952,62.0,71.0,4167,48.0,44.0,3883,37.0,68.0,4440,68.0,64.0,5047,46.0,61.0,7
,2019-04-19,430.0,7,4512,35.0,17.0,4166,52.0,18.0,3627,58.0,52.0,3790,13.0,30.0,4449,25.0,22.0,4989,33.0,39.0,2
,2019-04-19,38860.0,8,4292,38.0,41.0,3947,39.0,45.0,4212,71.0,35.0,4946,16.0,40.0,3562,15.0,62.0,5062,66.0,21.0,95
,2019-04-19,90580.0,9,3811,12.0,74.0,3655,70.0,72.0,3025,23.0,51.0,3527,51.0,38.0,4649,42.0,70.0,3793,63.0,25.0,111
,2019-04-19,1580.0,10,4571,32.0,11.0,4062,64.0,55.0,3771,36.0,57.0,3488,18.0,53.0,3458,41.0,16.0,3501,47.0,43.0,10
,2019-04-19,38020.0,11,4166,52.0,18.0,4677,59.0,73.0,4492,20.0,75.0,4292,38.0,41.0,4573,73.0,58.0,3874,26.0,29.0,99
,2019-04-19,1880.0,12,3983,69.0,19.0,4136,75.0,13.0,4512,35.0,17.0,3562,15.0,62.0,3685,50.0,47.0,4075,61.0,14.0,10
,2019-04-20,15970.0,1,4185,55.0,65.0,4212,71.0,35.0,4952,62.0,71.0,4292,38.0,41.0,3905,40.0,28.0,4167,48.0,44.0,47
,2019-04-20,43770.0,2,4360,49.0,15.0,3771,36.0,57.0,3655,70.0,72.0,4512,35.0,17.0,3928,57.0,50.0,4166,52.0,18.0,118
,2019-04-20,8020.0,3,4062,64.0,55.0,3025,23.0,51.0,4571,32.0,11.0,3503,45.0,69.0,4573,73.0,58.0,3983,69.0,19.0,20
,2019-04-20,9640.0,4,3527,51.0,38.0,3947,39.0,45.0,4677,59.0,73.0,3685,50.0,47.0,3501,47.0,43.0,3811,12.0,74.0,91
,2019-04-20,3470.0,5,3596,74.0,46.0,4199,65.0,49.0,3793,63.0,25.0,3790,13.0,30.0,4649,42.0,70.0,5062,66.0,21.0,3
,2019-04-20,8860.0,6,4075,61.0,14.0,3578,60.0,27.0,4449,25.0,22.0,4212,71.0,35.0,4946,16.0,40.0,4888,28.0,12.0,61
,2019-04-20,1050.0,7,3488,18.0,53.0,3562,15.0,62.0,3503,45.0,69.0,4492,20.0,75.0,3627,58.0,52.0,5047,46.0,61.0,22
,2019-04-20,5540.0,8,3458,41.0,16.0,3883,37.0,68.0,4440,68.0,64.0,3025,23.0,51.0,3874,26.0,29.0,4989,33.0,39.0,84
,2019-04-20,750.0,9,3501,47.0,43.0,4573,73.0,58.0,3790,13.0,30.0,3793,63.0,25.0,3771,36.0,57.0,3527,51.0,38.0,1
,2019-04-20,5260.0,10,3983,69.0,19.0,4075,61.0,14.0,4512,35.0,17.0,4677,59.0,73.0,4199,65.0,49.0,3488,18.0,53.0,13
,2019-04-20,590.0,11,4166,52.0,18.0,3685,50.0,47.0,4492,20.0,75.0,4571,32.0,11.0,3458,41.0,16.0,3596,74.0,46.0,1
,2019-04-20,8630.0,12,4649,42.0,70.0,3928,57.0,50.0,3947,39.0,45.0,3578,60.0,27.0,4062,64.0,55.0,3883,37.0,68.0,16
,2019-04-21,2270.0,1,4440,68.0,64.0,4952,62.0,71.0,4185,55.0,65.0,3655,70.0,72.0,5062,66.0,21.0,4360,49.0,15.0,10
,2019-04-21,2570.0,2,3947,39.0,23.0,4167,48.0,44.0,3627,58.0,52.0,3874,26.0,29.0,4946,16.0,40.0,4989,33.0,39.0,5
,2019-04-21,2350.0,3,4212,71.0,35.0,4888,28.0,12.0,3928,57.0,50.0,3790,13.0,30.0,3905,40.0,28.0,4571,32.0,11.0,113
