,date,result_com,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,money,racer_1_b,racer_1_m,racer_2_b,racer_2_m,racer_3_b,racer_3_m,racer_4_b,racer_4_m,racer_5_b,racer_5_m,racer_6_b,racer_6_m
,2013-04-01,5,1,3548,2795,3668,3682,4652,3934,860.0,47.0,58.0,63.0,62.0,57.0,21.0,68.0,40.0,38.0,73.0,48.0,76.0
,2013-04-01,1,2,3282,4202,4259,2568,3976,3459,470.0,33.0,27.0,16.0,49.0,29.0,24.0,26.0,25.0,45.0,32.0,70.0,20.0
,2013-04-01,107,3,2698,4217,4257,4547,4496,3946,5220.0,19.0,57.0,66.0,17.0,64.0,34.0,41.0,48.0,75.0,51.0,12.0,64.0
,2013-04-01,1,4,3911,4109,3305,3346,4553,3257,1750.0,27.0,26.0,28.0,16.0,59.0,60.0,43.0,54.0,65.0,30.0,50.0,44.0
,2013-04-01,41,5,3532,3668,3662,3969,4403,4624,2670.0,20.0,33.0,57.0,21.0,73.0,19.0,69.0,45.0,72.0,59.0,36.0,43.0
,2013-04-01,63,7,3869,3671,2795,4257,2568,4616,820.0,53.0,72.0,39.0,14.0,63.0,62.0,64.0,34.0,26.0,25.0,74.0,23.0
,2013-04-01,1,8,3729,3849,4403,4217,3379,4652,1900.0,71.0,75.0,13.0,56.0,72.0,59.0,66.0,17.0,30.0,22.0,38.0,73.0
,2013-04-01,97,9,3682,4259,3765,4624,3946,3305,1310.0,68.0,40.0,29.0,24.0,76.0,70.0,36.0,43.0,12.0,64.0,59.0,60.0
,2013-04-01,17,10,4356,4547,3548,3671,3257,4154,4150.0,56.0,47.0,41.0,48.0,47.0,58.0,39.0,14.0,50.0,44.0,18.0,41.0
,2013-04-01,47,11,4109,3532,4236,4496,3619,3379,9700.0,28.0,16.0,20.0,33.0,49.0,71.0,75.0,51.0,11.0,29.0,30.0,22.0
,2013-04-01,17,12,3849,3448,3911,3282,3349,3662,2200.0,13.0,56.0,15.0,15.0,27.0,26.0,33.0,27.0,35.0,69.0,73.0,19.0
,2013-04-02,1,1,4236,3729,3976,3765,3969,3934,580.0,49.0,71.0,71.0,75.0,45.0,32.0,76.0,70.0,69.0,45.0,48.0,76.0
,2013-04-02,95,2,4259,4217,4220,3257,4624,4616,15260.0,29.0,24.0,66.0,17.0,61.0,65.0,50.0,44.0,36.0,43.0,74.0,23.0
,2013-04-02,26,3,3671,3946,3869,3911,4652,4496,370.0,39.0,14.0,12.0,64.0,53.0,72.0,27.0,26.0,38.0,73.0,75.0,51.0
,2013-04-02,105,4,3619,3305,4202,2795,3282,3349,14230.0,11.0,29.0,59.0,60.0,16.0,49.0,63.0,62.0,33.0,27.0,35.0,69.0
,2013-04-02,10,5,3548,3459,4154,4356,3682,3934,470.0,47.0,58.0,70.0,20.0,18.0,41.0,56.0,47.0,68.0,40.0,48.0,76.0
,2013-04-02,119,6,3668,3765,3849,4553,3448,3532,6100.0,57.0,21.0,76.0,70.0,13.0,56.0,65.0,30.0,15.0,15.0,20.0,33.0
,2013-04-02,37,7,4257,4403,3969,2698,4616,2568,5650.0,64.0,34.0,72.0,59.0,69.0,45.0,19.0,57.0,74.0,23.0,26.0,25.0
,2013-04-02,76,8,4202,3548,4496,3729,3346,3559,18560.0,16.0,49.0,47.0,58.0,75.0,51.0,71.0,75.0,43.0,54.0,31.0,38.0
,2013-04-02,41,9,3305,3869,3379,4109,4220,4553,14890.0,59.0,60.0,53.0,72.0,30.0,22.0,28.0,16.0,61.0,65.0,65.0,30.0
,2013-04-02,66,10,3257,3619,3448,4154,2698,3976,3970.0,50.0,44.0,11.0,29.0,15.0,15.0,18.0,41.0,19.0,57.0,45.0,32.0
,2013-04-02,61,11,3849,4236,3559,4547,3911,3282,4390.0,13.0,56.0,49.0,71.0,31.0,38.0,41.0,48.0,27.0,26.0,33.0,27.0
,2013-04-02,6,12,3946,4356,4109,3532,3662,3346,1640.0,12.0,64.0,56.0,47.0,28.0,16.0,20.0,33.0,73.0,19.0,43.0,54.0
,2013-04-03,5,1,3305,4553,3459,3671,4217,3934,650.0,59.0,60.0,65.0,30.0,70.0,20.0,39.0,14.0,66.0,17.0,48.0,76.0
,2013-04-03,12,2,3532,2568,4624,3668,3349,4257,6360.0,20.0,33.0,26.0,25.0,36.0,43.0,57.0,21.0,35.0,69.0,64.0,34.0
,2013-04-03,41,4,3976,2698,3946,4259,2795,3619,4220.0,45.0,32.0,19.0,57.0,12.0,64.0,29.0,24.0,63.0,62.0,11.0,29.0
,2013-04-03,1,5,3662,3379,4547,4220,3729,4616,470.0,73.0,19.0,30.0,22.0,41.0,48.0,61.0,65.0,71.0,75.0,74.0,23.0
,2013-04-03,53,6,2568,4109,3257,3869,3459,4652,17830.0,26.0,25.0,28.0,16.0,50.0,44.0,53.0,72.0,70.0,20.0,38.0,73.0
,2013-04-03,1,7,4403,3668,3682,2795,3765,3969,390.0,72.0,59.0,57.0,21.0,68.0,40.0,63.0,62.0,76.0,70.0,69.0,45.0
