,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2016-04-01,1710.0,1,4451,29.0,0.16,58.0,0.379,1,27.0,4,4248,34.0,0.21,34.0,0.19399999999999998,1,49.0,2,3964,37.0,0.21,53.0,0.205,1,29.0,2,3720,41.0,0.18,68.0,0.08199999999999999,1,31.0,1,4846,23.0,0.19,56.0,0.018000000000000002,1,69.0,2,4778,31.0,0.2,15.0,0.131,1,23.0,2,4
,2016-04-01,1560.0,2,4230,33.0,0.14,35.0,0.4,1,66.0,3,3741,42.0,0.18,40.0,0.26899999999999996,1,22.0,2,4249,34.0,0.18,62.0,0.23,1,60.0,2,4514,27.0,0.21,44.0,0.20800000000000002,1,51.0,2,3860,43.0,0.2,49.0,0.336,1,68.0,2,4299,34.0,0.15,60.0,0.166,1,40.0,2,13
,2016-04-01,540.0,3,3915,42.0,0.18,51.0,0.376,1,57.0,3,3997,37.0,0.17,57.0,0.532,1,36.0,4,3090,55.0,0.19,45.0,0.156,1,14.0,2,3477,46.0,0.19,52.0,0.33899999999999997,1,25.0,2,4558,26.0,0.16,47.0,0.198,1,46.0,2,4116,35.0,0.14,74.0,0.46,1,16.0,3,2
,2016-04-01,7050.0,4,4475,29.0,0.17,76.0,0.387,1,38.0,3,3982,39.0,0.17,54.0,0.276,1,34.0,2,3189,54.0,0.21,66.0,0.165,1,54.0,2,4572,28.0,0.15,72.0,0.345,1,75.0,3,3534,44.0,0.14,64.0,0.488,1,59.0,4,3278,50.0,0.19,46.0,0.41600000000000004,1,74.0,3,82
,2016-04-01,4620.0,6,4248,34.0,0.21,34.0,0.19399999999999998,1,49.0,2,4163,34.0,0.17,43.0,0.439,1,62.0,4,3860,43.0,0.2,49.0,0.336,1,68.0,2,4234,33.0,0.17,37.0,0.282,1,26.0,2,3478,46.0,0.17,39.0,0.377,1,41.0,3,4384,31.0,0.16,75.0,0.534,1,28.0,4,20
,2016-04-01,5810.0,7,3680,43.0,0.2,67.0,0.375,1,73.0,3,4514,27.0,0.21,44.0,0.20800000000000002,1,51.0,2,4572,28.0,0.15,72.0,0.345,1,75.0,3,4558,26.0,0.16,47.0,0.198,1,46.0,2,4778,31.0,0.2,15.0,0.131,1,23.0,2,2930,60.0,0.18,38.0,0.48,1,70.0,4,105
,2016-04-01,890.0,8,3964,37.0,0.21,53.0,0.205,1,29.0,2,3989,38.0,0.21,59.0,0.225,1,48.0,2,4212,32.0,0.22,55.0,0.212,1,30.0,2,3265,51.0,0.15,61.0,0.638,1,64.0,4,3090,55.0,0.19,45.0,0.156,1,14.0,2,4401,32.0,0.14,41.0,0.40299999999999997,1,44.0,3,64
,2016-04-01,15200.0,9,3233,49.0,0.15,70.0,0.385,1,13.0,3,4366,31.0,0.13,65.0,0.525,1,47.0,4,3477,46.0,0.19,52.0,0.33899999999999997,1,25.0,2,3189,54.0,0.21,66.0,0.165,1,54.0,2,3338,51.0,0.16,71.0,0.237,1,56.0,2,4846,23.0,0.19,56.0,0.018000000000000002,1,69.0,2,30
,2016-04-01,36400.0,10,4163,34.0,0.17,43.0,0.439,1,62.0,4,3680,43.0,0.2,67.0,0.375,1,73.0,3,3278,50.0,0.19,46.0,0.41600000000000004,1,74.0,3,4116,35.0,0.14,74.0,0.46,1,16.0,3,3508,45.0,0.2,50.0,0.36700000000000005,1,32.0,3,4213,32.0,0.14,73.0,0.268,1,65.0,2,113
,2016-04-01,1790.0,11,3997,37.0,0.17,57.0,0.532,1,36.0,4,3882,43.0,0.17,33.0,0.409,1,19.0,3,2930,60.0,0.18,38.0,0.48,1,70.0,4,4475,29.0,0.17,76.0,0.387,1,38.0,3,4401,32.0,0.14,41.0,0.40299999999999997,1,44.0,3,4382,32.0,0.16,63.0,0.292,1,45.0,2,7
