,date,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2018-04-04,1450.0,1,3947,39.0,26.0,4880,30.0,59.0,3344,18.0,28.0,4319,20.0,69.0,3296,27.0,15.0,3748,47.0,14.0,64
,2018-04-04,42170.0,2,3653,46.0,64.0,4053,17.0,36.0,4111,14.0,22.0,3843,67.0,56.0,4122,65.0,54.0,4375,24.0,32.0,91
,2018-04-04,2240.0,3,3953,50.0,53.0,4039,16.0,29.0,4601,12.0,24.0,3542,73.0,44.0,3605,45.0,66.0,4327,49.0,38.0,43
,2018-04-04,2900.0,4,3643,43.0,31.0,4856,57.0,50.0,4318,72.0,46.0,4124,36.0,23.0,4592,59.0,18.0,3769,63.0,58.0,50
,2018-04-04,890.0,6,4269,71.0,72.0,3189,11.0,75.0,3653,46.0,70.0,3305,51.0,17.0,3467,38.0,34.0,5005,33.0,39.0,10
,2018-04-04,15900.0,7,3905,58.0,20.0,3828,19.0,55.0,3953,50.0,53.0,4220,37.0,57.0,4111,14.0,22.0,4575,34.0,27.0,46
,2018-04-04,5070.0,8,4053,17.0,36.0,3542,73.0,44.0,3947,39.0,26.0,3643,43.0,31.0,4259,28.0,48.0,4915,25.0,40.0,86
,2018-04-04,3530.0,9,3843,67.0,56.0,3933,54.0,71.0,4649,29.0,52.0,4039,16.0,74.0,4856,57.0,50.0,4363,35.0,73.0,9
,2018-04-04,2130.0,10,3605,45.0,66.0,4124,36.0,23.0,3773,52.0,13.0,4375,24.0,32.0,4121,66.0,11.0,3893,53.0,42.0,9
,2018-04-04,2790.0,11,4601,12.0,24.0,4319,20.0,69.0,3769,63.0,58.0,4122,65.0,54.0,4220,37.0,57.0,4356,61.0,25.0,12
,2018-04-04,18170.0,12,3933,54.0,71.0,4269,71.0,72.0,4076,69.0,49.0,4259,28.0,48.0,3828,19.0,55.0,4318,72.0,46.0,43
,2018-04-05,1420.0,1,3296,27.0,15.0,4915,25.0,40.0,4575,34.0,27.0,4318,72.0,46.0,3344,18.0,28.0,5005,33.0,39.0,69
,2018-04-05,4400.0,2,3305,51.0,17.0,4220,37.0,57.0,4122,65.0,54.0,3748,47.0,14.0,4039,16.0,74.0,3773,52.0,13.0,28
,2018-04-05,8660.0,3,3542,73.0,44.0,3467,38.0,34.0,4124,36.0,23.0,4601,12.0,24.0,3933,54.0,71.0,3947,39.0,26.0,3
,2018-04-05,9810.0,4,4375,24.0,32.0,4327,49.0,38.0,4259,28.0,48.0,4035,74.0,19.0,4363,35.0,73.0,3843,67.0,56.0,25
,2018-04-05,1730.0,5,3769,63.0,58.0,4649,29.0,52.0,3828,19.0,55.0,3605,45.0,66.0,3905,58.0,20.0,3344,18.0,28.0,1
,2018-04-05,2480.0,6,4076,69.0,49.0,4592,59.0,18.0,3883,62.0,41.0,3296,27.0,15.0,3643,43.0,31.0,3189,11.0,75.0,8
,2018-04-05,2020.0,7,3893,53.0,42.0,4356,61.0,25.0,4269,71.0,72.0,4880,30.0,59.0,3305,51.0,17.0,4053,17.0,36.0,28
,2018-04-05,2850.0,8,4363,35.0,73.0,4575,34.0,27.0,3748,47.0,14.0,3653,46.0,70.0,4319,20.0,69.0,3467,38.0,34.0,9
,2018-04-05,1200.0,9,4220,37.0,57.0,4259,28.0,48.0,4856,57.0,50.0,4121,66.0,11.0,3769,63.0,58.0,4111,14.0,22.0,21
,2018-04-05,960.0,10,4356,61.0,25.0,3605,45.0,66.0,3933,54.0,71.0,3773,52.0,13.0,3953,50.0,53.0,4035,74.0,67.0,7
,2018-04-05,5520.0,11,4318,72.0,46.0,4076,69.0,49.0,3905,58.0,20.0,3893,53.0,42.0,4601,12.0,24.0,4039,16.0,74.0,10
,2018-04-06,1580.0,1,3189,11.0,75.0,3953,50.0,53.0,4592,59.0,18.0,3769,63.0,58.0,4915,25.0,40.0,4880,30.0,59.0,65
,2018-04-06,4280.0,2,3344,18.0,28.0,4111,14.0,22.0,4053,17.0,36.0,3947,39.0,26.0,4327,49.0,38.0,3905,58.0,20.0,41
,2018-04-06,1580.0,3,3773,52.0,13.0,3893,53.0,42.0,3296,27.0,15.0,4356,61.0,25.0,3883,62.0,41.0,4220,37.0,57.0,61
,2018-04-06,12590.0,4,4035,74.0,67.0,4318,72.0,46.0,3605,45.0,66.0,4363,35.0,73.0,4575,34.0,27.0,3542,73.0,44.0,47
,2018-04-06,1390.0,5,3467,38.0,34.0,4601,12.0,24.0,4915,25.0,40.0,4076,69.0,49.0,5005,33.0,39.0,4121,66.0,11.0,61
,2018-04-06,690.0,6,4259,28.0,48.0,3748,47.0,14.0,4880,30.0,59.0,4856,57.0,50.0,3653,46.0,70.0,3643,43.0,31.0,9
,2018-04-06,3990.0,7,4039,16.0,74.0,3843,67.0,56.0,4327,49.0,38.0,3933,54.0,71.0,3189,11.0,75.0,3305,51.0,17.0,12
,2018-04-06,6660.0,8,4122,65.0,51.0,3883,62.0,41.0,3542,73.0,44.0,4649,29.0,52.0,4269,71.0,62.0,3953,50.0,53.0,4
,2018-04-06,1380.0,9,4319,20.0,69.0,3344,18.0,28.0,3893,53.0,42.0,4592,59.0,18.0,4053,17.0,36.0,5005,33.0,39.0,6
,2018-04-06,2300.0,10,4124,36.0,23.0,4363,35.0,73.0,4121,66.0,11.0,3905,58.0,20.0,4375,24.0,32.0,3653,46.0,70.0,7
,2018-04-06,2030.0,11,3769,63.0,58.0,4076,69.0,49.0,3843,67.0,56.0,4259,28.0,48.0,4356,61.0,25.0,3605,45.0,66.0,63
