,date,result_com,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,money,racer_1_b,racer_1_m,racer_2_b,racer_2_m,racer_3_b,racer_3_m,racer_4_b,racer_4_m,racer_5_b,racer_5_m,racer_6_b,racer_6_m
,2016-04-01,4,1,4451,4248,3964,3720,4846,4778,1710.0,58.0,27.0,34.0,49.0,53.0,29.0,68.0,31.0,56.0,69.0,15.0,23.0
,2016-04-01,13,2,4230,3741,4249,4514,3860,4299,1560.0,35.0,66.0,40.0,22.0,62.0,60.0,44.0,51.0,49.0,68.0,60.0,40.0
,2016-04-01,2,3,3915,3997,3090,3477,4558,4116,540.0,51.0,57.0,57.0,36.0,45.0,14.0,52.0,25.0,47.0,46.0,74.0,16.0
,2016-04-01,82,4,4475,3982,3189,4572,3534,3278,7050.0,76.0,38.0,54.0,34.0,66.0,54.0,72.0,75.0,64.0,59.0,46.0,74.0
,2016-04-01,20,6,4248,4163,3860,4234,3478,4384,4620.0,34.0,49.0,43.0,62.0,49.0,68.0,37.0,26.0,39.0,41.0,75.0,28.0
,2016-04-01,105,7,3680,4514,4572,4558,4778,2930,5810.0,67.0,73.0,44.0,51.0,72.0,75.0,47.0,46.0,15.0,23.0,38.0,70.0
,2016-04-01,64,8,3964,3989,4212,3265,3090,4401,890.0,53.0,29.0,59.0,48.0,55.0,30.0,61.0,64.0,45.0,14.0,41.0,44.0
,2016-04-01,30,9,3233,4366,3477,3189,3338,4846,15200.0,70.0,13.0,65.0,47.0,52.0,25.0,66.0,54.0,71.0,56.0,56.0,69.0
,2016-04-01,113,10,4163,3680,3278,4116,3508,4213,36400.0,43.0,62.0,67.0,73.0,46.0,74.0,74.0,16.0,50.0,32.0,73.0,65.0
,2016-04-01,7,11,3997,3882,2930,4475,4401,4382,1790.0,57.0,36.0,33.0,19.0,38.0,70.0,76.0,38.0,41.0,44.0,63.0,45.0
,2016-04-01,50,12,3265,4230,3915,4451,4384,3534,3150.0,61.0,64.0,35.0,66.0,51.0,57.0,58.0,27.0,75.0,28.0,64.0,59.0
,2016-04-02,6,1,3278,3508,4234,3982,3964,3720,1590.0,46.0,74.0,50.0,32.0,37.0,26.0,54.0,34.0,53.0,29.0,68.0,31.0
,2016-04-02,19,2,3882,4213,4299,3860,4842,4778,6380.0,33.0,19.0,73.0,65.0,60.0,40.0,49.0,68.0,69.0,35.0,15.0,23.0
,2016-04-02,70,3,3338,3820,4116,4451,3915,3741,4720.0,71.0,56.0,19.0,37.0,74.0,16.0,58.0,27.0,51.0,57.0,40.0,22.0
,2016-04-02,6,4,4401,4558,3989,4163,4248,3233,1610.0,41.0,44.0,47.0,46.0,59.0,48.0,43.0,62.0,34.0,49.0,70.0,13.0
,2016-04-02,64,5,2930,4249,4514,4382,3720,3607,6470.0,38.0,70.0,62.0,60.0,44.0,51.0,63.0,45.0,68.0,31.0,48.0,61.0
,2016-04-02,18,6,3508,4572,4366,3478,4778,3265,1790.0,50.0,32.0,72.0,75.0,65.0,47.0,39.0,41.0,15.0,23.0,61.0,64.0
,2016-04-02,35,7,3090,3534,3982,4384,3680,4842,1750.0,45.0,14.0,64.0,59.0,54.0,34.0,75.0,28.0,67.0,73.0,69.0,67.0
,2016-04-02,41,8,4116,4212,3997,3278,3189,4475,2710.0,74.0,16.0,55.0,30.0,57.0,36.0,46.0,74.0,66.0,54.0,76.0,38.0
,2016-04-02,7,9,3477,4299,3265,3989,3741,4846,1420.0,52.0,25.0,60.0,40.0,61.0,64.0,59.0,48.0,40.0,22.0,56.0,69.0
,2016-04-02,18,10,3534,3338,4401,4213,3233,3478,5630.0,64.0,59.0,71.0,56.0,41.0,44.0,73.0,65.0,70.0,13.0,39.0,41.0
,2016-04-02,10,11,4384,4382,4451,3882,4475,4248,1100.0,75.0,28.0,63.0,45.0,58.0,27.0,33.0,19.0,76.0,38.0,34.0,49.0
,2016-04-02,3,12,3997,4163,3680,2930,4230,3915,1430.0,57.0,36.0,43.0,62.0,67.0,73.0,38.0,70.0,35.0,66.0,51.0,57.0
