,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,920.0,1,3826,49.0,12.0,3936,24.0,63.0,2959,75.0,11.0,4640,41.0,29.0,4635,27.0,22.0,4632,45.0,49.0,6
,460.0,2,2958,68.0,33.0,3478,18.0,43.0,3636,67.0,46.0,3660,55.0,76.0,4554,31.0,16.0,3561,46.0,59.0,2
,5210.0,3,3428,54.0,40.0,4253,29.0,54.0,4185,58.0,65.0,3883,20.0,24.0,3073,38.0,34.0,4331,34.0,32.0,10
,970.0,4,4047,74.0,48.0,3679,66.0,21.0,3670,64.0,53.0,3224,13.0,56.0,4010,51.0,20.0,4391,65.0,61.0,2
,2940.0,6,3866,43.0,30.0,3636,67.0,46.0,3313,12.0,38.0,4136,56.0,47.0,3694,17.0,41.0,2974,22.0,25.0,73
,2930.0,7,3818,44.0,75.0,4033,50.0,45.0,3319,61.0,66.0,4342,47.0,23.0,2959,75.0,11.0,3660,55.0,76.0,32
,17640.0,8,4185,58.0,65.0,4101,23.0,15.0,4010,51.0,20.0,3936,24.0,63.0,3278,52.0,74.0,4393,25.0,64.0,4
,470.0,9,3670,64.0,53.0,3685,30.0,55.0,2958,68.0,33.0,3073,38.0,34.0,4632,45.0,49.0,3989,62.0,35.0,21
,1240.0,10,4033,50.0,45.0,4047,74.0,48.0,3694,17.0,41.0,3826,49.0,12.0,3781,70.0,31.0,2904,32.0,19.0,6
,1080.0,11,4101,23.0,15.0,4136,56.0,47.0,3753,21.0,28.0,3354,59.0,71.0,3319,61.0,66.0,3224,13.0,56.0,1
,1810.0,12,3679,66.0,21.0,3473,28.0,39.0,3685,30.0,55.0,2974,22.0,25.0,4342,47.0,23.0,3313,12.0,38.0,14
,1630.0,1,3278,52.0,67.0,3883,20.0,24.0,3073,38.0,34.0,4010,51.0,20.0,3989,62.0,35.0,3636,67.0,46.0,11
,1990.0,2,3670,64.0,53.0,3660,55.0,76.0,2904,32.0,19.0,4391,65.0,61.0,4632,45.0,62.0,2959,75.0,11.0,6
,1710.0,3,4331,34.0,32.0,3781,70.0,31.0,4253,29.0,54.0,3224,13.0,56.0,4554,31.0,16.0,3936,24.0,63.0,5
,6040.0,4,4185,58.0,65.0,3866,43.0,30.0,3319,61.0,66.0,4393,25.0,64.0,3685,30.0,55.0,2958,68.0,33.0,81
,1200.0,5,4342,47.0,23.0,3561,46.0,59.0,2974,22.0,25.0,3354,59.0,71.0,3826,49.0,12.0,4635,27.0,22.0,11
,36560.0,6,3313,12.0,38.0,3694,17.0,41.0,3478,18.0,43.0,4033,50.0,45.0,4136,56.0,47.0,4640,41.0,29.0,53
,3320.0,7,3428,54.0,40.0,3473,28.0,39.0,4393,25.0,64.0,2904,32.0,19.0,3679,66.0,21.0,3753,21.0,28.0,22
,1410.0,8,3818,44.0,75.0,3354,59.0,71.0,4047,74.0,48.0,3866,43.0,30.0,4101,23.0,15.0,4058,37.0,50.0,92
,26920.0,9,4033,50.0,45.0,2958,68.0,33.0,3826,49.0,12.0,3660,55.0,76.0,3883,20.0,24.0,4185,58.0,65.0,24
,410.0,11,3685,30.0,55.0,4136,56.0,47.0,3694,17.0,41.0,3781,70.0,31.0,3670,64.0,53.0,3428,54.0,40.0,1
,490.0,12,4101,23.0,15.0,2974,22.0,25.0,3473,28.0,39.0,3478,18.0,43.0,3278,52.0,67.0,3818,44.0,75.0,7
,1220.0,1,3473,28.0,39.0,3936,24.0,63.0,3561,46.0,59.0,2959,75.0,11.0,4554,31.0,16.0,4640,41.0,29.0,2
,1130.0,2,3826,49.0,12.0,3989,62.0,35.0,4058,37.0,50.0,3753,21.0,28.0,2904,32.0,19.0,4635,27.0,22.0,5
,1090.0,3,2974,22.0,25.0,3636,67.0,46.0,4253,29.0,54.0,3818,44.0,75.0,3073,38.0,34.0,4632,45.0,62.0,5
,800.0,4,3670,64.0,53.0,3694,17.0,41.0,4185,58.0,65.0,3679,66.0,21.0,4010,51.0,20.0,4047,74.0,48.0,9
,680.0,5,4033,50.0,45.0,3224,13.0,56.0,2958,68.0,33.0,4391,65.0,61.0,4393,25.0,64.0,4554,31.0,16.0,1
,1790.0,7,3660,55.0,76.0,3278,52.0,67.0,3428,54.0,40.0,3685,30.0,55.0,4640,41.0,29.0,3883,20.0,24.0,29
,6360.0,8,3561,46.0,59.0,3753,21.0,28.0,4331,34.0,32.0,4342,47.0,23.0,3636,67.0,46.0,4101,23.0,15.0,68
,23860.0,1,4008,49.0,51.0,4366,55.0,68.0,3813,72.0,50.0,4320,64.0,24.0,3984,53.0,15.0,4019,32.0,18.0,102
,5740.0,3,3773,68.0,73.0,4292,23.0,57.0,3576,48.0,67.0,4276,14.0,48.0,4140,57.0,47.0,3897,52.0,41.0,24
,1290.0,4,3502,15.0,31.0,3251,43.0,39.0,4205,76.0,26.0,3612,54.0,22.0,4049,56.0,49.0,3568,20.0,69.0,5
,2670.0,5,3529,46.0,61.0,3966,40.0,20.0,4364,12.0,13.0,4370,11.0,65.0,3992,27.0,74.0,3941,73.0,19.0,24
,3780.0,6,4264,66.0,44.0,4193,26.0,62.0,4366,55.0,68.0,3557,17.0,21.0,4174,35.0,75.0,3983,47.0,14.0,10
,20050.0,7,3349,74.0,17.0,3933,22.0,12.0,4320,64.0,24.0,3942,63.0,59.0,3555,36.0,52.0,4070,16.0,76.0,96
,9560.0,9,3612,54.0,22.0,4168,31.0,64.0,3984,53.0,15.0,3422,21.0,35.0,4418,13.0,53.0,4140,57.0,47.0,62
,36690.0,10,3908,33.0,55.0,3576,48.0,67.0,3941,73.0,19.0,3983,47.0,14.0,3613,50.0,23.0,4205,76.0,26.0,66
,3600.0,11,3557,17.0,21.0,3773,68.0,73.0,3251,43.0,39.0,4008,49.0,51.0,3572,28.0,70.0,3942,63.0,59.0,19
,2890.0,12,3783,30.0,40.0,3946,70.0,66.0,2992,65.0,37.0,4024,71.0,46.0,3779,51.0,72.0,4096,60.0,45.0,61
,1930.0,1,4096,60.0,45.0,3349,74.0,17.0,3572,28.0,70.0,4364,12.0,13.0,3568,20.0,69.0,3908,33.0,55.0,10
,2400.0,2,3984,53.0,15.0,3555,36.0,52.0,3502,15.0,31.0,4193,26.0,62.0,3933,22.0,12.0,3779,51.0,72.0,7
,3990.0,3,3992,27.0,74.0,4370,11.0,65.0,4276,14.0,48.0,4174,35.0,75.0,4292,23.0,57.0,2992,65.0,37.0,1
,2810.0,4,3703,59.0,27.0,3529,46.0,61.0,3978,19.0,16.0,3966,40.0,20.0,4008,49.0,51.0,3783,30.0,40.0,2
,2430.0,5,4070,16.0,76.0,4364,12.0,13.0,3946,70.0,66.0,4205,76.0,26.0,4019,32.0,18.0,4366,55.0,68.0,15
,3310.0,6,3576,48.0,67.0,4024,71.0,46.0,4168,31.0,64.0,3908,33.0,55.0,4193,26.0,62.0,3773,68.0,73.0,10
