,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2340.0,1.0,4335.0,30.0,0.13,52.0,0.537,1,48.0,4,3868.0,39.0,0.21,75.0,0.341,1,13.0,3,3819.0,42.0,0.21,17.0,0.122,1,18.0,2,3545.0,45.0,0.24,63.0,0.10800000000000001,1,14.0,2,4776.0,21.0,0.16,23.0,0.069,1,34.0,1,4763.0,24.0,0.16,76.0,0.013000000000000001,1,49.0,1,8.0
,680.0,2.0,3872.0,38.0,0.18,19.0,0.503,1,71.0,4,4564.0,27.0,0.17,61.0,0.214,1,69.0,2,3592.0,46.0,0.17,43.0,0.295,1,12.0,2,4533.0,26.0,0.19,71.0,0.285,1,30.0,2,4682.0,24.0,0.16,14.0,0.264,1,74.0,2,4709.0,25.0,0.19,21.0,0.016,1,57.0,1,1.0
,2420.0,4.0,4511.0,25.0,0.18,49.0,0.228,1,64.0,2,3582.0,41.0,0.18,69.0,0.526,1,27.0,4,4162.0,33.0,0.15,27.0,0.434,1,25.0,3,3659.0,40.0,0.18,65.0,0.39299999999999996,1,37.0,3,4624.0,29.0,0.16,68.0,0.301,1,44.0,2,4549.0,26.0,0.2,64.0,0.16399999999999998,1,16.0,2,11.0
,390.0,5.0,3550.0,43.0,0.17,31.0,0.48200000000000004,1,26.0,4,3519.0,46.0,0.17,22.0,0.42100000000000004,1,45.0,3,4552.0,25.0,0.2,67.0,0.16399999999999998,1,35.0,2,4583.0,25.0,0.16,34.0,0.39799999999999996,1,38.0,3,4574.0,26.0,0.2,11.0,0.349,1,56.0,3,4749.0,28.0,0.19,33.0,0.062,1,68.0,1,3.0
,8390.0,6.0,3592.0,46.0,0.17,43.0,0.295,1,12.0,2,4151.0,32.0,0.2,58.0,0.213,1,58.0,2,3360.0,45.0,0.19,50.0,0.456,1,39.0,4,3782.0,38.0,0.16,59.0,0.478,1,33.0,1,4004.0,36.0,0.15,15.0,0.33,1,55.0,2,3819.0,42.0,0.21,17.0,0.122,1,18.0,2,55.0
,15130.0,7.0,4603.0,26.0,0.17,39.0,0.126,1,72.0,2,4533.0,26.0,0.19,71.0,0.285,1,30.0,2,3095.0,52.0,0.17,72.0,0.233,1,66.0,2,4511.0,25.0,0.18,49.0,0.228,1,64.0,2,3545.0,45.0,0.24,63.0,0.10800000000000001,1,14.0,2,3478.0,44.0,0.17,24.0,0.36200000000000004,1,46.0,3,20.0
,860.0,8.0,3480.0,44.0,0.19,13.0,0.2,1,62.0,2,3675.0,42.0,0.21,47.0,0.061,1,24.0,1,3484.0,43.0,0.16,18.0,0.556,1,29.0,4,4564.0,27.0,0.17,61.0,0.214,1,69.0,2,3151.0,50.0,0.16,56.0,0.45299999999999996,1,40.0,3,4776.0,21.0,0.16,23.0,0.069,1,34.0,1,53.0
,570.0,10.0,4446.0,28.0,0.13,57.0,0.503,1,23.0,4,3992.0,36.0,0.15,37.0,0.38,1,11.0,3,3478.0,44.0,0.17,24.0,0.36200000000000004,1,46.0,3,3872.0,38.0,0.18,19.0,0.503,1,71.0,4,4348.0,29.0,0.18,70.0,0.303,1,31.0,2,4624.0,29.0,0.16,68.0,0.301,1,44.0,2,2.0
,590.0,11.0,3782.0,38.0,0.16,59.0,0.478,1,76.0,1,4051.0,33.0,0.18,54.0,0.44299999999999995,1,19.0,4,3736.0,41.0,0.17,38.0,0.48100000000000004,1,15.0,4,3519.0,46.0,0.17,22.0,0.42100000000000004,1,45.0,3,4162.0,33.0,0.15,27.0,0.434,1,25.0,3,4495.0,27.0,0.17,44.0,0.342,1,67.0,2,2.0
,890.0,12.0,3484.0,43.0,0.16,18.0,0.556,1,29.0,4,3360.0,45.0,0.19,50.0,0.456,1,39.0,4,3550.0,43.0,0.17,31.0,0.48200000000000004,1,26.0,4,4335.0,30.0,0.13,52.0,0.537,1,48.0,4,3346.0,48.0,0.18,74.0,0.281,1,50.0,2,3659.0,40.0,0.18,65.0,0.39299999999999996,1,37.0,3,10.0
