,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,3510.0,1,3514,52.0,47.0,2568,48.0,72.0,4164,50.0,56.0,4196,38.0,63.0,3796,54.0,25.0,5019,34.0,60.0,13
,1180.0,2,3505,28.0,61.0,3335,56.0,14.0,3631,60.0,71.0,3036,39.0,38.0,3778,57.0,53.0,3871,20.0,46.0,1
,17960.0,3,4302,22.0,24.0,3485,29.0,23.0,4463,21.0,43.0,3867,45.0,75.0,3589,31.0,44.0,4926,40.0,68.0,61
,590.0,4,4118,37.0,70.0,3790,27.0,62.0,4305,49.0,39.0,4521,25.0,37.0,4466,47.0,51.0,3460,24.0,77.0,6
,460.0,5,3489,55.0,13.0,4004,44.0,40.0,3936,53.0,55.0,3579,43.0,45.0,4510,19.0,49.0,5019,34.0,60.0,2
,6780.0,6,3581,17.0,34.0,3932,46.0,73.0,4545,41.0,59.0,3659,35.0,50.0,3902,30.0,36.0,3335,56.0,14.0,9
,12540.0,7,4164,50.0,56.0,4870,51.0,22.0,2992,26.0,29.0,4306,18.0,41.0,4651,23.0,15.0,4521,25.0,37.0,12
,1380.0,8,3501,36.0,65.0,3036,39.0,38.0,3867,45.0,75.0,2568,48.0,72.0,3790,27.0,62.0,4919,16.0,33.0,14
,2490.0,9,4600,32.0,69.0,3871,20.0,46.0,3796,54.0,25.0,4463,21.0,43.0,4112,33.0,57.0,3659,35.0,50.0,16
,49020.0,10,4305,49.0,39.0,3505,28.0,61.0,4196,38.0,63.0,3489,55.0,13.0,3581,17.0,34.0,3485,29.0,23.0,67
,740.0,11,4545,41.0,59.0,4118,37.0,70.0,3579,43.0,45.0,3514,52.0,47.0,4004,44.0,40.0,4870,51.0,22.0,1
,580.0,12,2992,26.0,29.0,3902,30.0,36.0,4302,22.0,24.0,3936,53.0,55.0,3501,36.0,65.0,4600,32.0,69.0,5
,2470.0,1,4112,33.0,57.0,3936,53.0,55.0,4651,23.0,15.0,3335,56.0,14.0,3867,45.0,75.0,4919,16.0,33.0,6
,460.0,2,3485,29.0,23.0,3659,35.0,50.0,3796,54.0,25.0,3036,39.0,38.0,4164,50.0,56.0,4926,40.0,68.0,1
,710.0,3,3579,43.0,45.0,3871,20.0,46.0,4870,51.0,22.0,3778,57.0,53.0,3932,46.0,73.0,5019,34.0,60.0,1
,730.0,4,3631,60.0,71.0,4466,47.0,51.0,3460,24.0,77.0,4463,21.0,43.0,3501,36.0,65.0,3514,52.0,47.0,4
,1190.0,5,4521,25.0,37.0,4306,18.0,41.0,3790,27.0,62.0,4651,23.0,15.0,3581,17.0,34.0,4510,19.0,49.0,7
,710.0,6,3902,30.0,36.0,4004,44.0,40.0,3335,56.0,14.0,3871,20.0,46.0,3036,39.0,38.0,3589,31.0,44.0,1
,21760.0,7,4196,38.0,63.0,3778,57.0,53.0,4112,33.0,57.0,3796,54.0,25.0,4466,47.0,51.0,4305,49.0,39.0,64
,6750.0,8,4600,32.0,69.0,3867,45.0,75.0,3659,35.0,50.0,3932,46.0,73.0,3631,60.0,71.0,4306,18.0,41.0,11
,1210.0,9,2568,48.0,72.0,3460,24.0,77.0,4164,50.0,56.0,3790,27.0,62.0,4919,16.0,33.0,4926,40.0,68.0,1
,5410.0,10,3514,52.0,47.0,3581,17.0,34.0,3902,30.0,36.0,4196,38.0,63.0,3936,53.0,55.0,3485,29.0,23.0,42
,1820.0,12,2992,26.0,29.0,4545,41.0,59.0,3489,55.0,13.0,4118,37.0,70.0,3505,28.0,61.0,4302,22.0,24.0,10
,5170.0,2,4503,35.0,52.0,4759,12.0,28.0,4695,76.0,66.0,4809,34.0,41.0,4887,14.0,49.0,4934,21.0,26.0,11
,19040.0,3,4713,60.0,37.0,4832,73.0,63.0,4709,59.0,33.0,4532,56.0,77.0,4875,63.0,32.0,4951,44.0,56.0,49
,2080.0,4,4805,39.0,76.0,4831,74.0,74.0,4877,64.0,53.0,4771,49.0,31.0,4703,54.0,75.0,4782,67.0,69.0,33
,360.0,5,4702,13.0,21.0,4715,27.0,67.0,4912,18.0,40.0,4551,72.0,70.0,4871,69.0,59.0,4890,65.0,27.0,2
,4380.0,6,4695,76.0,66.0,4948,23.0,15.0,4873,61.0,11.0,4864,68.0,16.0,4931,20.0,19.0,4747,48.0,20.0,14
,3090.0,7,4710,24.0,47.0,4802,62.0,35.0,4875,63.0,32.0,4711,40.0,44.0,4918,31.0,50.0,4776,45.0,71.0,10
,2200.0,8,4839,15.0,30.0,4757,58.0,12.0,4705,57.0,68.0,4887,14.0,49.0,4951,44.0,56.0,4524,70.0,38.0,8
,1900.0,9,4753,66.0,65.0,4805,39.0,76.0,4917,71.0,61.0,4787,11.0,60.0,4832,73.0,63.0,4715,27.0,67.0,80
,1680.0,11,4711,40.0,44.0,4551,72.0,70.0,4759,12.0,28.0,4757,58.0,12.0,4709,59.0,33.0,4703,54.0,75.0,4
,420.0,1,4532,56.0,77.0,4887,14.0,49.0,4931,20.0,19.0,4917,71.0,61.0,4805,39.0,76.0,4890,65.0,27.0,5
,1030.0,2,4711,40.0,44.0,4871,69.0,59.0,4839,15.0,30.0,4958,75.0,72.0,4864,68.0,16.0,4523,46.0,48.0,1
,13810.0,3,4759,12.0,28.0,4794,16.0,51.0,4776,45.0,71.0,4877,64.0,53.0,4873,61.0,11.0,4934,21.0,26.0,47
,17620.0,4,4771,49.0,31.0,4918,31.0,50.0,4831,74.0,74.0,4695,76.0,66.0,4757,58.0,12.0,4710,24.0,47.0,12
