,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,4.0,51.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
1,1.0,4.0,52.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
2,1.0,4.0,53.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
3,1.0,4.0,54.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
4,1.0,4.0,55.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
5,1.0,4.0,56.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
6,1.0,4.0,57.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
7,1.0,4.0,58.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
8,1.0,4.0,59.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
9,1.0,4.0,60.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
10,1.0,4.0,61.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
11,1.0,4.0,62.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
12,1.0,4.0,63.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
13,1.0,4.0,64.0,371150.0,420600.0,406.0,4206.0,88.24298621017594,9.652876842605801,406.0
14,1.0,4.0,65.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
15,1.0,4.0,66.0,371150.0,420700.0,406.0,4207.0,88.22201093415735,9.650582362728786,406.0
16,1.0,4.0,67.0,371150.0,420500.0,406.0,4205.0,88.26397146254459,9.655172413793103,406.0
17,1.0,4.0,68.0,371150.0,420200.0,406.0,4202.0,88.32698714897667,9.662065683008091,406.0
18,1.0,4.0,69.0,371150.0,420300.0,406.0,4203.0,88.30597192481561,9.659766833214372,406.0
19,1.0,4.0,70.0,371150.0,419800.0,406.0,4198.0,88.41114816579324,9.67127203430205,406.0
20,1.0,4.0,71.0,371150.0,419200.0,406.0,4192.0,88.53769083969466,9.685114503816795,406.0
21,1.0,4.0,72.0,371150.0,419300.0,406.0,4193.0,88.51657524445504,9.68280467445743,406.0
22,1.0,4.0,73.0,371150.0,418500.0,406.0,4185.0,88.6857825567503,9.70131421744325,406.0
23,1.0,4.0,74.0,371150.0,416900.0,406.0,4169.0,89.02614535859918,9.738546414008155,406.0
24,1.0,4.0,75.0,371150.0,415700.0,406.0,4157.0,89.28313687755593,9.766658648063506,406.0
25,1.0,4.0,76.0,370150.0,414600.0,406.0,4146.0,89.27882296189098,9.768451519536903,405.0
26,1.0,4.0,77.0,370150.0,413000.0,406.0,4130.0,89.62469733656174,9.806295399515738,405.0
27,1.0,4.0,78.0,357970.0,409700.0,406.0,4097.0,87.37368806443739,9.836465706614597,403.0
28,1.0,4.0,79.0,350730.0,407000.0,406.0,4070.0,86.17444717444718,9.852579852579852,401.0
29,1.0,4.0,80.0,347210.0,405200.0,406.0,4052.0,85.68854886475815,9.846989141164856,399.0
30,1.0,4.0,81.0,345340.0,400300.0,406.0,4003.0,86.27029727704222,9.917561828628529,397.0
31,1.0,4.0,82.0,345670.0,396000.0,406.0,3960.0,87.29040404040404,10.025252525252524,397.0
32,1.0,4.0,83.0,340870.0,394300.0,406.0,3943.0,86.4494040071012,9.96703018006594,393.0
33,1.0,4.0,84.0,340030.0,387100.0,406.0,3871.0,87.84035133040558,10.152415396538363,393.0
