,pred_1,pred_7,pred_10,pred_17,pred_18,pred_21,pred_22,result_com,date,year,month,day,num_date,range_date,season,right_pred,num_pred,money
17273,0,0,0,0,0,1,0,6,2020-04-08,2020,4,8,1,5,sp,0,1,1230.0
17274,0,0,0,0,0,0,0,4,2020-04-08,2020,4,8,1,5,sp,0,0,10190.0
17275,0,0,0,0,0,0,0,41,2020-04-08,2020,4,8,1,5,sp,0,0,2980.0
17276,0,0,0,0,0,0,0,1,2020-04-08,2020,4,8,1,5,sp,0,0,720.0
17277,0,0,0,1,1,0,0,1,2020-04-08,2020,4,8,1,5,sp,0,2,1020.0
17278,0,0,0,1,0,0,0,101,2020-04-08,2020,4,8,1,5,sp,0,1,3040.0
17279,0,0,0,0,0,0,0,24,2020-04-08,2020,4,8,1,5,sp,0,0,2260.0
17280,0,0,0,0,0,0,0,1,2020-04-08,2020,4,8,1,5,sp,0,0,710.0
17281,0,0,0,0,0,0,0,17,2020-04-08,2020,4,8,1,5,sp,0,0,5990.0
17282,0,0,0,0,0,0,0,11,2020-04-09,2020,4,9,2,5,sp,0,0,2130.0
17283,0,0,0,0,0,0,0,18,2020-04-09,2020,4,9,2,5,sp,0,0,1830.0
17284,0,0,0,0,0,0,0,10,2020-04-09,2020,4,9,2,5,sp,0,0,1310.0
17285,0,0,0,0,0,0,0,12,2020-04-09,2020,4,9,2,5,sp,0,0,1260.0
17286,0,0,0,1,1,0,0,8,2020-04-09,2020,4,9,2,5,sp,0,2,2230.0
17287,0,0,0,0,0,0,0,8,2020-04-09,2020,4,9,2,5,sp,0,0,2740.0
17288,0,0,0,0,0,1,0,7,2020-04-09,2020,4,9,2,5,sp,0,1,2040.0
17289,0,0,0,0,0,0,0,106,2020-04-09,2020,4,9,2,5,sp,0,0,74060.0
17290,0,0,0,0,0,0,0,41,2020-04-09,2020,4,9,2,5,sp,0,0,2450.0
17291,1,0,0,0,0,0,0,1,2020-04-09,2020,4,9,2,5,sp,1,1,340.0
17292,0,0,0,0,0,0,0,2,2020-04-09,2020,4,9,2,5,sp,0,0,590.0
17293,0,0,0,0,0,0,0,5,2020-04-09,2020,4,9,2,5,sp,0,0,650.0
17294,0,0,0,0,0,0,0,5,2020-04-10,2020,4,10,3,5,sp,0,0,690.0
17295,0,0,0,0,0,0,0,62,2020-04-10,2020,4,10,3,5,sp,0,0,4090.0
17296,0,0,0,0,0,0,0,105,2020-04-10,2020,4,10,3,5,sp,0,0,27790.0
17297,0,0,0,0,0,0,0,5,2020-04-10,2020,4,10,3,5,sp,0,0,1530.0
17298,0,0,0,0,0,0,0,6,2020-04-10,2020,4,10,3,5,sp,0,0,1630.0
17299,0,1,0,0,0,0,0,81,2020-04-10,2020,4,10,3,5,sp,0,1,5040.0
17300,0,0,0,0,0,1,0,5,2020-04-10,2020,4,10,3,5,sp,0,1,690.0
17301,0,1,0,0,0,0,0,43,2020-04-10,2020,4,10,3,5,sp,0,1,10910.0
17302,1,0,0,0,0,0,0,7,2020-04-10,2020,4,10,3,5,sp,0,1,1080.0
17303,0,0,0,0,0,0,0,5,2020-04-10,2020,4,10,3,5,sp,0,0,720.0
17304,0,0,0,0,0,0,0,7,2020-04-10,2020,4,10,3,5,sp,0,0,670.0
17305,0,0,0,0,0,1,0,21,2020-04-11,2020,4,11,4,5,sp,1,1,1600.0
17306,0,0,0,0,0,0,0,51,2020-04-11,2020,4,11,4,5,sp,0,0,23450.0
17307,0,0,0,0,0,0,0,26,2020-04-11,2020,4,11,4,5,sp,0,0,22210.0
17308,0,0,0,0,0,0,0,3,2020-04-11,2020,4,11,4,5,sp,0,0,2070.0
17309,0,0,0,0,0,0,0,86,2020-04-11,2020,4,11,4,5,sp,0,0,5000.0
17310,0,0,0,0,0,0,0,8,2020-04-11,2020,4,11,4,5,sp,0,0,1000.0
