,1,7,10,17,18,21,22,sum,月,num_pred,money,gain,hit_per
1月,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1月,69,2190.0,31.73913043478261,4.3478260869565215
2月,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,2月,46,5980.0,130.0,13.043478260869565
3月,2.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,3月,39,3300.0,84.61538461538461,15.384615384615385
4月,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4月,56,5900.0,105.35714285714286,3.571428571428571
5月,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5月,42,3120.0,74.28571428571429,2.380952380952381
6月,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6月,40,4840.0,121.0,5.0
7月,2.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,7月,55,9780.0,177.8181818181818,10.909090909090908
8月,0.0,5.0,0.0,1.0,1.0,1.0,0.0,7.0,8月,75,5940.0,79.2,9.333333333333334
9月,0.0,1.0,1.0,2.0,0.0,3.0,0.0,4.0,9月,51,12890.0,252.7450980392157,7.8431372549019605
10月,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,10月,26,1940.0,74.61538461538461,7.6923076923076925
11月,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11月,62,1090.0,17.580645161290324,3.225806451612903
12月,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12月,3,0.0,0.0,0.0
