,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,47370.0,1,4573,45.0,45.0,3601,63.0,24.0,3800,52.0,65.0,4574,73.0,34.0,3417,72.0,19.0,4926,67.0,58.0,103
,500.0,2,4258,36.0,52.0,4434,37.0,75.0,3714,76.0,68.0,3998,74.0,69.0,3566,40.0,30.0,4603,32.0,43.0,2
,1430.0,3,4215,33.0,28.0,3471,59.0,67.0,4430,34.0,50.0,3561,48.0,76.0,3773,43.0,41.0,3833,66.0,71.0,44
,440.0,4,4678,60.0,44.0,4694,35.0,64.0,3932,46.0,11.0,4830,61.0,15.0,4924,64.0,46.0,4882,50.0,66.0,5
,7190.0,5,3918,70.0,27.0,4241,57.0,54.0,4329,41.0,16.0,4438,65.0,21.0,3601,63.0,24.0,4926,67.0,58.0,7
,5420.0,6,4469,38.0,48.0,4574,73.0,34.0,3417,72.0,19.0,3714,76.0,68.0,4786,62.0,33.0,3443,44.0,73.0,43
,800.0,7,4402,56.0,22.0,4120,69.0,74.0,4603,32.0,43.0,3800,52.0,65.0,3561,48.0,76.0,3265,55.0,31.0,2
,1400.0,8,4464,47.0,47.0,4830,61.0,15.0,4882,50.0,66.0,3932,46.0,11.0,4678,60.0,44.0,4924,64.0,46.0,73
,16140.0,9,4786,62.0,33.0,3773,43.0,41.0,4241,57.0,54.0,4329,41.0,16.0,4573,45.0,45.0,4434,37.0,75.0,117
,1820.0,10,3443,44.0,73.0,3918,70.0,27.0,3998,74.0,69.0,4430,34.0,50.0,4694,35.0,64.0,4402,56.0,22.0,5
,1480.0,11,3833,66.0,71.0,4258,36.0,52.0,4469,38.0,48.0,4464,47.0,47.0,4215,33.0,28.0,4120,69.0,74.0,4
,1790.0,12,3349,51.0,59.0,3984,58.0,51.0,3782,53.0,38.0,4190,49.0,32.0,3283,75.0,17.0,4122,54.0,63.0,10
,1530.0,1,4397,58.0,69.0,4055,36.0,50.0,4061,67.0,23.0,4043,18.0,54.0,4172,72.0,72.0,4659,69.0,70.0,4
,5820.0,2,4503,34.0,48.0,4075,61.0,61.0,3841,24.0,47.0,3946,71.0,21.0,4044,51.0,73.0,4070,27.0,20.0,14
