,date,result_com,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,money,racer_1_b,racer_1_m,racer_2_b,racer_2_m,racer_3_b,racer_3_m,racer_4_b,racer_4_m,racer_5_b,racer_5_m,racer_6_b,racer_6_m
,2018-04-01,13,1,3514,2568,4164,4196,3796,5019,3510.0,52.0,47.0,48.0,72.0,50.0,56.0,38.0,63.0,54.0,25.0,34.0,60.0
,2018-04-01,1,2,3505,3335,3631,3036,3778,3871,1180.0,28.0,61.0,56.0,14.0,60.0,71.0,39.0,38.0,57.0,53.0,20.0,46.0
,2018-04-01,61,3,4302,3485,4463,3867,3589,4926,17960.0,22.0,24.0,29.0,23.0,21.0,43.0,45.0,75.0,31.0,44.0,40.0,68.0
,2018-04-01,6,4,4118,3790,4305,4521,4466,3460,590.0,37.0,70.0,27.0,62.0,49.0,39.0,25.0,37.0,47.0,51.0,24.0,77.0
,2018-04-01,2,5,3489,4004,3936,3579,4510,5019,460.0,55.0,13.0,44.0,40.0,53.0,55.0,43.0,45.0,19.0,49.0,34.0,60.0
,2018-04-01,9,6,3581,3932,4545,3659,3902,3335,6780.0,17.0,34.0,46.0,73.0,41.0,59.0,35.0,50.0,30.0,36.0,56.0,14.0
,2018-04-01,12,7,4164,4870,2992,4306,4651,4521,12540.0,50.0,56.0,51.0,22.0,26.0,29.0,18.0,41.0,23.0,15.0,25.0,37.0
,2018-04-01,14,8,3501,3036,3867,2568,3790,4919,1380.0,36.0,65.0,39.0,38.0,45.0,75.0,48.0,72.0,27.0,62.0,16.0,33.0
,2018-04-01,16,9,4600,3871,3796,4463,4112,3659,2490.0,32.0,69.0,20.0,46.0,54.0,25.0,21.0,43.0,33.0,57.0,35.0,50.0
,2018-04-01,67,10,4305,3505,4196,3489,3581,3485,49020.0,49.0,39.0,28.0,61.0,38.0,63.0,55.0,13.0,17.0,34.0,29.0,23.0
,2018-04-01,1,11,4545,4118,3579,3514,4004,4870,740.0,41.0,59.0,37.0,70.0,43.0,45.0,52.0,47.0,44.0,40.0,51.0,22.0
,2018-04-01,5,12,2992,3902,4302,3936,3501,4600,580.0,26.0,29.0,30.0,36.0,22.0,24.0,53.0,55.0,36.0,65.0,32.0,69.0
,2018-04-02,6,1,4112,3936,4651,3335,3867,4919,2470.0,33.0,57.0,53.0,55.0,23.0,15.0,56.0,14.0,45.0,75.0,16.0,33.0
,2018-04-02,1,2,3485,3659,3796,3036,4164,4926,460.0,29.0,23.0,35.0,50.0,54.0,25.0,39.0,38.0,50.0,56.0,40.0,68.0
,2018-04-02,1,3,3579,3871,4870,3778,3932,5019,710.0,43.0,45.0,20.0,46.0,51.0,22.0,57.0,53.0,46.0,73.0,34.0,60.0
,2018-04-02,4,4,3631,4466,3460,4463,3501,3514,730.0,60.0,71.0,47.0,51.0,24.0,77.0,21.0,43.0,36.0,65.0,52.0,47.0
,2018-04-02,7,5,4521,4306,3790,4651,3581,4510,1190.0,25.0,37.0,18.0,41.0,27.0,62.0,23.0,15.0,17.0,34.0,19.0,49.0
,2018-04-02,1,6,3902,4004,3335,3871,3036,3589,710.0,30.0,36.0,44.0,40.0,56.0,14.0,20.0,46.0,39.0,38.0,31.0,44.0
,2018-04-02,64,7,4196,3778,4112,3796,4466,4305,21760.0,38.0,63.0,57.0,53.0,33.0,57.0,54.0,25.0,47.0,51.0,49.0,39.0
,2018-04-02,11,8,4600,3867,3659,3932,3631,4306,6750.0,32.0,69.0,45.0,75.0,35.0,50.0,46.0,73.0,60.0,71.0,18.0,41.0
,2018-04-02,1,9,2568,3460,4164,3790,4919,4926,1210.0,48.0,72.0,24.0,77.0,50.0,56.0,27.0,62.0,16.0,33.0,40.0,68.0
,2018-04-02,42,10,3514,3581,3902,4196,3936,3485,5410.0,52.0,47.0,17.0,34.0,30.0,36.0,38.0,63.0,53.0,55.0,29.0,23.0
,2018-04-02,10,12,2992,4545,3489,4118,3505,4302,1820.0,26.0,29.0,41.0,59.0,55.0,13.0,37.0,70.0,28.0,61.0,22.0,24.0
,2018-04-11,11,2,4503,4759,4695,4809,4887,4934,5170.0,35.0,52.0,12.0,28.0,76.0,66.0,34.0,41.0,14.0,49.0,21.0,26.0
,2018-04-11,49,3,4713,4832,4709,4532,4875,4951,19040.0,60.0,37.0,73.0,63.0,59.0,33.0,56.0,77.0,63.0,32.0,44.0,56.0
,2018-04-11,33,4,4805,4831,4877,4771,4703,4782,2080.0,39.0,76.0,74.0,74.0,64.0,53.0,49.0,31.0,54.0,75.0,67.0,69.0
,2018-04-11,2,5,4702,4715,4912,4551,4871,4890,360.0,13.0,21.0,27.0,67.0,18.0,40.0,72.0,70.0,69.0,59.0,65.0,27.0
,2018-04-11,14,6,4695,4948,4873,4864,4931,4747,4380.0,76.0,66.0,23.0,15.0,61.0,11.0,68.0,16.0,20.0,19.0,48.0,20.0
,2018-04-11,10,7,4710,4802,4875,4711,4918,4776,3090.0,24.0,47.0,62.0,35.0,63.0,32.0,40.0,44.0,31.0,50.0,45.0,71.0
,2018-04-11,8,8,4839,4757,4705,4887,4951,4524,2200.0,15.0,30.0,58.0,12.0,57.0,68.0,14.0,49.0,44.0,56.0,70.0,38.0
,2018-04-11,80,9,4753,4805,4917,4787,4832,4715,1900.0,66.0,65.0,39.0,76.0,71.0,61.0,11.0,60.0,73.0,63.0,27.0,67.0
,2018-04-11,4,11,4711,4551,4759,4757,4709,4703,1680.0,40.0,44.0,72.0,70.0,12.0,28.0,58.0,12.0,59.0,33.0,54.0,75.0
,2018-04-12,5,1,4532,4887,4931,4917,4805,4890,420.0,56.0,77.0,14.0,49.0,20.0,19.0,71.0,61.0,39.0,76.0,65.0,27.0
,2018-04-12,1,2,4711,4871,4839,4958,4864,4523,1030.0,40.0,44.0,69.0,59.0,15.0,30.0,75.0,72.0,68.0,16.0,46.0,48.0
,2018-04-12,47,3,4759,4794,4776,4877,4873,4934,13810.0,12.0,28.0,16.0,51.0,45.0,71.0,64.0,53.0,61.0,11.0,21.0,26.0
,2018-04-12,12,4,4771,4918,4831,4695,4757,4710,17620.0,49.0,31.0,31.0,50.0,74.0,74.0,76.0,66.0,58.0,12.0,24.0,47.0
,2018-04-12,5,5,4713,4912,4802,4753,4782,4890,1150.0,60.0,37.0,18.0,40.0,62.0,35.0,66.0,65.0,67.0,69.0,65.0,27.0
,2018-04-12,1,6,4705,4875,4871,4747,4948,4934,520.0,57.0,68.0,63.0,32.0,69.0,59.0,48.0,20.0,23.0,15.0,21.0,26.0
,2018-04-12,12,7,4709,4877,4918,4524,4958,4787,580.0,59.0,33.0,64.0,53.0,31.0,50.0,70.0,38.0,75.0,72.0,11.0,60.0
,2018-04-12,41,8,4809,4523,4771,4873,4917,4503,10850.0,34.0,41.0,46.0,48.0,49.0,31.0,61.0,11.0,71.0,61.0,35.0,52.0
,2018-04-12,70,9,4747,4864,4551,4931,4951,4831,27050.0,48.0,20.0,68.0,16.0,72.0,70.0,20.0,19.0,44.0,56.0,74.0,74.0
,2018-04-12,6,10,4757,4713,4715,4839,4794,4832,1180.0,58.0,12.0,60.0,37.0,27.0,67.0,15.0,30.0,16.0,51.0,73.0,63.0
,2018-04-12,5,12,4524,4503,4532,4802,4759,4551,1040.0,70.0,38.0,35.0,52.0,56.0,77.0,62.0,35.0,12.0,28.0,72.0,70.0
,2018-04-13,5,1,4551,4917,4948,4747,4958,4890,790.0,72.0,70.0,71.0,61.0,23.0,15.0,48.0,20.0,75.0,72.0,65.0,27.0
,2018-04-13,2,2,4787,4875,4864,4887,4771,4695,1060.0,11.0,60.0,63.0,32.0,68.0,16.0,14.0,49.0,49.0,31.0,76.0,66.0
,2018-04-13,10,3,4703,4753,4503,4759,4951,4709,1440.0,54.0,75.0,66.0,65.0,35.0,52.0,12.0,28.0,44.0,56.0,59.0,33.0
,2018-04-13,6,5,4523,4705,4715,4931,4710,4958,740.0,46.0,48.0,57.0,68.0,27.0,67.0,20.0,19.0,24.0,47.0,75.0,72.0
