,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2015-04-01,390.0,1,3517,48.0,0.15,47.0,0.6629999999999999,1,11.0,4,4589,23.0,0.18,33.0,0.301,0,66.0,1,4164,33.0,0.2,12.0,0.177,1,55.0,2,3491,48.0,0.21,38.0,0.152,1,56.0,2,4801,22.0,0.2,18.0,0.10099999999999999,0,67.0,1,4778,30.0,0.16,36.0,0.07,1,61.0,1,1
,2015-04-01,950.0,2,3740,41.0,0.16,49.0,0.44299999999999995,1,52.0,3,4045,36.0,0.14,16.0,0.451,0,57.0,3,3757,44.0,0.18,14.0,0.302,1,38.0,3,3964,36.0,0.21,34.0,0.187,1,76.0,2,3926,40.0,0.19,45.0,0.255,1,50.0,2,4268,30.0,0.16,22.0,0.299,1,45.0,2,1
,2015-04-01,79280.0,3,4133,35.0,0.16,28.0,0.405,1,59.0,3,3990,37.0,0.15,13.0,0.41200000000000003,1,72.0,3,4596,32.0,0.18,30.0,0.3,1,19.0,2,4678,27.0,0.16,56.0,0.28300000000000003,0,47.0,2,4506,27.0,0.14,51.0,0.418,1,68.0,3,4167,33.0,0.16,32.0,0.223,1,30.0,2,38
,2015-04-01,3540.0,4,3848,38.0,0.16,35.0,0.381,1,23.0,3,3906,38.0,0.17,29.0,0.341,1,69.0,2,4451,28.0,0.17,39.0,0.439,1,35.0,4,3565,45.0,0.19,46.0,0.168,1,21.0,2,4222,34.0,0.17,26.0,0.429,1,31.0,3,3919,41.0,0.21,31.0,0.51,1,27.0,4,17
,2015-04-01,1260.0,5,3349,47.0,0.15,25.0,0.496,1,14.0,4,3818,44.0,0.15,20.0,0.204,1,46.0,2,3989,37.0,0.21,37.0,0.192,1,20.0,2,4464,29.0,0.18,53.0,0.336,0,49.0,3,3691,45.0,0.17,11.0,0.276,1,60.0,2,4773,22.0,0.17,48.0,0.015,0,34.0,1,5
,2015-04-01,1230.0,6,2912,60.0,0.19,54.0,0.285,1,48.0,2,4596,32.0,0.18,30.0,0.3,1,19.0,2,3964,36.0,0.21,34.0,0.187,1,76.0,2,4450,28.0,0.17,19.0,0.58,0,64.0,4,4778,30.0,0.16,36.0,0.07,1,61.0,1,4072,34.0,0.14,43.0,0.6659999999999999,1,63.0,4,19
,2015-04-01,1570.0,7,3811,40.0,0.16,52.0,0.48200000000000004,1,25.0,4,4145,34.0,0.25,40.0,0.168,1,13.0,2,3990,37.0,0.15,13.0,0.41200000000000003,1,72.0,3,4451,28.0,0.17,39.0,0.439,1,35.0,4,3757,44.0,0.18,14.0,0.302,1,38.0,3,4257,32.0,0.16,23.0,0.34299999999999997,1,32.0,2,9
,2015-04-01,710.0,8,4089,35.0,0.14,44.0,0.552,1,33.0,4,3608,43.0,0.18,24.0,0.17600000000000002,1,62.0,2,4506,27.0,0.14,51.0,0.418,1,68.0,3,3906,38.0,0.17,29.0,0.341,1,69.0,2,4164,33.0,0.2,12.0,0.177,1,55.0,2,4222,34.0,0.17,26.0,0.429,1,31.0,3,10
,2015-04-01,950.0,9,4450,28.0,0.17,19.0,0.58,0,64.0,4,4464,29.0,0.18,53.0,0.336,0,49.0,3,4678,27.0,0.16,56.0,0.28300000000000003,0,47.0,2,4045,36.0,0.14,16.0,0.451,0,57.0,3,4773,22.0,0.17,48.0,0.015,0,34.0,1,4801,22.0,0.2,18.0,0.10099999999999999,0,67.0,1,5
,2015-04-01,1230.0,10,3919,41.0,0.21,31.0,0.51,1,27.0,4,3926,40.0,0.19,45.0,0.255,1,50.0,2,3349,47.0,0.15,25.0,0.496,1,14.0,4,3740,41.0,0.16,49.0,0.44299999999999995,1,52.0,3,4133,35.0,0.16,28.0,0.405,1,59.0,3,2912,60.0,0.19,54.0,0.285,1,48.0,2,9
,2015-04-01,780.0,12,4320,30.0,0.13,21.0,0.7140000000000001,1,26.0,4,3903,38.0,0.13,50.0,0.5579999999999999,1,28.0,3,4347,30.0,0.18,27.0,0.44799999999999995,0,18.0,4,4019,35.0,0.17,41.0,0.6729999999999999,1,51.0,4,3788,44.0,0.15,15.0,0.387,1,53.0,3,4199,33.0,0.18,17.0,0.306,1,29.0,2,1
,2015-04-04,1580.0,1,3837,40.0,0.15,29.0,0.41100000000000003,1,73.0,3,4118,34.0,0.15,31.0,0.473,1,28.0,4,4497,28.0,0.16,68.0,0.489,1,24.0,4,4500,28.0,0.14,56.0,0.563,1,69.0,4,4061,36.0,0.15,71.0,0.551,1,48.0,4,4335,31.0,0.12,58.0,0.5920000000000001,1,37.0,4,11
,2015-04-04,1510.0,2,4292,30.0,0.15,69.0,0.512,1,44.0,4,4504,27.0,0.15,37.0,0.491,1,65.0,4,4064,36.0,0.18,74.0,0.526,1,53.0,4,4344,30.0,0.16,44.0,0.46399999999999997,1,72.0,4,4112,35.0,0.19,72.0,0.408,1,32.0,3,3543,47.0,0.15,60.0,0.387,1,36.0,3,6
,2015-04-04,1610.0,3,4096,34.0,0.17,43.0,0.462,1,38.0,4,4388,30.0,0.16,65.0,0.486,1,17.0,4,4174,33.0,0.16,62.0,0.58,1,26.0,4,3557,42.0,0.13,67.0,0.633,1,64.0,4,3522,47.0,0.17,19.0,0.418,1,29.0,3,4370,29.0,0.19,16.0,0.423,1,23.0,2,2
,2015-04-04,2120.0,4,4099,37.0,0.16,73.0,0.451,1,22.0,4,4171,33.0,0.16,15.0,0.602,1,14.0,4,4256,32.0,0.17,63.0,0.565,1,52.0,4,4342,31.0,0.15,66.0,0.531,1,70.0,4,4537,25.0,0.13,23.0,0.47,1,54.0,4,2992,54.0,0.14,39.0,0.479,1,39.0,4,8
,2015-04-04,26820.0,5,4460,29.0,0.13,32.0,0.65,1,76.0,4,4497,28.0,0.16,68.0,0.489,1,58.0,4,4207,32.0,0.13,64.0,0.45899999999999996,1,30.0,3,4254,32.0,0.14,21.0,0.381,1,47.0,3,3159,50.0,0.15,59.0,0.5529999999999999,1,50.0,4,3779,40.0,0.13,24.0,0.622,1,51.0,4,107
