,date,result_com,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,money,racer_1_b,racer_1_m,racer_2_b,racer_2_m,racer_3_b,racer_3_m,racer_4_b,racer_4_m,racer_5_b,racer_5_m,racer_6_b,racer_6_m
,2015-04-01,1,1,3517,4589,4164,3491,4801,4778,390.0,47.0,11.0,33.0,66.0,12.0,55.0,38.0,56.0,18.0,67.0,36.0,61.0
,2015-04-01,1,2,3740,4045,3757,3964,3926,4268,950.0,49.0,52.0,16.0,57.0,14.0,38.0,34.0,76.0,45.0,50.0,22.0,45.0
,2015-04-01,38,3,4133,3990,4596,4678,4506,4167,79280.0,28.0,59.0,13.0,72.0,30.0,19.0,56.0,47.0,51.0,68.0,32.0,30.0
,2015-04-01,17,4,3848,3906,4451,3565,4222,3919,3540.0,35.0,23.0,29.0,69.0,39.0,35.0,46.0,21.0,26.0,31.0,31.0,27.0
,2015-04-01,5,5,3349,3818,3989,4464,3691,4773,1260.0,25.0,14.0,20.0,46.0,37.0,20.0,53.0,49.0,11.0,60.0,48.0,34.0
,2015-04-01,19,6,2912,4596,3964,4450,4778,4072,1230.0,54.0,48.0,30.0,19.0,34.0,76.0,19.0,64.0,36.0,61.0,43.0,63.0
,2015-04-01,9,7,3811,4145,3990,4451,3757,4257,1570.0,52.0,25.0,40.0,13.0,13.0,72.0,39.0,35.0,14.0,38.0,23.0,32.0
,2015-04-01,10,8,4089,3608,4506,3906,4164,4222,710.0,44.0,33.0,24.0,62.0,51.0,68.0,29.0,69.0,12.0,55.0,26.0,31.0
,2015-04-01,5,9,4450,4464,4678,4045,4773,4801,950.0,19.0,64.0,53.0,49.0,56.0,47.0,16.0,57.0,48.0,34.0,18.0,67.0
,2015-04-01,9,10,3919,3926,3349,3740,4133,2912,1230.0,31.0,27.0,45.0,50.0,25.0,14.0,49.0,52.0,28.0,59.0,54.0,48.0
,2015-04-01,1,12,4320,3903,4347,4019,3788,4199,780.0,21.0,26.0,50.0,28.0,27.0,18.0,41.0,51.0,15.0,53.0,17.0,29.0
,2015-04-04,11,1,3837,4118,4497,4500,4061,4335,1580.0,29.0,73.0,31.0,28.0,68.0,24.0,56.0,69.0,71.0,48.0,58.0,37.0
,2015-04-04,6,2,4292,4504,4064,4344,4112,3543,1510.0,69.0,44.0,37.0,65.0,74.0,53.0,44.0,72.0,72.0,32.0,60.0,36.0
,2015-04-04,2,3,4096,4388,4174,3557,3522,4370,1610.0,43.0,38.0,65.0,17.0,62.0,26.0,67.0,64.0,19.0,29.0,16.0,23.0
,2015-04-04,8,4,4099,4171,4256,4342,4537,2992,2120.0,73.0,22.0,15.0,14.0,63.0,52.0,66.0,70.0,23.0,54.0,39.0,39.0
,2015-04-04,107,5,4460,4497,4207,4254,3159,3779,26820.0,32.0,76.0,68.0,58.0,64.0,30.0,21.0,47.0,59.0,50.0,24.0,51.0
,2015-04-04,21,6,4391,4500,4112,4188,3541,4350,6480.0,57.0,13.0,56.0,69.0,72.0,32.0,41.0,11.0,28.0,21.0,20.0,20.0
,2015-04-04,1,7,3777,4292,4418,4305,4174,4049,1160.0,27.0,56.0,69.0,44.0,14.0,66.0,18.0,75.0,62.0,26.0,17.0,27.0
