,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
1162,3.0,5.0,124.0,41360.0,36600.0,162.0,366.0,113.00546448087431,13.114754098360656,48.0,73.0
1163,3.0,5.0,125.0,35510.0,31600.0,162.0,316.0,112.37341772151899,13.291139240506327,42.0,74.0
3834,8.0,7.0,123.0,96290.0,79300.0,95.0,793.0,121.42496847414878,4.539722572509458,36.0,72.0
3935,8.0,8.0,125.0,94000.0,80500.0,95.0,805.0,116.77018633540371,4.472049689440994,36.0,74.0
3936,8.0,8.0,126.0,96230.0,77700.0,95.0,777.0,123.84813384813386,4.761904761904762,37.0,75.0
5231,11.0,6.0,134.0,23640.0,20400.0,84.0,204.0,115.88235294117649,10.294117647058822,21.0,83.0
5331,11.0,7.0,135.0,29780.0,26900.0,84.0,269.0,110.70631970260223,9.293680297397767,25.0,84.0
5332,11.0,7.0,136.0,25980.0,23300.0,84.0,233.0,111.50214592274679,9.012875536480689,21.0,85.0
5333,11.0,7.0,137.0,26460.0,23800.0,84.0,238.0,111.1764705882353,9.663865546218489,23.0,86.0
5334,11.0,7.0,138.0,25910.0,21300.0,84.0,213.0,121.64319248826293,10.798122065727698,23.0,87.0
8192,17.0,6.0,125.0,40370.0,30300.0,60.0,303.0,133.23432343234322,6.6006600660066,20.0,74.0
8193,17.0,6.0,126.0,50660.0,31900.0,60.0,319.0,158.80877742946709,7.523510971786834,24.0,75.0
8194,17.0,6.0,127.0,38670.0,31100.0,60.0,311.0,124.34083601286173,7.07395498392283,22.0,76.0
8195,17.0,6.0,128.0,36820.0,27100.0,60.0,271.0,135.8671586715867,8.118081180811808,22.0,77.0
8293,17.0,7.0,127.0,50340.0,36900.0,60.0,369.0,136.4227642276423,6.775067750677506,25.0,76.0
8294,17.0,7.0,128.0,45860.0,34500.0,60.0,345.0,132.92753623188403,6.666666666666668,23.0,77.0
8295,17.0,7.0,129.0,40560.0,32300.0,60.0,323.0,125.57275541795664,6.5015479876161,21.0,78.0
8296,17.0,7.0,130.0,37130.0,29100.0,60.0,291.0,127.59450171821304,6.872852233676977,20.0,79.0
8297,17.0,7.0,131.0,35130.0,28200.0,60.0,282.0,124.57446808510642,6.73758865248227,19.0,80.0
8298,17.0,7.0,132.0,35440.0,28300.0,60.0,283.0,125.22968197879858,7.06713780918728,20.0,81.0
8299,17.0,7.0,133.0,30610.0,27100.0,60.0,271.0,112.9520295202952,6.642066420664206,18.0,82.0
8392,17.0,8.0,127.0,52770.0,41700.0,60.0,417.0,126.54676258992805,6.474820143884893,27.0,76.0
8393,17.0,8.0,128.0,46700.0,38800.0,60.0,388.0,120.36082474226805,6.185567010309278,24.0,77.0
8395,17.0,8.0,130.0,46700.0,36000.0,60.0,360.0,129.72222222222223,6.666666666666668,24.0,79.0
8396,17.0,8.0,131.0,37950.0,31000.0,60.0,310.0,122.41935483870968,6.451612903225807,20.0,80.0
8397,17.0,8.0,132.0,44150.0,32200.0,60.0,322.0,137.11180124223606,6.832298136645963,22.0,81.0
8399,17.0,8.0,134.0,37860.0,30200.0,60.0,302.0,125.36423841059604,6.622516556291392,20.0,83.0
8400,17.0,8.0,135.0,38650.0,30200.0,60.0,302.0,127.98013245033111,6.95364238410596,21.0,84.0
8401,17.0,8.0,136.0,34760.0,28600.0,60.0,286.0,121.53846153846152,7.3426573426573425,21.0,85.0
8402,17.0,8.0,137.0,35140.0,26500.0,60.0,265.0,132.6037735849057,7.547169811320754,20.0,86.0
8403,17.0,8.0,138.0,37210.0,25800.0,60.0,258.0,144.2248062015504,7.3643410852713185,19.0,87.0
8480,18.0,4.0,116.0,67710.0,53000.0,36.0,530.0,127.75471698113206,2.2641509433962264,12.0,65.0
8481,18.0,4.0,117.0,63000.0,46600.0,36.0,466.0,135.1931330472103,2.360515021459228,11.0,66.0
8582,18.0,5.0,119.0,67710.0,55500.0,36.0,555.0,122.0,2.1621621621621623,12.0,68.0
8583,18.0,5.0,120.0,64320.0,46500.0,36.0,465.0,138.3225806451613,2.5806451612903225,12.0,69.0
8584,18.0,5.0,121.0,57280.0,42100.0,36.0,421.0,136.05700712589072,1.9002375296912115,8.0,70.0
8784,18.0,7.0,123.0,66570.0,58300.0,36.0,583.0,114.18524871355059,1.8867924528301887,11.0,72.0
8785,18.0,7.0,124.0,67710.0,51600.0,36.0,516.0,131.22093023255815,2.3255813953488373,12.0,73.0
8786,18.0,7.0,125.0,65760.0,50000.0,36.0,500.0,131.51999999999998,2.2,11.0,74.0
8787,18.0,7.0,126.0,56220.0,47500.0,36.0,475.0,118.35789473684211,1.8947368421052635,9.0,75.0
8886,18.0,8.0,126.0,64620.0,56600.0,36.0,566.0,114.1696113074205,1.76678445229682,10.0,75.0
8887,18.0,8.0,127.0,69890.0,53400.0,36.0,534.0,130.8801498127341,2.4344569288389515,13.0,76.0
8888,18.0,8.0,128.0,84470.0,43700.0,36.0,437.0,193.2951945080092,3.203661327231121,14.0,77.0
9897,20.0,8.0,147.0,38670.0,33200.0,28.0,332.0,116.47590361445783,3.0120481927710845,10.0,96.0
