,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1,4,51,374060,423200,308,4232,88.38846881,7.277882798,308
1,1,4,52,374060,423100,308,4231,88.40935949,7.279602931,308
2,1,4,53,374060,423100,308,4231,88.40935949,7.279602931,308
3,1,4,54,374060,422800,308,4228,88.47209082,7.284768212,308
4,1,4,55,374060,422800,308,4228,88.47209082,7.284768212,308
5,1,4,56,374060,422800,308,4228,88.47209082,7.284768212,308
6,1,4,57,374060,422400,308,4224,88.55587121,7.291666667,308
7,1,4,58,374060,421600,308,4216,88.72390892,7.305502846,308
8,1,4,59,374060,420400,308,4204,88.97716461,7.326355852,308
9,1,4,60,374060,421400,308,4214,88.76601804,7.3089701,308
10,1,4,61,374060,419400,308,4194,89.18931807,7.343824511,308
11,1,4,62,374060,418900,308,4189,89.29577465,7.352590117,308
12,1,4,63,374060,416400,308,4164,89.83189241,7.39673391,308
13,1,4,64,370700,415200,308,4152,89.2822736,7.394026975,307
14,1,4,65,374060,414500,308,4145,90.24366707,7.430639324,308
15,1,4,66,370700,412000,308,4120,89.97572816,7.451456311,307
16,1,4,67,370700,409300,308,4093,90.5692646,7.500610799,307
17,1,4,68,370700,408900,308,4089,90.65786256,7.507948154,307
18,1,4,69,370700,405100,308,4051,91.50826956,7.57837571,307
19,1,4,70,370700,400200,308,4002,92.62868566,7.671164418,307
20,1,4,71,367530,394600,308,3946,93.13988849,7.754688292,306
21,1,4,72,367530,393700,308,3937,93.35280671,7.772415545,306
22,1,4,73,365150,387000,308,3870,94.35400517,7.881136951,305
23,1,4,74,361250,381900,308,3819,94.59282535,7.93401414,303
24,1,4,75,353350,378900,308,3789,93.25679599,7.944048562,301
25,1,4,76,358650,372600,308,3726,96.25603865,8.132045089,303
26,1,4,77,350480,367400,308,3674,95.39466522,8.138268917,299
27,1,4,78,343870,361400,308,3614,95.14941893,8.19037078,296
28,1,4,79,344800,356800,308,3568,96.6367713,8.295964126,296
29,1,4,80,339370,353300,308,3533,96.05717521,8.349844325,295
30,1,4,81,338920,345500,308,3455,98.09551375,8.480463097,293
31,1,4,82,330620,337200,308,3372,98.04863582,8.600237248,290
32,1,4,83,324480,332200,308,3322,97.67609874,8.639373871,287
33,1,4,84,323510,326400,308,3264,99.11458333,8.792892157,287
34,1,4,85,320370,318200,308,3182,100.681961,8.95663105,285
35,1,4,86,311720,311300,308,3113,100.1349181,9.026662384,281
36,1,4,87,303860,302800,308,3028,100.3500661,9.147952444,277
37,1,4,88,300090,299500,308,2995,100.196995,9.18196995,275
38,1,4,89,279200,288000,308,2880,96.94444444,9.340277778,269
39,1,4,90,272450,278800,308,2788,97.72238164,9.469153515,264
40,1,4,91,268540,272700,308,2727,98.47451412,9.570957096,261
41,1,4,92,257980,262800,308,2628,98.16590563,9.665144597,254
42,1,4,93,249910,254900,308,2549,98.04236956,9.72930561,248
43,1,4,94,228800,244500,308,2445,93.57873211,9.81595092,240
44,1,4,95,227560,237700,308,2377,95.73411864,10.09676062,240
45,1,4,96,220410,226700,308,2267,97.22540803,10.27790031,233
46,1,4,97,214480,219200,308,2192,97.84671533,10.31021898,226
47,1,4,98,205140,216600,308,2166,94.70914127,10.11080332,219
48,1,4,99,200710,206400,308,2064,97.24321705,10.36821705,214
49,1,4,100,188650,197000,308,1970,95.76142132,10.45685279,206
50,1,4,101,184010,190300,308,1903,96.69469259,10.61481871,202
51,1,4,102,173740,182400,308,1824,95.25219298,10.8004386,197
52,1,4,103,171870,171400,308,1714,100.2742124,11.31855309,194
53,1,4,104,151260,162600,308,1626,93.02583026,11.00861009,179
54,1,4,105,149400,155800,308,1558,95.89216945,11.36071887,177
55,1,4,106,143090,150000,308,1500,95.39333333,11.53333333,173
56,1,4,107,142500,144400,308,1444,98.68421053,11.63434903,168
57,1,4,108,127980,133200,308,1332,96.08108108,11.56156156,154
58,1,4,109,121020,128200,308,1282,94.39937598,11.54446178,148
59,1,4,110,112450,121500,308,1215,92.55144033,11.60493827,141
60,1,4,111,110520,119400,308,1194,92.56281407,11.39028476,136
61,1,4,112,102160,111600,308,1116,91.54121864,11.29032258,126
62,1,4,113,96620,107000,308,1070,90.29906542,11.4953271,123
63,1,4,114,95180,102200,308,1022,93.13111546,11.93737769,122
64,1,4,115,89100,96200,308,962,92.61954262,11.95426195,115
65,1,4,116,85550,90700,308,907,94.32194046,12.12789416,110
66,1,4,117,81120,88000,308,880,92.18181818,12.15909091,107
67,1,4,118,76270,78400,308,784,97.28316327,12.75510204,100
68,1,4,119,78770,76900,308,769,102.4317295,13.26397919,102
69,1,4,120,70640,68300,308,683,103.4260615,13.32357247,91
70,1,4,121,62400,63500,308,635,98.26771654,13.22834646,84
71,1,4,122,59540,58100,308,581,102.4784854,13.59724613,79
72,1,4,123,50550,52300,308,523,96.65391969,13.19311663,69
73,1,4,124,45020,48200,308,482,93.40248963,13.2780083,64
74,1,4,125,38610,43600,308,436,88.55504587,12.8440367,56
75,1,4,126,33960,38000,308,380,89.36842105,13.15789474,50
76,1,4,127,24570,25500,308,255,96.35294118,14.50980392,37
77,1,4,128,30020,27600,308,276,108.7681159,15.94202899,44
78,1,4,129,19070,20100,308,201,94.87562189,14.92537313,30
79,1,4,130,9590,12300,308,123,77.96747967,13.82113821,17
80,1,4,131,9710,11700,308,117,82.99145299,13.67521368,16
81,1,4,132,5820,8900,308,89,65.39325843,11.23595506,10
82,1,4,133,4260,7500,308,75,56.8,9.333333333,7
83,1,4,134,2520,2600,308,26,96.92307692,19.23076923,5
84,1,4,135,1970,3300,308,33,59.6969697,12.12121212,4
85,1,4,136,890,1300,308,13,68.46153846,15.38461538,2
86,1,4,137,0,500,308,5,0,0,0
87,1,4,138,0,500,308,5,0,0,0
88,1,4,139,0,200,308,2,0,0,0
89,1,4,140,0,200,308,2,0,0,0
90,1,4,141,0,0,308,0,,,0
91,1,4,142,0,0,308,0,,,0
92,1,4,143,0,0,308,0,,,0
93,1,4,144,0,0,308,0,,,0
94,1,4,145,0,0,308,0,,,0
95,1,4,146,0,0,308,0,,,0
96,1,4,147,0,0,308,0,,,0
97,1,4,148,0,0,308,0,,,0
98,1,4,149,0,0,308,0,,,0
99,1,5,51,374060,422500,308,4225,88.53491124,7.289940828,308
100,1,5,52,374060,421400,308,4214,88.76601804,7.3089701,308
101,1,5,53,374060,421400,308,4214,88.76601804,7.3089701,308
102,1,5,54,374060,419100,308,4191,89.25316154,7.349081365,308
103,1,5,55,374060,417200,308,4172,89.65963567,7.382550336,308
104,1,5,56,374060,417400,308,4174,89.61667465,7.379012937,308
105,1,5,57,374060,415000,308,4150,90.13493976,7.421686747,308
106,1,5,58,374060,413200,308,4132,90.52758955,7.454017425,308
107,1,5,59,370700,412000,308,4120,89.97572816,7.451456311,307
108,1,5,60,374060,413200,308,4132,90.52758955,7.454017425,308
109,1,5,61,370700,409400,308,4094,90.54714216,7.498778701,307
110,1,5,62,370700,406300,308,4063,91.23800148,7.555993109,307
111,1,5,63,370700,404800,308,4048,91.57608696,7.583992095,307
112,1,5,64,370700,403800,308,4038,91.80287271,7.60277365,307
113,1,5,65,370700,401500,308,4015,92.32876712,7.646326276,307
114,1,5,66,370700,397200,308,3972,93.32829809,7.729103726,307
115,1,5,67,370700,397000,308,3970,93.37531486,7.732997481,307
116,1,5,68,367530,392900,308,3929,93.54288623,7.788241283,306
117,1,5,69,367530,387700,308,3877,94.79752386,7.892700542,306
118,1,5,70,367530,383000,308,3830,95.96083551,7.989556136,306
119,1,5,71,358260,379700,308,3797,94.35343692,7.953647617,302
120,1,5,72,362300,372700,308,3727,97.20955192,8.129863161,303
121,1,5,73,350860,366700,308,3667,95.68039269,8.1538042,299
122,1,5,74,344030,358600,308,3586,95.93697713,8.282208589,297
123,1,5,75,342800,359200,308,3592,95.43429844,8.240534521,296
124,1,5,76,342800,354100,308,3541,96.80881107,8.359220559,296
125,1,5,77,339440,345700,308,3457,98.18918137,8.504483656,294
