,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
1549,4.0,4.0,115.0,40690.0,30400.0,154.0,304.0,133.8486842105263,11.51315789473684,35.0,64.0
1649,4.0,5.0,116.0,47010.0,40900.0,154.0,409.0,114.9388753056235,9.7799511002445,40.0,65.0
1650,4.0,5.0,117.0,47830.0,39100.0,154.0,391.0,122.32736572890026,10.485933503836318,41.0,66.0
1651,4.0,5.0,118.0,41630.0,33600.0,154.0,336.0,123.8988095238095,11.01190476190476,37.0,67.0
1652,4.0,5.0,119.0,42790.0,30500.0,154.0,305.0,140.29508196721312,12.131147540983608,37.0,68.0
1653,4.0,5.0,120.0,42470.0,30000.0,154.0,300.0,141.56666666666666,12.333333333333336,37.0,69.0
1654,4.0,5.0,121.0,36870.0,26700.0,154.0,267.0,138.08988764044946,12.359550561797752,33.0,70.0
1655,4.0,5.0,122.0,35950.0,24800.0,154.0,248.0,144.95967741935485,12.903225806451614,32.0,71.0
1751,4.0,6.0,119.0,53210.0,41600.0,154.0,416.0,127.90865384615385,10.576923076923077,44.0,68.0
1752,4.0,6.0,120.0,52680.0,38200.0,154.0,382.0,137.9057591623037,11.2565445026178,43.0,69.0
1753,4.0,6.0,121.0,46430.0,37300.0,154.0,373.0,124.47721179624665,10.991957104557644,41.0,70.0
1754,4.0,6.0,122.0,39570.0,32300.0,154.0,323.0,122.50773993808048,11.145510835913312,36.0,71.0
1755,4.0,6.0,123.0,39280.0,31700.0,154.0,317.0,123.91167192429022,11.35646687697161,36.0,72.0
1756,4.0,6.0,124.0,36350.0,29700.0,154.0,297.0,122.39057239057242,11.111111111111109,33.0,73.0
1757,4.0,6.0,125.0,37080.0,27300.0,154.0,273.0,135.82417582417582,12.087912087912088,33.0,74.0
1758,4.0,6.0,126.0,36940.0,26300.0,154.0,263.0,140.45627376425855,12.547528517110267,33.0,75.0
1851,4.0,7.0,120.0,59630.0,46800.0,154.0,468.0,127.41452991452992,10.47008547008547,49.0,69.0
1852,4.0,7.0,121.0,54590.0,43800.0,154.0,438.0,124.63470319634705,10.50228310502283,46.0,70.0
1853,4.0,7.0,122.0,52190.0,40600.0,154.0,406.0,128.54679802955664,10.591133004926107,43.0,71.0
1854,4.0,7.0,123.0,48100.0,38200.0,154.0,382.0,125.91623036649216,10.732984293193716,41.0,72.0
1855,4.0,7.0,124.0,45960.0,38600.0,154.0,386.0,119.06735751295336,10.362694300518132,40.0,73.0
1856,4.0,7.0,125.0,48280.0,36400.0,154.0,364.0,132.63736263736263,10.989010989010987,40.0,74.0
1857,4.0,7.0,126.0,40540.0,32600.0,154.0,326.0,124.35582822085888,11.042944785276074,36.0,75.0
1858,4.0,7.0,127.0,40840.0,29300.0,154.0,293.0,139.38566552901023,11.945392491467574,35.0,76.0
1859,4.0,7.0,128.0,38850.0,29000.0,154.0,290.0,133.9655172413793,12.06896551724138,35.0,77.0
1860,4.0,7.0,129.0,36710.0,27500.0,154.0,275.0,133.49090909090907,12.363636363636365,34.0,78.0
1861,4.0,7.0,130.0,37590.0,27300.0,154.0,273.0,137.69230769230768,12.087912087912088,33.0,79.0
1948,4.0,8.0,118.0,68320.0,61900.0,154.0,619.0,110.37156704361874,9.208400646203556,57.0,67.0
1949,4.0,8.0,119.0,61970.0,54900.0,154.0,549.0,112.87795992714024,9.289617486338797,51.0,68.0
1950,4.0,8.0,120.0,65610.0,54300.0,154.0,543.0,120.82872928176796,10.128913443830573,55.0,69.0
