,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1,4,51,392840,447400,395,4474,87.80509611,8.828788556,395
1,1,4,52,392840,447400,395,4474,87.80509611,8.828788556,395
2,1,4,53,392840,447400,395,4474,87.80509611,8.828788556,395
3,1,4,54,392840,447400,395,4474,87.80509611,8.828788556,395
4,1,4,55,392840,447400,395,4474,87.80509611,8.828788556,395
5,1,4,56,392840,447400,395,4474,87.80509611,8.828788556,395
6,1,4,57,392840,447400,395,4474,87.80509611,8.828788556,395
7,1,4,58,392840,447400,395,4474,87.80509611,8.828788556,395
8,1,4,59,392840,447400,395,4474,87.80509611,8.828788556,395
9,1,4,60,392840,447400,395,4474,87.80509611,8.828788556,395
10,1,4,61,392840,447400,395,4474,87.80509611,8.828788556,395
11,1,4,62,392840,447400,395,4474,87.80509611,8.828788556,395
12,1,4,63,392840,447400,395,4474,87.80509611,8.828788556,395
13,1,4,64,392840,447400,395,4474,87.80509611,8.828788556,395
14,1,4,65,392840,447400,395,4474,87.80509611,8.828788556,395
15,1,4,66,392840,447400,395,4474,87.80509611,8.828788556,395
16,1,4,67,392840,447400,395,4474,87.80509611,8.828788556,395
17,1,4,68,392840,447400,395,4474,87.80509611,8.828788556,395
18,1,4,69,392840,447100,395,4471,87.86401253,8.834712592,395
19,1,4,70,392840,447100,395,4471,87.86401253,8.834712592,395
20,1,4,71,392840,447200,395,4472,87.84436494,8.83273703,395
21,1,4,72,392840,446300,395,4463,88.02151019,8.850548958,395
22,1,4,73,392840,446000,395,4460,88.08071749,8.856502242,395
23,1,4,74,390870,444900,395,4449,87.85569791,8.855922679,394
24,1,4,75,390870,442600,395,4426,88.31224582,8.901943064,394
25,1,4,76,390870,441000,395,4410,88.63265306,8.934240363,394
26,1,4,77,386970,436600,395,4366,88.63261567,8.978469995,392
27,1,4,78,373210,432400,395,4324,86.31128585,9.019426457,390
28,1,4,79,371580,426700,395,4267,87.0822592,9.069603937,387
29,1,4,80,367190,424800,395,4248,86.43832392,9.086629002,386
30,1,4,81,354780,415000,395,4150,85.48915663,9.108433735,378
31,1,4,82,350850,409300,395,4093,85.71952113,9.161983875,375
32,1,4,83,346010,401100,395,4011,86.26527051,9.2495637,371
33,1,4,84,340320,383000,395,3830,88.85639687,9.608355091,368
34,1,4,85,329670,378700,395,3787,87.05307631,9.532611566,361
35,1,4,86,319870,366700,395,3667,87.22934279,9.6263976,353
36,1,4,87,318960,358400,395,3584,88.99553571,9.821428571,352
37,1,4,88,299480,341300,395,3413,87.74685028,9.844711398,336
38,1,4,89,282150,322000,395,3220,87.6242236,10.1242236,326
39,1,4,90,279970,312500,395,3125,89.5904,10.336,323
