,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,4.0,51.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
1,1.0,4.0,52.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
2,1.0,4.0,53.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
3,1.0,4.0,54.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
4,1.0,4.0,55.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
5,1.0,4.0,56.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
6,1.0,4.0,57.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
7,1.0,4.0,58.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
8,1.0,4.0,59.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
9,1.0,4.0,60.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
10,1.0,4.0,61.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
11,1.0,4.0,62.0,354000.0,406800.0,331.0,4068.0,87.02064896755162,8.136676499508358,331.0
12,1.0,4.0,63.0,354000.0,406800.0,331.0,4068.0,87.02064896755162,8.136676499508358,331.0
13,1.0,4.0,64.0,354000.0,406700.0,331.0,4067.0,87.04204573395623,8.138677157610031,331.0
14,1.0,4.0,65.0,354000.0,406700.0,331.0,4067.0,87.04204573395623,8.138677157610031,331.0
15,1.0,4.0,66.0,354000.0,406500.0,331.0,4065.0,87.08487084870849,8.142681426814267,331.0
16,1.0,4.0,67.0,353250.0,405900.0,331.0,4059.0,87.02882483370288,8.130081300813007,330.0
17,1.0,4.0,68.0,353250.0,406000.0,331.0,4060.0,87.00738916256158,8.12807881773399,330.0
18,1.0,4.0,69.0,353250.0,405700.0,331.0,4057.0,87.07172787774218,8.134089228493961,330.0
19,1.0,4.0,70.0,353250.0,404800.0,331.0,4048.0,87.2653162055336,8.152173913043478,330.0
20,1.0,4.0,71.0,350840.0,404300.0,331.0,4043.0,86.7771456838981,8.137521642344794,329.0
21,1.0,4.0,72.0,350840.0,402800.0,331.0,4028.0,87.10029791459782,8.167825223435948,329.0
22,1.0,4.0,73.0,350840.0,402800.0,331.0,4028.0,87.10029791459782,8.167825223435948,329.0
23,1.0,4.0,74.0,348770.0,401400.0,331.0,4014.0,86.88839063278525,8.146487294469356,327.0
24,1.0,4.0,75.0,349970.0,400300.0,331.0,4003.0,87.42692980264802,8.193854609043218,328.0
25,1.0,4.0,76.0,344510.0,398400.0,331.0,3984.0,86.47339357429719,8.107429718875501,323.0
26,1.0,4.0,77.0,343280.0,394200.0,331.0,3942.0,87.08269913749366,8.168442415017758,322.0
27,1.0,4.0,78.0,340120.0,393700.0,331.0,3937.0,86.39065278130556,8.10261620523241,319.0
28,1.0,4.0,79.0,338590.0,388600.0,331.0,3886.0,87.13072568193515,8.183221821924858,318.0
29,1.0,4.0,80.0,338590.0,384100.0,331.0,3841.0,88.15152304087476,8.279093985941161,318.0
30,1.0,4.0,81.0,331680.0,377300.0,331.0,3773.0,87.90882586800954,8.348794063079778,315.0
31,1.0,4.0,82.0,331680.0,371400.0,331.0,3714.0,89.30533117932148,8.481421647819062,315.0
32,1.0,4.0,83.0,330890.0,362600.0,331.0,3626.0,91.25482625482626,8.659680088251518,314.0
33,1.0,4.0,84.0,328770.0,355600.0,331.0,3556.0,92.45500562429696,8.773903262092238,312.0
