,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
3341,7.0,7.0,125.0,26170.0,20100.0,140.0,201.0,130.19900497512438,14.427860696517413,29.0,74.0
3441,7.0,8.0,126.0,26070.0,23100.0,140.0,231.0,112.85714285714286,12.554112554112553,29.0,75.0
3443,7.0,8.0,128.0,24920.0,19100.0,140.0,191.0,130.47120418848172,14.659685863874344,28.0,77.0
5506,12.0,4.0,112.0,38230.0,34300.0,53.0,343.0,111.45772594752184,3.7900874635568513,13.0,61.0
7489,16.0,4.0,115.0,46460.0,38700.0,41.0,387.0,120.05167958656332,3.1007751937984502,12.0,64.0
7589,16.0,5.0,116.0,60610.0,49300.0,41.0,493.0,122.94117647058823,2.8397565922920887,14.0,65.0
7590,16.0,5.0,117.0,56280.0,40300.0,41.0,403.0,139.65260545905707,3.2258064516129035,13.0,66.0
7591,16.0,5.0,118.0,61870.0,40700.0,41.0,407.0,152.01474201474198,3.6855036855036856,15.0,67.0
7592,16.0,5.0,119.0,49300.0,35800.0,41.0,358.0,137.7094972067039,3.6312849162011176,13.0,68.0
7690,16.0,6.0,118.0,73870.0,51700.0,41.0,517.0,142.88201160541587,3.481624758220503,18.0,67.0
7691,16.0,6.0,119.0,62170.0,46100.0,41.0,461.0,134.8590021691974,3.2537960954446854,15.0,68.0
7692,16.0,6.0,120.0,50560.0,39300.0,41.0,393.0,128.65139949109414,3.5623409669211195,14.0,69.0
7693,16.0,6.0,121.0,45770.0,35700.0,41.0,357.0,128.20728291316527,3.6414565826330536,13.0,70.0
7694,16.0,6.0,122.0,61870.0,41200.0,41.0,412.0,150.16990291262138,3.6407766990291264,15.0,71.0
7792,16.0,7.0,121.0,70170.0,47500.0,41.0,475.0,147.7263157894737,3.789473684210527,18.0,70.0
7793,16.0,7.0,122.0,65690.0,49700.0,41.0,497.0,132.17303822937626,3.2193158953722336,16.0,71.0
7794,16.0,7.0,123.0,49300.0,44200.0,41.0,442.0,111.53846153846158,2.9411764705882346,13.0,72.0
7795,16.0,7.0,124.0,60610.0,43400.0,41.0,434.0,139.65437788018434,3.2258064516129035,14.0,73.0
7796,16.0,7.0,125.0,47540.0,37500.0,41.0,375.0,126.77333333333334,3.4666666666666663,13.0,74.0
7797,16.0,7.0,126.0,51630.0,40600.0,41.0,406.0,127.16748768472908,3.4482758620689653,14.0,75.0
7798,16.0,7.0,127.0,42520.0,31500.0,41.0,315.0,134.98412698412702,3.8095238095238098,12.0,76.0
7893,16.0,8.0,123.0,60610.0,49500.0,41.0,495.0,122.44444444444444,2.8282828282828283,14.0,72.0
7894,16.0,8.0,124.0,54380.0,46900.0,41.0,469.0,115.94882729211086,3.1982942430703627,15.0,73.0
7895,16.0,8.0,125.0,61600.0,42900.0,41.0,429.0,143.5897435897436,3.4965034965034967,15.0,74.0
7896,16.0,8.0,126.0,65690.0,46100.0,41.0,461.0,142.4945770065076,3.470715835140998,16.0,75.0
7897,16.0,8.0,127.0,60610.0,39900.0,41.0,399.0,151.9047619047619,3.5087719298245608,14.0,76.0
7898,16.0,8.0,128.0,61410.0,37600.0,41.0,376.0,163.32446808510642,3.723404255319149,14.0,77.0
7899,16.0,8.0,129.0,62210.0,35800.0,41.0,358.0,173.7709497206704,4.189944134078212,15.0,78.0
8074,17.0,5.0,106.0,109810.0,91800.0,64.0,918.0,119.61873638344228,4.466230936819173,41.0,55.0
8075,17.0,5.0,107.0,95820.0,85000.0,64.0,850.0,112.72941176470587,4.705882352941177,40.0,56.0
8198,17.0,6.0,131.0,26350.0,23000.0,64.0,230.0,114.56521739130434,8.26086956521739,19.0,80.0
8199,17.0,6.0,132.0,24450.0,19900.0,64.0,199.0,122.8643216080402,9.045226130653267,18.0,81.0
8200,17.0,6.0,133.0,20030.0,17900.0,64.0,179.0,111.89944134078213,7.82122905027933,14.0,82.0
8400,17.0,8.0,135.0,30780.0,27100.0,64.0,271.0,113.57933579335793,7.7490774907749085,21.0,84.0
8401,17.0,8.0,136.0,28200.0,24300.0,64.0,243.0,116.04938271604941,8.23045267489712,20.0,85.0
8402,17.0,8.0,137.0,27980.0,25400.0,64.0,254.0,110.15748031496064,7.874015748031495,20.0,86.0
