,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
57,1.0,4.0,108.0,44240.0,39100.0,406.0,391.0,113.14578005115091,17.135549872122766,67.0,57.0
156,1.0,5.0,108.0,59620.0,53900.0,406.0,539.0,110.61224489795916,16.512059369202227,89.0,57.0
157,1.0,5.0,109.0,55940.0,48500.0,406.0,485.0,115.340206185567,17.319587628865982,84.0,58.0
158,1.0,5.0,110.0,48870.0,39700.0,406.0,397.0,123.09823677581863,18.1360201511335,72.0,59.0
257,1.0,6.0,110.0,58260.0,47800.0,406.0,478.0,121.8828451882845,18.410041841004183,88.0,59.0
258,1.0,6.0,111.0,51140.0,41600.0,406.0,416.0,122.93269230769229,18.509615384615387,77.0,60.0
259,1.0,6.0,112.0,44970.0,38000.0,406.0,380.0,118.34210526315788,18.421052631578945,70.0,61.0
356,1.0,7.0,110.0,63810.0,54400.0,406.0,544.0,117.29779411764707,17.647058823529417,96.0,59.0
357,1.0,7.0,111.0,52410.0,47600.0,406.0,476.0,110.10504201680672,16.80672268907563,80.0,60.0
358,1.0,7.0,112.0,50160.0,44000.0,406.0,440.0,114.0,17.727272727272727,78.0,61.0
457,1.0,8.0,112.0,59540.0,51000.0,406.0,510.0,116.74509803921568,17.647058823529417,90.0,61.0
458,1.0,8.0,113.0,53800.0,46600.0,406.0,466.0,115.45064377682405,18.02575107296137,84.0,62.0
459,1.0,8.0,114.0,45660.0,40800.0,406.0,408.0,111.91176470588236,17.15686274509804,70.0,63.0
460,1.0,8.0,115.0,45220.0,40500.0,406.0,405.0,111.6543209876543,17.777777777777782,72.0,64.0
3135,7.0,5.0,117.0,42000.0,34500.0,175.0,345.0,121.73913043478262,8.985507246376812,31.0,66.0
3235,7.0,6.0,118.0,48720.0,42900.0,175.0,429.0,113.56643356643356,9.324009324009324,40.0,67.0
3236,7.0,6.0,119.0,47760.0,38600.0,175.0,386.0,123.73056994818651,9.585492227979273,37.0,68.0
3237,7.0,6.0,120.0,38140.0,34100.0,175.0,341.0,111.84750733137828,8.797653958944284,30.0,69.0
3238,7.0,6.0,121.0,37040.0,29300.0,175.0,293.0,126.41638225255971,9.55631399317406,28.0,70.0
5609,12.0,5.0,116.0,37980.0,34400.0,69.0,344.0,110.40697674418604,3.4883720930232562,12.0,65.0
6214,13.0,6.0,127.0,26870.0,22800.0,101.0,228.0,117.85087719298248,6.578947368421053,15.0,76.0
7077,15.0,5.0,99.0,203510.0,175400.0,79.0,1754.0,116.02622576966931,2.8506271379703536,50.0,48.0
7079,15.0,5.0,101.0,183120.0,160200.0,79.0,1602.0,114.30711610486892,2.8714107365792763,46.0,50.0
7080,15.0,5.0,102.0,174480.0,147600.0,79.0,1476.0,118.21138211382114,3.0487804878048776,45.0,51.0
7175,15.0,6.0,98.0,213740.0,186800.0,79.0,1868.0,114.42184154175591,2.7837259100642395,52.0,47.0
7176,15.0,6.0,99.0,201730.0,177300.0,79.0,1773.0,113.77890580936266,2.8764805414551606,51.0,48.0
7177,15.0,6.0,100.0,194270.0,168100.0,79.0,1681.0,115.56811421772754,2.7364663890541343,46.0,49.0
7178,15.0,6.0,101.0,184460.0,160200.0,79.0,1602.0,115.14357053682896,2.8714107365792763,46.0,50.0
7179,15.0,6.0,102.0,169520.0,147200.0,79.0,1472.0,115.16304347826087,2.989130434782609,44.0,51.0
7274,15.0,7.0,98.0,212380.0,184500.0,79.0,1845.0,115.11111111111113,2.8184281842818426,52.0,47.0
7275,15.0,7.0,99.0,200370.0,176400.0,79.0,1764.0,113.58843537414968,2.891156462585034,51.0,48.0
7290,15.0,7.0,114.0,87540.0,73200.0,79.0,732.0,119.59016393442623,3.415300546448088,25.0,63.0
7291,15.0,7.0,115.0,93960.0,67500.0,79.0,675.0,139.2,3.555555555555556,24.0,64.0
7372,15.0,8.0,97.0,227350.0,194100.0,79.0,1941.0,117.13034518289543,2.885110767645544,56.0,46.0
7966,17.0,4.0,97.0,247570.0,216000.0,85.0,2160.0,114.61574074074076,3.4259259259259265,74.0,46.0
7972,17.0,4.0,103.0,177990.0,148900.0,85.0,1489.0,119.5366017461383,4.231027535258563,63.0,52.0
7974,17.0,4.0,105.0,156310.0,128300.0,85.0,1283.0,121.83164458300855,4.442712392829307,57.0,54.0
