,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
2038,5.0,4.0,109.0,86560.0,71500.0,278.0,715.0,121.06293706293707,11.328671328671328,81.0,58.0
2039,5.0,4.0,110.0,66330.0,56900.0,278.0,569.0,116.57293497363796,10.54481546572935,60.0,59.0
2140,5.0,5.0,112.0,73600.0,57000.0,278.0,570.0,129.12280701754386,12.105263157894735,69.0,61.0
2237,5.0,6.0,110.0,114010.0,96400.0,278.0,964.0,118.2676348547718,10.78838174273859,104.0,59.0
2238,5.0,6.0,111.0,106270.0,89600.0,278.0,896.0,118.60491071428572,10.825892857142858,97.0,60.0
2239,5.0,6.0,112.0,89500.0,72600.0,278.0,726.0,123.27823691460057,11.84573002754821,86.0,61.0
2240,5.0,6.0,113.0,86280.0,69300.0,278.0,693.0,124.50216450216448,11.544011544011545,80.0,62.0
2241,5.0,6.0,114.0,68170.0,60100.0,278.0,601.0,113.42762063227954,11.314475873544092,68.0,63.0
2242,5.0,6.0,115.0,61170.0,52900.0,278.0,529.0,115.63327032136105,11.342155009451794,60.0,64.0
2338,5.0,7.0,112.0,111530.0,91400.0,278.0,914.0,122.02407002188184,11.050328227571118,101.0,61.0
2339,5.0,7.0,113.0,100940.0,87800.0,278.0,878.0,114.96583143507972,10.933940774487471,96.0,62.0
2340,5.0,7.0,114.0,101350.0,75600.0,278.0,756.0,134.06084656084656,12.037037037037035,91.0,63.0
2341,5.0,7.0,115.0,89190.0,69400.0,278.0,694.0,128.51585014409218,11.383285302593661,79.0,64.0
2342,5.0,7.0,116.0,73720.0,61300.0,278.0,613.0,120.26101141924957,11.745513866231649,72.0,65.0
2343,5.0,7.0,117.0,61480.0,52700.0,278.0,527.0,116.66034155597723,11.005692599620495,58.0,66.0
2344,5.0,7.0,118.0,63330.0,50100.0,278.0,501.0,126.40718562874252,11.377245508982035,57.0,67.0
2436,5.0,8.0,111.0,128660.0,112300.0,278.0,1123.0,114.56812110418522,10.507569011576136,118.0,60.0
2437,5.0,8.0,112.0,120060.0,103500.0,278.0,1035.0,116.0,10.821256038647345,112.0,61.0
2438,5.0,8.0,113.0,111460.0,96100.0,278.0,961.0,115.98335067637879,10.822060353798127,104.0,62.0
2439,5.0,8.0,114.0,103750.0,88400.0,278.0,884.0,117.36425339366517,10.85972850678733,96.0,63.0
2440,5.0,8.0,115.0,104820.0,80200.0,278.0,802.0,130.69825436408976,11.72069825436409,94.0,64.0
2441,5.0,8.0,116.0,84940.0,74600.0,278.0,746.0,113.86058981233244,11.126005361930297,83.0,65.0
2442,5.0,8.0,117.0,81220.0,66500.0,278.0,665.0,122.13533834586464,11.879699248120303,79.0,66.0
2443,5.0,8.0,118.0,80430.0,63500.0,278.0,635.0,126.66141732283464,12.440944881889765,79.0,67.0
2444,5.0,8.0,119.0,69720.0,53600.0,278.0,536.0,130.07462686567163,12.873134328358212,69.0,68.0
2445,5.0,8.0,120.0,59470.0,46600.0,278.0,466.0,127.61802575107298,12.23175965665236,57.0,69.0
4025,9.0,4.0,116.0,34020.0,28300.0,152.0,283.0,120.21201413427563,12.014134275618375,34.0,65.0
7494,16.0,4.0,120.0,28890.0,24300.0,37.0,243.0,118.88888888888887,4.11522633744856,10.0,69.0
8981,19.0,4.0,122.0,31190.0,25000.0,39.0,250.0,124.76,4.4,11.0,71.0
9087,19.0,5.0,129.0,31190.0,21500.0,39.0,215.0,145.06976744186048,5.116279069767441,11.0,78.0
9088,19.0,5.0,130.0,27240.0,18300.0,39.0,183.0,148.85245901639342,4.918032786885246,9.0,79.0
10953,23.0,4.0,114.0,53950.0,46700.0,71.0,467.0,115.52462526766595,5.567451820128479,26.0,63.0
10960,23.0,4.0,121.0,24580.0,21000.0,71.0,210.0,117.04761904761904,8.095238095238095,17.0,70.0
10961,23.0,4.0,122.0,22180.0,16700.0,71.0,167.0,132.81437125748502,9.580838323353293,16.0,71.0
11052,23.0,5.0,114.0,77880.0,59900.0,71.0,599.0,130.01669449081805,5.175292153589315,31.0,63.0
11062,23.0,5.0,124.0,26530.0,24000.0,71.0,240.0,110.54166666666669,7.5,18.0,73.0
11063,23.0,5.0,125.0,25190.0,22400.0,71.0,224.0,112.45535714285715,7.5892857142857135,17.0,74.0
11064,23.0,5.0,126.0,23780.0,19800.0,71.0,198.0,120.10101010101009,8.585858585858585,17.0,75.0
11065,23.0,5.0,127.0,26850.0,17600.0,71.0,176.0,152.5568181818182,10.795454545454543,19.0,76.0
11066,23.0,5.0,128.0,22180.0,17100.0,71.0,171.0,129.70760233918128,9.35672514619883,16.0,77.0
11067,23.0,5.0,129.0,22440.0,17200.0,71.0,172.0,130.46511627906978,9.30232558139535,16.0,78.0
11069,23.0,5.0,131.0,21250.0,13200.0,71.0,132.0,160.9848484848485,11.363636363636365,15.0,80.0
11148,23.0,6.0,111.0,97850.0,85500.0,71.0,855.0,114.44444444444444,4.56140350877193,39.0,60.0
11149,23.0,6.0,112.0,89170.0,79400.0,71.0,794.0,112.30478589420656,4.534005037783375,36.0,61.0
11156,23.0,6.0,119.0,59740.0,49500.0,71.0,495.0,120.68686868686869,5.656565656565657,28.0,68.0
11165,23.0,6.0,128.0,29880.0,25900.0,71.0,259.0,115.36679536679537,7.722007722007723,20.0,77.0
11166,23.0,6.0,129.0,37380.0,27000.0,71.0,270.0,138.44444444444446,8.518518518518519,23.0,78.0
11167,23.0,6.0,130.0,23520.0,21100.0,71.0,211.0,111.4691943127962,8.056872037914692,17.0,79.0
11168,23.0,6.0,131.0,27130.0,21700.0,71.0,217.0,125.02304147465436,8.755760368663594,19.0,80.0
11169,23.0,6.0,132.0,21440.0,18400.0,71.0,184.0,116.52173913043478,8.152173913043477,15.0,81.0
11170,23.0,6.0,133.0,25270.0,19700.0,71.0,197.0,128.2741116751269,8.629441624365482,17.0,82.0
11249,23.0,7.0,113.0,99320.0,85000.0,71.0,850.0,116.84705882352941,4.470588235294118,38.0,62.0
11251,23.0,7.0,115.0,87440.0,77300.0,71.0,773.0,113.11772315653299,4.657179818887451,36.0,64.0
11265,23.0,7.0,129.0,42450.0,34300.0,71.0,343.0,123.76093294460642,7.580174927113703,26.0,78.0
11267,23.0,7.0,131.0,32710.0,29200.0,71.0,292.0,112.02054794520548,7.191780821917808,21.0,80.0
11268,23.0,7.0,132.0,28580.0,25900.0,71.0,259.0,110.34749034749035,7.335907335907336,19.0,81.0
11269,23.0,7.0,133.0,36940.0,27200.0,71.0,272.0,135.80882352941177,8.823529411764708,24.0,82.0
11276,23.0,7.0,140.0,21090.0,14000.0,71.0,140.0,150.64285714285714,10.714285714285714,15.0,89.0
11277,23.0,7.0,141.0,20540.0,15600.0,71.0,156.0,131.66666666666666,9.615384615384617,15.0,90.0
11346,23.0,8.0,111.0,115040.0,97500.0,71.0,975.0,117.9897435897436,4.307692307692308,42.0,60.0
11367,23.0,8.0,132.0,39310.0,31700.0,71.0,317.0,124.00630914826498,7.570977917981073,24.0,81.0
11368,23.0,8.0,133.0,42450.0,31300.0,71.0,313.0,135.62300319488818,8.30670926517572,26.0,82.0
11369,23.0,8.0,134.0,31220.0,27700.0,71.0,277.0,112.70758122743685,7.581227436823103,21.0,83.0
11376,23.0,8.0,141.0,22180.0,18800.0,71.0,188.0,117.97872340425532,8.51063829787234,16.0,90.0
11377,23.0,8.0,142.0,25830.0,19300.0,71.0,193.0,133.8341968911917,9.32642487046632,18.0,91.0
11378,23.0,8.0,143.0,21090.0,18100.0,71.0,181.0,116.51933701657457,8.287292817679559,15.0,92.0
11379,23.0,8.0,144.0,21080.0,16700.0,71.0,167.0,126.22754491017963,8.982035928143713,15.0,93.0
12466,26.0,4.0,142.0,13520.0,11500.0,35.0,115.0,117.56521739130434,6.956521739130435,8.0,91.0
12467,26.0,4.0,143.0,16110.0,12100.0,35.0,121.0,133.1404958677686,7.43801652892562,9.0,92.0
12468,26.0,4.0,144.0,13520.0,11200.0,35.0,112.0,120.71428571428572,7.142857142857142,8.0,93.0
12469,26.0,4.0,145.0,13520.0,11300.0,35.0,113.0,119.64601769911505,7.079646017699115,8.0,94.0
12470,26.0,4.0,146.0,13520.0,9200.0,35.0,92.0,146.95652173913044,8.695652173913043,8.0,95.0
12554,26.0,5.0,131.0,42950.0,35100.0,35.0,351.0,122.36467236467236,4.558404558404559,16.0,80.0
12560,26.0,5.0,137.0,31380.0,24600.0,35.0,246.0,127.56097560975608,5.691056910569105,14.0,86.0
12561,26.0,5.0,138.0,37300.0,24500.0,35.0,245.0,152.2448979591837,6.1224489795918355,15.0,87.0
12562,26.0,5.0,139.0,27100.0,22600.0,35.0,226.0,119.91150442477877,5.7522123893805315,13.0,88.0
12563,26.0,5.0,140.0,26720.0,23600.0,35.0,236.0,113.22033898305084,5.508474576271187,13.0,89.0
12564,26.0,5.0,141.0,24020.0,21600.0,35.0,216.0,111.20370370370371,5.5555555555555545,12.0,90.0
12565,26.0,5.0,142.0,24020.0,19400.0,35.0,194.0,123.81443298969073,6.185567010309278,12.0,91.0
12566,26.0,5.0,143.0,24020.0,21700.0,35.0,217.0,110.6912442396313,5.529953917050692,12.0,92.0
12567,26.0,5.0,144.0,22690.0,19500.0,35.0,195.0,116.35897435897436,5.641025641025642,11.0,93.0
12568,26.0,5.0,145.0,21260.0,17800.0,35.0,178.0,119.43820224719101,5.617977528089887,10.0,94.0
12656,26.0,6.0,134.0,49010.0,39000.0,35.0,390.0,125.66666666666666,4.615384615384616,18.0,83.0
12657,26.0,6.0,135.0,45860.0,37500.0,35.0,375.0,122.29333333333334,4.533333333333333,17.0,84.0
12658,26.0,6.0,136.0,43240.0,36100.0,35.0,361.0,119.77839335180056,4.709141274238228,17.0,85.0
12757,26.0,7.0,136.0,52480.0,44100.0,35.0,441.0,119.00226757369613,4.5351473922902485,20.0,85.0
12758,26.0,7.0,137.0,45810.0,39300.0,35.0,393.0,116.56488549618321,4.325699745547073,17.0,86.0
12759,26.0,7.0,138.0,45810.0,36600.0,35.0,366.0,125.1639344262295,4.644808743169398,17.0,87.0
12859,26.0,8.0,139.0,48070.0,40200.0,35.0,402.0,119.57711442786068,4.477611940298506,18.0,88.0
12860,26.0,8.0,140.0,46490.0,37700.0,35.0,377.0,123.315649867374,4.774535809018567,18.0,89.0
12861,26.0,8.0,141.0,45810.0,38800.0,35.0,388.0,118.06701030927836,4.381443298969072,17.0,90.0
12906,27.0,4.0,87.0,213850.0,181500.0,29.0,1815.0,117.82369146005509,1.1570247933884297,21.0,36.0
12907,27.0,4.0,88.0,213850.0,176400.0,29.0,1764.0,121.2301587301587,1.1904761904761905,21.0,37.0
12908,27.0,4.0,89.0,190260.0,167100.0,29.0,1671.0,113.85996409335728,1.1968880909634951,20.0,38.0
12996,27.0,5.0,78.0,277930.0,237900.0,29.0,2379.0,116.82639764606978,0.9667927700714588,23.0,27.0
12997,27.0,5.0,79.0,247780.0,213500.0,29.0,2135.0,116.05620608899295,1.0304449648711944,22.0,28.0
13093,27.0,6.0,76.0,277930.0,228400.0,29.0,2284.0,121.68563922942208,1.0070052539404553,23.0,25.0
13146,27.0,6.0,129.0,46380.0,40500.0,29.0,405.0,114.5185185185185,1.4814814814814816,6.0,78.0
13147,27.0,6.0,130.0,58820.0,40400.0,29.0,404.0,145.59405940594058,2.4752475247524752,10.0,79.0
13148,27.0,6.0,131.0,51260.0,36000.0,29.0,360.0,142.38888888888889,2.2222222222222223,8.0,80.0
13149,27.0,6.0,132.0,40450.0,34400.0,29.0,344.0,117.58720930232558,1.7441860465116281,6.0,81.0
13191,27.0,7.0,75.0,277930.0,218700.0,29.0,2187.0,127.0827617741198,1.0516689529035208,23.0,24.0
13192,27.0,7.0,76.0,277930.0,211000.0,29.0,2110.0,131.72037914691944,1.0900473933649288,23.0,25.0
13194,27.0,7.0,78.0,247780.0,199500.0,29.0,1995.0,124.20050125313284,1.1027568922305764,22.0,27.0
13195,27.0,7.0,79.0,213850.0,188400.0,29.0,1884.0,113.50849256900213,1.1146496815286624,21.0,28.0
13202,27.0,7.0,86.0,174760.0,154900.0,29.0,1549.0,112.82117495158165,1.291155584247902,20.0,35.0
13246,27.0,7.0,130.0,64140.0,44800.0,29.0,448.0,143.16964285714286,2.455357142857143,11.0,79.0
13247,27.0,7.0,131.0,51260.0,44500.0,29.0,445.0,115.19101123595507,1.7977528089887642,8.0,80.0
13290,27.0,8.0,75.0,244000.0,207000.0,29.0,2070.0,117.8743961352657,1.0628019323671498,22.0,24.0
13291,27.0,8.0,76.0,277930.0,200600.0,29.0,2006.0,138.54935194416748,1.1465603190428717,23.0,25.0
13292,27.0,8.0,77.0,208690.0,187400.0,29.0,1874.0,111.3607257203842,1.1205976520811098,21.0,26.0
13293,27.0,8.0,78.0,247780.0,197200.0,29.0,1972.0,125.64908722109531,1.1156186612576064,22.0,27.0
13294,27.0,8.0,79.0,213850.0,179600.0,29.0,1796.0,119.07015590200443,1.1692650334075725,21.0,28.0
13295,27.0,8.0,80.0,213850.0,172400.0,29.0,1724.0,124.0429234338747,1.2180974477958235,21.0,29.0
13296,27.0,8.0,81.0,213850.0,172400.0,29.0,1724.0,124.0429234338747,1.2180974477958235,21.0,30.0
13297,27.0,8.0,82.0,213850.0,171400.0,29.0,1714.0,124.76662777129522,1.2252042007001167,21.0,31.0
