,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,4.0,51.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
1,1.0,4.0,52.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
2,1.0,4.0,53.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
3,1.0,4.0,54.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
4,1.0,4.0,55.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
5,1.0,4.0,56.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
6,1.0,4.0,57.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
7,1.0,4.0,58.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
8,1.0,4.0,59.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
9,1.0,4.0,60.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
10,1.0,4.0,61.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
11,1.0,4.0,62.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
12,1.0,4.0,63.0,354000.0,406900.0,331.0,4069.0,86.99926271811256,8.134676824772672,331.0
13,1.0,4.0,64.0,354000.0,406600.0,331.0,4066.0,87.06345302508608,8.140678799803247,331.0
14,1.0,4.0,65.0,354000.0,406500.0,331.0,4065.0,87.08487084870849,8.142681426814267,331.0
15,1.0,4.0,66.0,354000.0,406100.0,331.0,4061.0,87.17064762373799,8.150701797586802,331.0
16,1.0,4.0,67.0,353130.0,405800.0,331.0,4058.0,87.0206998521439,8.132084770823065,330.0
17,1.0,4.0,68.0,354000.0,405300.0,331.0,4053.0,87.34270910436713,8.166790032075006,331.0
18,1.0,4.0,69.0,352380.0,404400.0,331.0,4044.0,87.13649851632047,8.135509396636992,329.0
19,1.0,4.0,70.0,350720.0,404200.0,331.0,4042.0,86.76892627412172,8.13953488372093,329.0
20,1.0,4.0,71.0,352380.0,403600.0,331.0,4036.0,87.30921704658078,8.15163528245788,329.0
21,1.0,4.0,72.0,348440.0,402400.0,331.0,4024.0,86.59045725646124,8.12624254473161,327.0
22,1.0,4.0,73.0,347240.0,400200.0,331.0,4002.0,86.76661669165418,8.145927036481758,326.0
23,1.0,4.0,74.0,347240.0,400100.0,331.0,4001.0,86.78830292426893,8.147963009247688,326.0
24,1.0,4.0,75.0,344950.0,397400.0,331.0,3974.0,86.80171112229492,8.152994464016103,324.0
25,1.0,4.0,76.0,345440.0,396600.0,331.0,3966.0,87.10035300050428,8.169440242057489,324.0
26,1.0,4.0,77.0,342210.0,391400.0,331.0,3914.0,87.43229432805315,8.201328564128769,321.0
27,1.0,4.0,78.0,339860.0,389500.0,331.0,3895.0,87.25545571245186,8.189987163029524,319.0
28,1.0,4.0,79.0,339860.0,385600.0,331.0,3856.0,88.13796680497926,8.272821576763485,319.0
29,1.0,4.0,80.0,333690.0,377200.0,331.0,3772.0,88.46500530222694,8.324496288441145,314.0
30,1.0,4.0,81.0,335410.0,375900.0,331.0,3759.0,89.22851822293163,8.433093907954243,317.0
31,1.0,4.0,82.0,327490.0,366700.0,331.0,3667.0,89.30733569675485,8.481047177529316,311.0
32,1.0,4.0,83.0,322450.0,361400.0,331.0,3614.0,89.22246817930272,8.522412838959601,308.0
33,1.0,4.0,84.0,318280.0,348600.0,331.0,3486.0,91.30235226620769,8.777969018932874,306.0
