,date,result_com,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,money,racer_1_b,racer_1_m,racer_2_b,racer_2_m,racer_3_b,racer_3_m,racer_4_b,racer_4_m,racer_5_b,racer_5_m,racer_6_b,racer_6_m
,2017-04-01,103,1,4573,3601,3800,4574,3417,4926,47370.0,45.0,45.0,63.0,24.0,52.0,65.0,73.0,34.0,72.0,19.0,67.0,58.0
,2017-04-01,2,2,4258,4434,3714,3998,3566,4603,500.0,36.0,52.0,37.0,75.0,76.0,68.0,74.0,69.0,40.0,30.0,32.0,43.0
,2017-04-01,44,3,4215,3471,4430,3561,3773,3833,1430.0,33.0,28.0,59.0,67.0,34.0,50.0,48.0,76.0,43.0,41.0,66.0,71.0
,2017-04-01,5,4,4678,4694,3932,4830,4924,4882,440.0,60.0,44.0,35.0,64.0,46.0,11.0,61.0,15.0,64.0,46.0,50.0,66.0
,2017-04-01,7,5,3918,4241,4329,4438,3601,4926,7190.0,70.0,27.0,57.0,54.0,41.0,16.0,65.0,21.0,63.0,24.0,67.0,58.0
,2017-04-01,43,6,4469,4574,3417,3714,4786,3443,5420.0,38.0,48.0,73.0,34.0,72.0,19.0,76.0,68.0,62.0,33.0,44.0,73.0
,2017-04-01,2,7,4402,4120,4603,3800,3561,3265,800.0,56.0,22.0,69.0,74.0,32.0,43.0,52.0,65.0,48.0,76.0,55.0,31.0
,2017-04-01,73,8,4464,4830,4882,3932,4678,4924,1400.0,47.0,47.0,61.0,15.0,50.0,66.0,46.0,11.0,60.0,44.0,64.0,46.0
,2017-04-01,117,9,4786,3773,4241,4329,4573,4434,16140.0,62.0,33.0,43.0,41.0,57.0,54.0,41.0,16.0,45.0,45.0,37.0,75.0
,2017-04-01,5,10,3443,3918,3998,4430,4694,4402,1820.0,44.0,73.0,70.0,27.0,74.0,69.0,34.0,50.0,35.0,64.0,56.0,22.0
,2017-04-01,4,11,3833,4258,4469,4464,4215,4120,1480.0,66.0,71.0,36.0,52.0,38.0,48.0,47.0,47.0,33.0,28.0,69.0,74.0
,2017-04-01,10,12,3349,3984,3782,4190,3283,4122,1790.0,51.0,59.0,58.0,51.0,53.0,38.0,49.0,32.0,75.0,17.0,54.0,63.0
,2017-04-04,4,1,4397,4055,4061,4043,4172,4659,1530.0,58.0,69.0,36.0,50.0,67.0,23.0,18.0,54.0,72.0,72.0,69.0,70.0
,2017-04-04,14,2,4503,4075,3841,3946,4044,4070,5820.0,34.0,48.0,61.0,61.0,24.0,47.0,71.0,21.0,51.0,73.0,27.0,20.0
,2017-04-04,27,3,4460,3484,3898,4235,4237,3960,10210.0,75.0,32.0,66.0,15.0,74.0,55.0,26.0,51.0,14.0,29.0,64.0,33.0
,2017-04-04,66,4,3555,4320,4171,4366,4063,4287,15860.0,50.0,66.0,73.0,64.0,54.0,75.0,28.0,63.0,76.0,57.0,37.0,11.0
,2017-04-04,1,5,4292,3966,3941,4264,3952,4096,1180.0,49.0,65.0,56.0,31.0,31.0,40.0,22.0,45.0,68.0,36.0,63.0,56.0
,2017-04-04,1,7,4256,3983,4460,4659,4477,4025,1540.0,38.0,71.0,17.0,76.0,75.0,32.0,69.0,70.0,65.0,12.0,45.0,26.0
,2017-04-04,64,8,4174,4364,4172,3960,3555,4297,4420.0,48.0,44.0,20.0,27.0,72.0,72.0,64.0,33.0,50.0,66.0,43.0,67.0
,2017-04-04,3,9,3946,3777,4320,3966,4566,3422,2890.0,71.0,21.0,47.0,60.0,73.0,64.0,56.0,31.0,15.0,35.0,46.0,16.0
,2017-04-04,2,10,4044,4171,3484,4397,4073,3952,850.0,51.0,73.0,54.0,75.0,66.0,15.0,58.0,69.0,60.0,30.0,68.0,36.0
,2017-04-04,2,11,4024,3898,4063,4096,4075,3942,790.0,25.0,53.0,74.0,55.0,76.0,57.0,63.0,56.0,61.0,61.0,16.0,24.0
,2017-04-04,96,12,3779,3388,4205,4477,4238,3783,46440.0,11.0,25.0,44.0,74.0,23.0,28.0,65.0,12.0,32.0,38.0,55.0,39.0
,2017-04-05,8,1,3841,4235,3422,4297,4171,3946,1680.0,24.0,47.0,26.0,51.0,46.0,16.0,43.0,67.0,54.0,75.0,71.0,21.0
,2017-04-05,28,3,4061,4025,4292,3388,4264,4174,26200.0,67.0,23.0,45.0,26.0,49.0,65.0,44.0,74.0,22.0,45.0,48.0,44.0
,2017-04-05,1,4,3942,3952,4024,3555,3777,4256,1210.0,16.0,24.0,68.0,36.0,25.0,53.0,50.0,66.0,47.0,60.0,38.0,71.0
,2017-04-05,1,5,3484,4070,3783,4075,3874,4460,760.0,66.0,15.0,27.0,20.0,55.0,39.0,61.0,61.0,19.0,18.0,75.0,32.0
,2017-04-05,102,7,4043,4366,4264,4073,4659,3779,6370.0,18.0,54.0,28.0,63.0,22.0,45.0,60.0,30.0,69.0,70.0,11.0,25.0
,2017-04-05,72,8,3422,4205,3777,4063,4025,3898,70280.0,46.0,16.0,23.0,52.0,47.0,60.0,76.0,57.0,45.0,26.0,74.0,55.0
,2017-04-05,82,10,3388,4297,4070,4256,4503,4397,37810.0,44.0,74.0,43.0,67.0,27.0,20.0,38.0,71.0,34.0,58.0,58.0,69.0
,2017-04-05,1,11,4238,4287,4477,3841,4366,4292,1130.0,32.0,38.0,37.0,41.0,65.0,12.0,24.0,47.0,28.0,63.0,49.0,65.0
,2017-04-06,3,1,4264,4659,4025,4460,3942,3874,1780.0,22.0,45.0,69.0,70.0,45.0,26.0,75.0,32.0,16.0,24.0,19.0,18.0
,2017-04-06,22,2,3777,4566,4308,4364,3388,4366,6280.0,47.0,60.0,15.0,35.0,13.0,62.0,20.0,27.0,44.0,74.0,28.0,63.0
,2017-04-06,2,3,4235,4061,3555,3779,4096,4043,1100.0,26.0,51.0,67.0,23.0,50.0,66.0,11.0,25.0,63.0,56.0,18.0,54.0
,2017-04-06,12,4,3952,4477,3983,3422,3960,4171,8160.0,68.0,36.0,65.0,12.0,17.0,76.0,46.0,16.0,64.0,33.0,54.0,75.0
,2017-04-06,2,5,4070,4174,4297,4238,4055,4063,710.0,27.0,20.0,48.0,44.0,43.0,67.0,32.0,38.0,36.0,59.0,76.0,57.0
,2017-04-06,82,6,4364,4024,4256,4237,3946,3966,18180.0,20.0,27.0,25.0,53.0,38.0,71.0,14.0,29.0,71.0,21.0,56.0,31.0
,2017-04-06,9,7,4075,3942,4366,4320,3898,4061,1540.0,61.0,61.0,16.0,24.0,28.0,63.0,73.0,64.0,74.0,55.0,67.0,23.0
,2017-04-06,39,8,4073,3779,4503,3874,3484,3983,30150.0,60.0,30.0,11.0,25.0,34.0,58.0,19.0,18.0,66.0,15.0,17.0,76.0
,2017-04-06,16,9,4352,4043,3952,3783,4460,4308,6220.0,21.0,17.0,18.0,54.0,68.0,36.0,55.0,39.0,75.0,32.0,13.0,62.0
,2017-04-06,8,10,4205,4063,4397,4024,4235,4477,2530.0,23.0,52.0,76.0,57.0,58.0,69.0,25.0,53.0,26.0,51.0,65.0,12.0
,2017-04-06,12,12,4320,4292,3946,3484,4070,4044,3330.0,73.0,64.0,49.0,65.0,71.0,21.0,66.0,15.0,27.0,20.0,51.0,73.0
,2017-04-07,10,1,4171,3555,4352,4061,4297,4264,1570.0,54.0,75.0,50.0,66.0,21.0,17.0,67.0,23.0,43.0,67.0,22.0,45.0
,2017-04-07,1,2,4063,3422,4055,4503,4174,3388,1360.0,76.0,57.0,46.0,16.0,36.0,59.0,34.0,58.0,48.0,44.0,44.0,74.0
,2017-04-07,2,3,4659,3841,4096,4205,4043,4073,680.0,69.0,70.0,24.0,47.0,63.0,56.0,23.0,52.0,18.0,54.0,60.0,30.0
,2017-04-07,8,4,4366,3874,3779,4025,4256,4075,3170.0,28.0,63.0,19.0,18.0,11.0,25.0,45.0,26.0,38.0,71.0,61.0,61.0
,2017-04-07,9,5,4297,4397,4237,3952,3966,4238,2450.0,43.0,67.0,58.0,69.0,14.0,29.0,68.0,36.0,56.0,31.0,32.0,38.0
,2017-04-07,52,6,3983,4503,4044,4292,4352,3777,8840.0,17.0,76.0,34.0,58.0,51.0,73.0,49.0,65.0,21.0,17.0,47.0,60.0
,2017-04-07,17,7,4308,4460,4073,4070,3422,4024,3880.0,13.0,62.0,75.0,32.0,60.0,30.0,27.0,20.0,46.0,16.0,25.0,53.0
,2017-04-07,1,8,4025,4096,3388,4171,3783,4364,1800.0,45.0,26.0,63.0,56.0,44.0,74.0,54.0,75.0,55.0,39.0,20.0,27.0
,2017-04-07,2,10,4477,4264,4174,3777,4320,4235,2210.0,65.0,12.0,22.0,45.0,48.0,44.0,47.0,60.0,73.0,64.0,26.0,51.0
,2017-04-07,11,11,3960,4256,3966,3898,4205,3484,2890.0,64.0,33.0,38.0,71.0,56.0,31.0,74.0,55.0,23.0,52.0,66.0,15.0
,2017-04-07,10,12,3783,3946,3942,4044,4397,3841,2190.0,55.0,39.0,71.0,21.0,16.0,24.0,51.0,73.0,58.0,69.0,24.0,47.0
,2017-04-08,6,1,4096,4297,4025,3966,3874,4503,1450.0,63.0,56.0,43.0,67.0,45.0,26.0,56.0,31.0,19.0,18.0,34.0,58.0
,2017-04-08,2,2,4256,4237,4174,4063,4070,4235,1670.0,38.0,71.0,14.0,29.0,48.0,44.0,76.0,57.0,27.0,20.0,26.0,51.0
,2017-04-08,12,3,3952,4364,3983,4055,4292,4460,2410.0,68.0,36.0,20.0,27.0,17.0,76.0,36.0,59.0,49.0,65.0,75.0,32.0
,2017-04-08,49,4,4397,4366,4264,4352,4061,4043,13710.0,58.0,69.0,28.0,63.0,22.0,45.0,21.0,17.0,67.0,23.0,18.0,54.0
,2017-04-08,8,5,3422,4073,4096,3388,4025,3898,1550.0,46.0,16.0,60.0,30.0,63.0,56.0,44.0,74.0,45.0,26.0,74.0,55.0
,2017-04-08,47,6,4075,4503,3966,4174,4256,4364,55800.0,61.0,61.0,34.0,58.0,56.0,31.0,48.0,44.0,38.0,71.0,20.0,27.0
,2017-04-08,38,7,4070,4235,4292,3983,4397,4297,92160.0,27.0,20.0,26.0,51.0,49.0,65.0,17.0,76.0,58.0,69.0,43.0,67.0
,2017-04-08,5,8,4055,3874,3388,4237,3952,4366,1630.0,36.0,59.0,19.0,18.0,44.0,74.0,14.0,29.0,68.0,36.0,28.0,63.0
,2017-04-08,1,9,4352,4460,4063,3422,4075,4073,630.0,21.0,17.0,75.0,32.0,76.0,57.0,46.0,16.0,61.0,61.0,60.0,30.0
,2017-04-08,1,11,4044,3783,4659,4566,3960,4171,620.0,51.0,73.0,55.0,39.0,69.0,70.0,15.0,35.0,64.0,33.0,54.0,75.0
,2017-04-08,3,12,3779,4320,3841,4477,4308,3942,770.0,11.0,25.0,73.0,64.0,24.0,47.0,65.0,12.0,13.0,62.0,16.0,24.0
,2017-04-09,21,1,4171,4237,3874,4364,4073,4043,4250.0,54.0,75.0,14.0,29.0,19.0,18.0,20.0,27.0,60.0,30.0,18.0,54.0
,2017-04-09,61,2,4566,4256,4297,4061,3983,4397,5890.0,15.0,35.0,38.0,71.0,43.0,67.0,67.0,23.0,17.0,76.0,58.0,69.0
,2017-04-09,2,3,4308,4174,3422,4096,4264,3898,1050.0,13.0,62.0,48.0,44.0,46.0,16.0,63.0,56.0,22.0,45.0,74.0,55.0
,2017-04-09,2,4,3942,4070,3952,4292,4063,4659,960.0,16.0,24.0,27.0,20.0,68.0,36.0,49.0,65.0,76.0,57.0,69.0,70.0
,2017-04-09,1,5,3946,3484,4460,3874,4352,4075,780.0,71.0,37.0,66.0,34.0,75.0,32.0,19.0,18.0,21.0,17.0,61.0,61.0
,2017-04-09,6,6,4205,3983,4364,4366,4477,4055,1470.0,23.0,52.0,17.0,76.0,20.0,27.0,28.0,63.0,65.0,12.0,36.0,59.0
,2017-04-09,6,7,3960,3841,4264,4503,4237,4256,1420.0,64.0,33.0,24.0,47.0,22.0,45.0,34.0,58.0,14.0,29.0,38.0,71.0
,2017-04-09,13,8,4024,4061,4235,4025,4070,3422,2480.0,25.0,53.0,67.0,23.0,26.0,51.0,45.0,26.0,27.0,20.0,46.0,16.0
,2017-04-09,12,9,4352,3388,4397,4055,3966,3952,2920.0,21.0,17.0,44.0,74.0,58.0,69.0,36.0,59.0,56.0,31.0,68.0,36.0
,2017-04-09,49,10,4477,3960,4566,3942,3946,4096,26520.0,65.0,12.0,64.0,33.0,15.0,35.0,16.0,24.0,71.0,37.0,63.0,56.0
,2017-04-09,41,11,4659,4205,4308,4024,3841,4171,6130.0,69.0,70.0,23.0,52.0,13.0,62.0,25.0,53.0,24.0,47.0,54.0,75.0
