,date,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2015-04-09,1250.0,1,4046,61.0,34.0,4360,56.0,51.0,3277,4.0,91.0,4647,9.0,37.0,4343,66.0,92.0,4832,62.0,89.0,21
,2015-04-09,3050.0,2,2842,13.0,72.0,4435,55.0,27.0,4287,79.0,65.0,4652,76.0,22.0,4798,39.0,25.0,4430,16.0,17.0,38
,2015-04-09,2740.0,3,2785,64.0,57.0,4389,68.0,63.0,3918,19.0,76.0,3475,80.0,33.0,4833,63.0,78.0,3919,69.0,94.0,41
,2015-04-09,780.0,4,3686,70.0,38.0,4161,73.0,75.0,4514,58.0,73.0,3887,8.0,93.0,3852,51.0,20.0,4219,75.0,30.0,10
,2015-04-09,820.0,5,3079,34.0,83.0,4016,72.0,80.0,4180,71.0,90.0,3826,50.0,24.0,4751,1.0,86.0,3552,77.0,74.0,2
,2015-04-09,1110.0,6,4397,57.0,82.0,4532,59.0,79.0,4360,56.0,51.0,4137,74.0,60.0,3605,12.0,88.0,4287,79.0,65.0,1
,2015-04-09,1660.0,7,2781,15.0,71.0,3081,35.0,32.0,3475,80.0,33.0,3880,22.0,69.0,4136,67.0,35.0,4798,39.0,25.0,33
,2015-04-09,700.0,8,4435,55.0,27.0,3877,17.0,12.0,4219,75.0,30.0,4833,63.0,78.0,4320,65.0,70.0,4538,2.0,31.0,84
,2015-04-09,630.0,9,4389,68.0,63.0,3339,11.0,87.0,4144,36.0,39.0,3859,28.0,36.0,4180,71.0,90.0,3852,51.0,20.0,7
,2015-04-09,770.0,10,4137,74.0,60.0,3409,60.0,77.0,3552,77.0,74.0,4062,78.0,28.0,3711,26.0,29.0,4343,66.0,92.0,2
,2015-04-09,1490.0,11,3081,35.0,32.0,3686,70.0,38.0,4016,72.0,80.0,4532,59.0,79.0,4430,16.0,17.0,3918,19.0,76.0,10
