,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2020-04-08,1230.0,1,2912,65.0,0.19,62.0,0.242,1,68.0,2,4299,38.0,0.14,75.0,0.268,1,60.0,2,3755,49.0,0.2,71.0,0.171,1,59.0,2,3729,48.0,0.22,46.0,0.259,1,46.0,2,3123,58.0,0.18,45.0,0.203,1,69.0,2,5119,20.0,0.19,48.0,0.0,1,71.0,1,6
,2020-04-08,10190.0,2,3516,53.0,0.15,61.0,0.23600000000000002,1,35.0,2,3911,47.0,0.16,64.0,0.35700000000000004,1,31.0,3,4706,32.0,0.19,59.0,0.319,1,40.0,2,4782,33.0,0.14,33.0,0.401,1,15.0,3,4402,35.0,0.15,36.0,0.396,1,50.0,3,4213,36.0,0.18,55.0,0.188,1,17.0,2,4
,2020-04-08,2980.0,3,3661,51.0,0.19,74.0,0.336,1,58.0,2,4422,32.0,0.19,53.0,0.18899999999999997,1,36.0,2,4736,29.0,0.15,65.0,0.478,1,66.0,4,4323,34.0,0.16,54.0,0.424,1,76.0,2,4116,39.0,0.17,49.0,0.29100000000000004,1,16.0,2,5121,19.0,0.14,56.0,0.14400000000000002,1,30.0,2,41
,2020-04-08,720.0,4,4228,37.0,0.17,63.0,0.28800000000000003,1,32.0,2,3804,46.0,0.16,15.0,0.309,1,26.0,3,4173,38.0,0.16,14.0,0.39,1,45.0,3,3587,47.0,0.16,29.0,0.215,1,24.0,2,3607,48.0,0.2,19.0,0.247,1,72.0,2,3602,50.0,0.17,22.0,0.312,1,20.0,3,1
,2020-04-08,1020.0,5,4233,37.0,0.16,41.0,0.41600000000000004,1,12.0,3,3755,49.0,0.2,71.0,0.171,1,59.0,2,3670,49.0,0.17,60.0,0.222,1,34.0,2,5027,24.0,0.18,72.0,0.048,1,49.0,2,4886,24.0,0.18,66.0,0.36,1,55.0,3,3613,48.0,0.13,69.0,0.58,1,23.0,4,1
,2020-04-08,3040.0,6,4367,35.0,0.2,51.0,0.307,1,63.0,3,3860,47.0,0.19,76.0,0.191,1,13.0,2,3965,41.0,0.17,39.0,0.38799999999999996,1,29.0,3,2912,65.0,0.19,62.0,0.242,1,68.0,2,3911,47.0,0.16,64.0,0.35700000000000004,1,31.0,3,4002,43.0,0.16,27.0,0.5539999999999999,1,47.0,4,101
,2020-04-08,2260.0,8,4126,41.0,0.16,31.0,0.20800000000000002,1,61.0,2,3623,46.0,0.16,73.0,0.5660000000000001,1,74.0,4,4323,34.0,0.16,54.0,0.424,1,76.0,2,4706,32.0,0.19,59.0,0.319,1,40.0,2,4288,36.0,0.15,58.0,0.44,1,54.0,4,4299,38.0,0.14,75.0,0.268,1,60.0,2,24
,2020-04-08,710.0,10,4402,35.0,0.15,36.0,0.396,1,50.0,3,3906,43.0,0.18,44.0,0.33299999999999996,1,21.0,2,4886,24.0,0.18,66.0,0.36,1,55.0,3,4367,35.0,0.2,51.0,0.307,1,63.0,3,3602,50.0,0.17,22.0,0.312,1,20.0,3,3538,52.0,0.18,11.0,0.34600000000000003,1,14.0,3,1
,2020-04-08,5990.0,11,3965,41.0,0.17,39.0,0.38799999999999996,1,29.0,3,4288,36.0,0.15,58.0,0.44,1,44.0,4,4641,29.0,0.16,32.0,0.317,1,70.0,2,3607,48.0,0.2,19.0,0.247,1,72.0,2,4233,37.0,0.16,41.0,0.41600000000000004,1,12.0,3,4736,29.0,0.15,65.0,0.478,1,66.0,4,17
,2020-04-09,2130.0,1,3755,49.0,0.2,71.0,0.171,1,59.0,2,5027,24.0,0.18,72.0,0.048,1,49.0,2,4299,38.0,0.14,75.0,0.268,1,60.0,2,3602,50.0,0.17,22.0,0.312,1,20.0,3,4213,36.0,0.18,55.0,0.188,1,17.0,2,5119,20.0,0.19,48.0,0.0,1,71.0,1,11
,2020-04-09,1830.0,2,3587,47.0,0.16,29.0,0.215,1,24.0,2,3729,48.0,0.22,46.0,0.259,1,46.0,2,3860,47.0,0.19,76.0,0.191,1,13.0,2,4718,27.0,0.17,68.0,0.305,1,22.0,2,4782,33.0,0.14,33.0,0.401,1,15.0,3,3906,43.0,0.18,44.0,0.33299999999999996,1,21.0,2,18
,2020-04-09,1310.0,3,3123,58.0,0.18,45.0,0.203,1,69.0,2,3538,52.0,0.18,11.0,0.34600000000000003,1,14.0,3,3804,46.0,0.16,15.0,0.309,1,26.0,3,4422,32.0,0.19,53.0,0.18899999999999997,1,36.0,2,5121,19.0,0.14,56.0,0.14400000000000002,1,30.0,2,4126,41.0,0.16,31.0,0.20800000000000002,1,61.0,2,10
,2020-04-09,1260.0,4,3607,48.0,0.2,19.0,0.247,1,72.0,2,3516,53.0,0.15,61.0,0.23600000000000002,1,35.0,2,2912,65.0,0.19,62.0,0.242,1,68.0,2,3613,48.0,0.13,69.0,0.58,1,23.0,4,4323,34.0,0.16,54.0,0.424,1,76.0,2,4367,35.0,0.2,51.0,0.307,1,63.0,3,12
,2020-04-09,2230.0,5,4379,36.0,0.17,20.0,0.40399999999999997,1,53.0,3,4706,32.0,0.19,59.0,0.319,1,40.0,2,4228,37.0,0.17,63.0,0.28800000000000003,1,32.0,2,3911,47.0,0.16,64.0,0.35700000000000004,1,31.0,3,5027,24.0,0.18,72.0,0.048,1,49.0,2,3623,46.0,0.16,73.0,0.5660000000000001,1,74.0,4,8
,2020-04-09,2740.0,6,3664,50.0,0.16,70.0,0.466,1,64.0,3,3602,50.0,0.17,22.0,0.312,1,20.0,3,3587,47.0,0.16,29.0,0.215,1,24.0,2,3860,47.0,0.19,76.0,0.191,1,13.0,2,3965,41.0,0.17,39.0,0.38799999999999996,1,29.0,3,4402,35.0,0.15,36.0,0.396,1,50.0,3,8
,2020-04-09,2040.0,7,4173,38.0,0.16,14.0,0.39,1,45.0,3,4233,37.0,0.16,41.0,0.41600000000000004,1,12.0,3,3729,48.0,0.22,46.0,0.259,1,46.0,2,4299,38.0,0.14,75.0,0.268,1,60.0,2,4002,43.0,0.16,27.0,0.5539999999999999,1,47.0,4,5121,19.0,0.14,56.0,0.14400000000000002,1,30.0,2,7
