,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2014-04-01,3590.0,1,2606,64.0,0.24,56.0,0.17300000000000001,1,28.0,2,4584,25.0,0.17,64.0,0.25,1,17.0,2,4152,34.0,0.17,58.0,0.379,1,19.0,3,4750,27.0,0.19,32.0,0.065,1,77.0,1,4321,29.0,0.18,73.0,0.377,1,24.0,3,3492,47.0,0.16,66.0,0.14400000000000002,1,87.0,2,5
,2014-04-01,1290.0,2,4489,28.0,0.17,35.0,0.252,1,50.0,2,3860,41.0,0.18,68.0,0.35700000000000004,1,59.0,2,4704,26.0,0.15,70.0,0.34700000000000003,1,72.0,2,4623,30.0,0.25,52.0,0.16399999999999998,1,16.0,2,4089,34.0,0.17,21.0,0.44799999999999995,1,25.0,4,4800,21.0,0.19,9.0,0.0,1,10.0,1,81
,2014-04-01,4270.0,3,4119,33.0,0.18,31.0,0.342,1,68.0,3,3075,52.0,0.14,62.0,0.397,1,78.0,3,3921,39.0,0.16,61.0,0.36200000000000004,1,26.0,3,4204,32.0,0.21,24.0,0.1,1,55.0,2,4278,31.0,0.16,30.0,0.452,1,67.0,4,4793,24.0,0.23,67.0,0.034,1,75.0,1,89
,2014-04-01,6990.0,4,2380,64.0,0.19,11.0,0.302,1,73.0,2,3161,54.0,0.19,71.0,0.37,1,61.0,3,4428,29.0,0.19,37.0,0.268,1,51.0,2,4470,27.0,0.13,12.0,0.423,1,85.0,3,4706,26.0,0.2,63.0,0.1,1,82.0,2,3734,41.0,0.17,16.0,0.423,1,70.0,3,64
,2014-04-01,4260.0,5,3190,52.0,0.19,69.0,0.19399999999999998,1,56.0,2,3955,37.0,0.18,75.0,0.4,1,84.0,3,3746,39.0,0.16,18.0,0.5539999999999999,1,36.0,4,4200,32.0,0.18,7.0,0.27399999999999997,1,86.0,2,4772,21.0,0.18,54.0,0.146,1,83.0,2,4518,27.0,0.17,72.0,0.281,1,54.0,2,106
,2014-04-01,5910.0,6,3997,35.0,0.19,25.0,0.496,1,38.0,4,3888,39.0,0.16,51.0,0.509,1,80.0,4,3860,41.0,0.18,68.0,0.35700000000000004,1,59.0,2,4321,29.0,0.18,73.0,0.377,1,24.0,3,4520,27.0,0.19,65.0,0.25,1,37.0,2,3523,46.0,0.18,34.0,0.29100000000000004,1,81.0,2,14
,2014-04-01,910.0,7,4110,34.0,0.16,8.0,0.311,1,30.0,2,4458,28.0,0.17,28.0,0.218,1,88.0,2,3915,40.0,0.18,59.0,0.581,1,71.0,4,3811,39.0,0.17,57.0,0.435,1,11.0,3,4800,21.0,0.19,9.0,0.0,1,10.0,1,3905,37.0,0.16,27.0,0.32299999999999995,1,79.0,3,6
,2014-04-01,990.0,8,3404,47.0,0.19,4.0,0.171,1,76.0,2,3010,56.0,0.15,50.0,0.512,1,74.0,4,4584,25.0,0.17,64.0,0.25,1,17.0,2,4710,25.0,0.18,74.0,0.3,1,20.0,2,4121,33.0,0.18,33.0,0.292,1,14.0,2,4428,29.0,0.19,37.0,0.268,1,51.0,2,26
,2014-04-01,1030.0,9,3075,52.0,0.14,62.0,0.397,1,78.0,3,3122,53.0,0.18,60.0,0.32,1,89.0,2,4076,36.0,0.18,14.0,0.4,1,66.0,3,4489,28.0,0.17,35.0,0.252,1,50.0,2,3878,37.0,0.17,17.0,0.294,1,31.0,2,4706,26.0,0.2,63.0,0.1,1,82.0,2,5
,2014-04-01,2990.0,10,3161,54.0,0.19,71.0,0.37,1,61.0,3,4152,34.0,0.17,58.0,0.379,1,19.0,3,3523,46.0,0.18,34.0,0.29100000000000004,1,81.0,2,4251,31.0,0.2,29.0,0.24,1,53.0,2,4518,27.0,0.17,72.0,0.281,1,54.0,2,4633,25.0,0.18,38.0,0.282,1,15.0,2,23
