,date,result_com,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,money,racer_1_b,racer_1_m,racer_2_b,racer_2_m,racer_3_b,racer_3_m,racer_4_b,racer_4_m,racer_5_b,racer_5_m,racer_6_b,racer_6_m
,2020-04-08,6,1,2912,4299,3755,3729,3123,5119,1230.0,62.0,68.0,75.0,60.0,71.0,59.0,46.0,46.0,45.0,69.0,48.0,71.0
,2020-04-08,4,2,3516,3911,4706,4782,4402,4213,10190.0,61.0,35.0,64.0,31.0,59.0,40.0,33.0,15.0,36.0,50.0,55.0,17.0
,2020-04-08,41,3,3661,4422,4736,4323,4116,5121,2980.0,74.0,58.0,53.0,36.0,65.0,66.0,54.0,76.0,49.0,16.0,56.0,30.0
,2020-04-08,1,4,4228,3804,4173,3587,3607,3602,720.0,63.0,32.0,15.0,26.0,14.0,45.0,29.0,24.0,19.0,72.0,22.0,20.0
,2020-04-08,1,5,4233,3755,3670,5027,4886,3613,1020.0,41.0,12.0,71.0,59.0,60.0,34.0,72.0,49.0,66.0,55.0,69.0,23.0
,2020-04-08,101,6,4367,3860,3965,2912,3911,4002,3040.0,51.0,63.0,76.0,13.0,39.0,29.0,62.0,68.0,64.0,31.0,27.0,47.0
,2020-04-08,24,8,4126,3623,4323,4706,4288,4299,2260.0,31.0,61.0,73.0,74.0,54.0,76.0,59.0,40.0,58.0,54.0,75.0,60.0
,2020-04-08,1,10,4402,3906,4886,4367,3602,3538,710.0,36.0,50.0,44.0,21.0,66.0,55.0,51.0,63.0,22.0,20.0,11.0,14.0
,2020-04-08,17,11,3965,4288,4641,3607,4233,4736,5990.0,39.0,29.0,58.0,44.0,32.0,70.0,19.0,72.0,41.0,12.0,65.0,66.0
,2020-04-09,11,1,3755,5027,4299,3602,4213,5119,2130.0,71.0,59.0,72.0,49.0,75.0,60.0,22.0,20.0,55.0,17.0,48.0,71.0
,2020-04-09,18,2,3587,3729,3860,4718,4782,3906,1830.0,29.0,24.0,46.0,46.0,76.0,13.0,68.0,22.0,33.0,15.0,44.0,21.0
,2020-04-09,10,3,3123,3538,3804,4422,5121,4126,1310.0,45.0,69.0,11.0,14.0,15.0,26.0,53.0,36.0,56.0,30.0,31.0,61.0
,2020-04-09,12,4,3607,3516,2912,3613,4323,4367,1260.0,19.0,72.0,61.0,35.0,62.0,68.0,69.0,23.0,54.0,76.0,51.0,63.0
,2020-04-09,8,5,4379,4706,4228,3911,5027,3623,2230.0,20.0,53.0,59.0,40.0,63.0,32.0,64.0,31.0,72.0,49.0,73.0,74.0
,2020-04-09,8,6,3664,3602,3587,3860,3965,4402,2740.0,70.0,64.0,22.0,20.0,29.0,24.0,76.0,13.0,39.0,29.0,36.0,50.0
,2020-04-09,7,7,4173,4233,3729,4299,4002,5121,2040.0,14.0,45.0,41.0,12.0,46.0,46.0,75.0,60.0,27.0,47.0,56.0,30.0
,2020-04-09,106,8,4736,4886,4422,3623,4718,4288,74060.0,65.0,66.0,66.0,55.0,53.0,36.0,73.0,74.0,68.0,22.0,58.0,44.0
,2020-04-09,41,9,4641,3123,4544,4213,3664,3670,2450.0,32.0,70.0,45.0,69.0,57.0,33.0,55.0,17.0,70.0,64.0,60.0,34.0
,2020-04-09,1,10,4002,4379,4367,4126,3516,4116,340.0,27.0,47.0,20.0,53.0,51.0,63.0,31.0,61.0,61.0,35.0,49.0,16.0
,2020-04-09,2,11,3613,4736,4233,4402,3804,3661,590.0,69.0,23.0,65.0,66.0,41.0,12.0,36.0,50.0,15.0,26.0,74.0,58.0
,2020-04-09,5,12,4544,4173,4288,3965,3538,4228,650.0,57.0,33.0,14.0,45.0,58.0,44.0,39.0,29.0,11.0,14.0,63.0,32.0
,2020-04-10,5,1,4299,4718,3911,4323,5121,2912,690.0,75.0,60.0,68.0,22.0,64.0,31.0,54.0,76.0,56.0,30.0,62.0,68.0
,2020-04-10,62,2,4213,3607,3906,4886,3729,5119,4090.0,55.0,17.0,19.0,72.0,44.0,21.0,66.0,55.0,46.0,46.0,48.0,71.0
,2020-04-10,105,3,3602,3664,4782,4706,3755,4641,27790.0,22.0,20.0,70.0,64.0,33.0,15.0,59.0,40.0,71.0,59.0,32.0,70.0
,2020-04-10,5,4,4116,3661,4233,4228,3123,3965,1530.0,49.0,16.0,74.0,58.0,41.0,12.0,63.0,32.0,45.0,69.0,39.0,29.0
,2020-04-10,6,5,3670,4323,3623,3516,3860,4173,1630.0,60.0,34.0,54.0,76.0,73.0,74.0,61.0,35.0,76.0,13.0,14.0,45.0
,2020-04-10,81,7,4402,4213,4706,4126,4736,5027,5040.0,36.0,50.0,55.0,17.0,59.0,40.0,31.0,61.0,65.0,66.0,72.0,49.0
