,date,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2020-04-01,500.0,1,3882,73.0,21.0,3313,74.0,26.0,4376,80.0,24.0,3246,39.0,63.0,3073,63.0,65.0,5099,51.0,35.0,6
,2020-04-01,4320.0,2,3593,27.0,15.0,3660,19.0,60.0,3058,69.0,54.0,3475,35.0,13.0,4434,31.0,36.0,5004,23.0,80.0,3
,2020-04-01,640.0,3,4631,68.0,17.0,4269,32.0,81.0,4362,67.0,68.0,4918,10.0,66.0,4952,75.0,53.0,4968,30.0,62.0,1
,2020-04-01,960.0,4,3372,61.0,27.0,4099,83.0,33.0,3986,58.0,70.0,3361,71.0,76.0,4537,66.0,19.0,5064,21.0,52.0,23
,2020-04-01,15350.0,5,3582,76.0,64.0,4799,70.0,84.0,4129,24.0,82.0,4564,53.0,20.0,4405,29.0,28.0,4318,79.0,57.0,77
,2020-04-01,2400.0,6,4000,26.0,73.0,3925,84.0,56.0,4375,14.0,16.0,4812,28.0,39.0,3058,69.0,54.0,4366,50.0,14.0,79
,2020-04-01,10080.0,7,4021,52.0,83.0,3388,81.0,72.0,3660,19.0,60.0,4759,72.0,37.0,4314,62.0,23.0,3246,39.0,63.0,6
,2020-04-01,1010.0,8,3282,22.0,71.0,4421,64.0,11.0,3882,73.0,21.0,4483,36.0,50.0,3709,78.0,25.0,3936,65.0,67.0,9
,2020-04-01,730.0,9,3488,82.0,51.0,4434,31.0,36.0,3073,63.0,65.0,4952,75.0,53.0,3543,59.0,12.0,4129,24.0,82.0,13
,2020-04-01,630.0,10,4375,14.0,16.0,3475,35.0,13.0,3313,74.0,26.0,4269,32.0,81.0,4564,53.0,20.0,3986,58.0,70.0,2
,2020-04-01,900.0,11,4099,83.0,33.0,4376,80.0,24.0,4812,28.0,39.0,4405,29.0,28.0,4759,72.0,37.0,4182,33.0,75.0,3
,2020-04-01,3240.0,12,3388,81.0,72.0,4537,66.0,19.0,4366,50.0,14.0,3582,76.0,64.0,4362,67.0,68.0,4483,36.0,50.0,21
,2020-04-02,700.0,1,3246,39.0,63.0,3936,65.0,67.0,3543,59.0,12.0,4968,30.0,62.0,3313,74.0,26.0,5004,23.0,80.0,7
,2020-04-02,7690.0,2,3058,69.0,54.0,4182,33.0,75.0,4564,53.0,20.0,3986,58.0,70.0,5099,51.0,35.0,4631,68.0,17.0,28
,2020-04-02,1110.0,3,3925,84.0,56.0,4918,10.0,66.0,4537,66.0,19.0,4318,79.0,57.0,5064,21.0,52.0,4021,52.0,83.0,52
,2020-04-02,1860.0,4,4405,29.0,28.0,3488,82.0,51.0,3372,61.0,27.0,4314,62.0,23.0,4799,70.0,84.0,3361,71.0,76.0,29
,2020-04-02,2310.0,5,4483,36.0,50.0,3073,63.0,65.0,3709,78.0,25.0,3593,27.0,15.0,5004,23.0,80.0,4812,28.0,39.0,6
,2020-04-02,2260.0,6,4376,80.0,24.0,4952,75.0,53.0,4269,32.0,81.0,3282,22.0,71.0,3660,19.0,60.0,3582,76.0,64.0,44
,2020-04-02,740.0,7,4564,53.0,20.0,4362,67.0,68.0,3246,39.0,63.0,5064,21.0,52.0,4129,24.0,82.0,4759,72.0,37.0,24
,2020-04-02,2410.0,8,3986,58.0,70.0,3882,73.0,21.0,4918,10.0,66.0,4366,50.0,14.0,4968,30.0,62.0,3372,61.0,27.0,10
,2020-04-02,1600.0,9,4314,62.0,23.0,4631,68.0,17.0,4421,64.0,11.0,3925,84.0,56.0,3388,81.0,72.0,4434,31.0,36.0,7
,2020-04-02,16300.0,10,3475,35.0,13.0,4021,52.0,83.0,3582,76.0,64.0,4099,83.0,33.0,3593,27.0,15.0,3543,59.0,12.0,78
,2020-04-02,1400.0,11,4537,66.0,19.0,4759,72.0,37.0,3361,71.0,76.0,4182,33.0,75.0,4375,14.0,16.0,3282,22.0,71.0,9
,2020-04-02,1510.0,12,4362,67.0,68.0,4812,28.0,39.0,4318,79.0,57.0,3488,82.0,51.0,3882,73.0,21.0,4269,32.0,81.0,9
,2020-04-03,1050.0,1,3936,65.0,67.0,3372,61.0,27.0,4952,75.0,53.0,3709,78.0,25.0,5004,23.0,80.0,5099,51.0,35.0,5
,2020-04-03,2950.0,2,3361,71.0,76.0,4318,79.0,57.0,4799,70.0,84.0,4421,64.0,11.0,3475,35.0,13.0,4968,30.0,62.0,87
,2020-04-03,5920.0,3,4129,24.0,82.0,3582,76.0,64.0,3282,22.0,71.0,3313,74.0,26.0,3925,84.0,56.0,4314,62.0,23.0,6
,2020-04-03,4180.0,4,4182,33.0,75.0,4366,50.0,14.0,4405,29.0,28.0,3073,63.0,65.0,4483,36.0,50.0,5064,21.0,52.0,85
,2020-04-03,770.0,5,4812,28.0,39.0,3246,39.0,63.0,4631,68.0,17.0,4021,52.0,83.0,3372,61.0,27.0,4376,80.0,24.0,12
,2020-04-03,5760.0,6,3543,59.0,12.0,4375,14.0,16.0,3593,27.0,15.0,4362,67.0,68.0,4421,64.0,11.0,3488,82.0,51.0,5
,2020-04-03,1510.0,7,4434,31.0,36.0,3361,71.0,76.0,4314,62.0,23.0,3058,69.0,54.0,5099,51.0,35.0,4099,83.0,33.0,17
,2020-04-03,2130.0,8,4318,79.0,57.0,4405,29.0,28.0,3936,65.0,67.0,3388,81.0,72.0,4918,10.0,66.0,4564,53.0,20.0,77
,2020-04-03,1300.0,9,4269,32.0,81.0,3709,78.0,25.0,4182,33.0,75.0,4799,70.0,84.0,4631,68.0,17.0,4537,66.0,19.0,20
,2020-04-03,1600.0,10,4759,72.0,37.0,3986,58.0,70.0,4483,36.0,50.0,3882,73.0,21.0,4021,52.0,83.0,4375,14.0,16.0,6
,2020-04-03,830.0,11,4366,50.0,14.0,3543,59.0,12.0,4434,31.0,36.0,3660,19.0,60.0,3282,22.0,71.0,3475,35.0,13.0,3
,2020-04-03,1070.0,12,3388,81.0,72.0,4129,24.0,82.0,4099,83.0,33.0,4376,80.0,24.0,3488,82.0,51.0,5004,23.0,80.0,42
,2020-04-04,770.0,1,3073,63.0,65.0,3593,27.0,15.0,4318,79.0,57.0,5099,51.0,35.0,3936,65.0,67.0,4799,70.0,84.0,47
,2020-04-04,3430.0,2,4918,10.0,66.0,4564,53.0,20.0,4182,33.0,75.0,4968,30.0,62.0,3986,58.0,70.0,3058,69.0,54.0,33
,2020-04-04,10580.0,4,3709,78.0,25.0,4759,72.0,37.0,3388,81.0,72.0,3543,59.0,12.0,3246,39.0,63.0,5064,21.0,52.0,55
,2020-04-04,7920.0,5,4483,36.0,50.0,3372,61.0,27.0,3925,84.0,56.0,4129,24.0,82.0,3361,71.0,76.0,4099,83.0,33.0,109
,2020-04-04,2980.0,6,3660,19.0,60.0,4314,62.0,23.0,4812,28.0,39.0,4366,50.0,14.0,3882,73.0,21.0,4968,30.0,62.0,9
,2020-04-04,7290.0,7,4421,64.0,11.0,4537,66.0,19.0,4376,80.0,24.0,4405,29.0,28.0,3582,76.0,64.0,5099,51.0,35.0,2
,2020-04-04,730.0,8,4362,67.0,68.0,4375,14.0,16.0,3475,35.0,13.0,4434,31.0,36.0,4631,68.0,17.0,4952,75.0,53.0,6
,2020-04-04,680.0,9,4366,50.0,14.0,3543,59.0,12.0,4269,32.0,81.0,4564,53.0,20.0,3282,22.0,71.0,4182,33.0,75.0,5
,2020-04-04,1200.0,10,4537,66.0,19.0,4483,36.0,50.0,3488,82.0,55.0,4759,72.0,37.0,4318,79.0,57.0,3593,27.0,15.0,10
,2020-04-04,1740.0,11,4099,83.0,33.0,4376,80.0,24.0,4362,67.0,68.0,4812,28.0,39.0,3388,81.0,72.0,4021,52.0,34.0,11
,2020-04-04,930.0,12,3475,35.0,13.0,3660,19.0,60.0,4421,64.0,11.0,3936,65.0,67.0,3313,74.0,26.0,3709,78.0,25.0,2
,2020-04-05,2300.0,1,4799,70.0,84.0,3361,71.0,76.0,4918,10.0,66.0,3073,63.0,65.0,4405,29.0,28.0,5064,21.0,52.0,33
,2020-04-05,2700.0,2,4952,75.0,53.0,3660,19.0,60.0,3925,84.0,56.0,4421,64.0,11.0,3058,69.0,54.0,5099,51.0,35.0,9
,2020-04-05,800.0,3,4564,53.0,20.0,4021,52.0,34.0,3593,27.0,15.0,5004,23.0,80.0,4375,14.0,16.0,4968,30.0,62.0,1
,2020-04-05,1740.0,4,4376,80.0,24.0,3488,82.0,55.0,3882,73.0,21.0,3372,61.0,27.0,4129,24.0,82.0,3246,39.0,63.0,8
,2020-04-05,710.0,5,3582,76.0,64.0,4799,70.0,84.0,4631,68.0,17.0,3313,74.0,26.0,3936,65.0,67.0,4362,67.0,68.0,18
,2020-04-05,2450.0,6,4182,33.0,75.0,4434,31.0,36.0,3986,58.0,70.0,4483,36.0,50.0,5064,21.0,52.0,3925,84.0,56.0,62
,2020-04-05,1680.0,7,4318,79.0,57.0,4952,75.0,53.0,3709,78.0,25.0,4269,32.0,81.0,3388,81.0,72.0,4918,10.0,66.0,83
,2020-04-05,500.0,8,3282,22.0,71.0,3058,69.0,54.0,4314,62.0,23.0,3582,76.0,64.0,3073,63.0,65.0,5004,23.0,80.0,6
,2020-04-05,1320.0,9,4434,31.0,36.0,3246,39.0,63.0,3313,74.0,26.0,4375,14.0,16.0,4421,64.0,11.0,3475,35.0,13.0,4
,2020-04-05,580.0,10,4362,67.0,68.0,4318,79.0,57.0,4376,80.0,24.0,4182,33.0,75.0,3593,27.0,15.0,3660,19.0,60.0,6
,2020-04-05,6210.0,11,3488,82.0,55.0,3388,81.0,72.0,4483,36.0,50.0,3282,22.0,71.0,4021,52.0,34.0,4564,53.0,20.0,46
,2020-04-05,1080.0,12,4099,83.0,33.0,4537,66.0,19.0,4366,50.0,14.0,4759,72.0,37.0,4812,28.0,39.0,3543,59.0,12.0,6
,2020-04-10,900.0,1,3533,32.0,79.0,3243,12.0,56.0,4355,74.0,74.0,3108,38.0,54.0,2907,69.0,15.0,5003,18.0,64.0,5
,2020-04-10,3330.0,2,3692,54.0,85.0,3277,72.0,77.0,4653,37.0,86.0,3297,34.0,65.0,3461,16.0,55.0,5089,55.0,34.0,45
,2020-04-10,3340.0,3,3772,57.0,82.0,3690,20.0,10.0,5015,10.0,73.0,4131,79.0,24.0,4949,15.0,80.0,5052,80.0,16.0,21
