,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,1340.0,1,3158,29.0,21.0,4689,54.0,53.0,4034,56.0,43.0,4081,46.0,37.0,5000,63.0,34.0,5021,30.0,42.0,5
,19650.0,2,4155,71.0,30.0,3105,42.0,17.0,3070,23.0,52.0,4254,24.0,50.0,4065,18.0,11.0,4365,61.0,60.0,22
,680.0,4,4494,55.0,28.0,4515,51.0,51.0,4181,34.0,46.0,4880,72.0,64.0,4303,20.0,31.0,5069,40.0,12.0,1
,1310.0,5,4046,65.0,22.0,3541,50.0,40.0,3233,19.0,57.0,4509,22.0,75.0,4575,64.0,44.0,4689,54.0,53.0,27
,8160.0,6,4065,18.0,11.0,4588,38.0,58.0,4448,35.0,24.0,4078,32.0,25.0,3158,29.0,21.0,4970,62.0,23.0,89
,3170.0,7,4081,46.0,37.0,4365,61.0,60.0,3931,74.0,61.0,4289,67.0,15.0,3973,59.0,68.0,3662,39.0,72.0,4
,3030.0,8,3220,15.0,29.0,4363,69.0,14.0,4880,72.0,64.0,5000,63.0,34.0,4254,24.0,50.0,5108,13.0,33.0,13
,6060.0,9,4181,34.0,46.0,4317,57.0,38.0,4575,64.0,44.0,4330,11.0,55.0,3346,68.0,18.0,4034,56.0,43.0,14
,1550.0,10,4509,22.0,75.0,3809,70.0,54.0,4610,12.0,47.0,4005,17.0,39.0,5021,30.0,42.0,3070,23.0,52.0,44
,760.0,11,3105,42.0,17.0,3233,19.0,57.0,4263,45.0,69.0,4733,75.0,74.0,4494,55.0,28.0,4343,58.0,63.0,3
,4150.0,12,3541,50.0,40.0,3662,39.0,72.0,3711,25.0,62.0,4363,69.0,14.0,4448,35.0,24.0,4515,51.0,51.0,14
,34350.0,1,4289,67.0,15.0,4909,27.0,48.0,4689,54.0,53.0,4317,57.0,38.0,4733,75.0,74.0,5069,40.0,12.0,69
,1280.0,2,3233,19.0,57.0,3346,68.0,18.0,4515,51.0,51.0,3541,50.0,40.0,4263,45.0,69.0,4880,72.0,64.0,6
,2470.0,3,3662,39.0,72.0,4303,20.0,31.0,4254,24.0,50.0,5021,30.0,42.0,4078,32.0,25.0,4330,11.0,55.0,44
,370.0,4,4448,35.0,24.0,4155,71.0,30.0,4005,17.0,39.0,3973,59.0,68.0,3809,70.0,54.0,5108,13.0,33.0,2
,9480.0,5,4317,57.0,38.0,3070,23.0,52.0,4970,62.0,23.0,4588,38.0,58.0,4081,46.0,37.0,3711,25.0,62.0,19
,87280.0,6,4263,45.0,69.0,4034,56.0,43.0,3158,29.0,21.0,5069,40.0,12.0,4363,69.0,14.0,4575,64.0,44.0,94
,1310.0,7,4078,32.0,25.0,4509,22.0,75.0,3105,42.0,17.0,4909,27.0,48.0,4515,51.0,51.0,3931,74.0,61.0,1
,1100.0,9,4005,17.0,39.0,4610,12.0,47.0,4733,75.0,74.0,4303,20.0,31.0,3541,50.0,40.0,4588,38.0,58.0,3
