,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,4.0,51.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
1,1.0,4.0,52.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
2,1.0,4.0,53.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
3,1.0,4.0,54.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
4,1.0,4.0,55.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
5,1.0,4.0,56.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
6,1.0,4.0,57.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
7,1.0,4.0,58.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
8,1.0,4.0,59.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
9,1.0,4.0,60.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
10,1.0,4.0,61.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
11,1.0,4.0,62.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
12,1.0,4.0,63.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
13,1.0,4.0,64.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
14,1.0,4.0,65.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
15,1.0,4.0,66.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
16,1.0,4.0,67.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
17,1.0,4.0,68.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
18,1.0,4.0,69.0,392840.0,447300.0,395.0,4473.0,87.82472613458529,8.830762351889113,395.0
19,1.0,4.0,70.0,392840.0,447300.0,395.0,4473.0,87.82472613458529,8.830762351889113,395.0
20,1.0,4.0,71.0,392840.0,447300.0,395.0,4473.0,87.82472613458529,8.830762351889113,395.0
21,1.0,4.0,72.0,392840.0,447300.0,395.0,4473.0,87.82472613458529,8.830762351889113,395.0
22,1.0,4.0,73.0,392840.0,447100.0,395.0,4471.0,87.86401252516217,8.834712592261239,395.0
23,1.0,4.0,74.0,390870.0,446400.0,395.0,4464.0,87.56048387096774,8.82616487455197,394.0
24,1.0,4.0,75.0,392840.0,445600.0,395.0,4456.0,88.15978456014363,8.864452423698383,395.0
25,1.0,4.0,76.0,390870.0,443700.0,395.0,4437.0,88.09330628803245,8.879873788595898,394.0
26,1.0,4.0,77.0,390870.0,442700.0,395.0,4427.0,88.29229726677208,8.899932234018523,394.0
27,1.0,4.0,78.0,388400.0,439900.0,395.0,4399.0,88.29279381677654,8.93384860195499,393.0
28,1.0,4.0,79.0,375280.0,435200.0,395.0,4352.0,86.23161764705883,8.961397058823529,390.0
29,1.0,4.0,80.0,376710.0,434000.0,395.0,4340.0,86.79953917050692,9.009216589861751,391.0
30,1.0,4.0,81.0,368150.0,428300.0,395.0,4283.0,85.95610553350456,8.989026383376137,385.0
31,1.0,4.0,82.0,365170.0,421500.0,395.0,4215.0,86.63582443653618,9.11032028469751,384.0
32,1.0,4.0,83.0,358510.0,410300.0,395.0,4103.0,87.37752863758226,9.237143553497441,379.0
33,1.0,4.0,84.0,353480.0,406500.0,395.0,4065.0,86.95694956949569,9.27429274292743,377.0
34,1.0,4.0,85.0,346430.0,396700.0,395.0,3967.0,87.32795563398034,9.377363246785984,372.0
35,1.0,4.0,86.0,339710.0,378600.0,395.0,3786.0,89.72794506075013,9.693608029582673,367.0
36,1.0,4.0,87.0,329320.0,368300.0,395.0,3683.0,89.41623676350801,9.720336682052674,358.0
37,1.0,4.0,88.0,317120.0,350700.0,395.0,3507.0,90.42486455660108,10.008554319931566,351.0
38,1.0,4.0,89.0,314610.0,350700.0,395.0,3507.0,89.70915312232678,9.894496720844026,347.0
39,1.0,4.0,90.0,289160.0,329200.0,395.0,3292.0,87.83718104495748,10.11543134872418,333.0
40,1.0,4.0,91.0,295050.0,317600.0,395.0,3176.0,92.89987405541562,10.516372795969774,334.0
41,1.0,4.0,92.0,278480.0,304200.0,395.0,3042.0,91.54503616042078,10.61801446416831,323.0
42,1.0,4.0,93.0,267950.0,291200.0,395.0,2912.0,92.0157967032967,10.782967032967033,314.0
43,1.0,4.0,94.0,259730.0,272400.0,395.0,2724.0,95.34875183553598,11.233480176211454,306.0
44,1.0,4.0,95.0,248030.0,256900.0,395.0,2569.0,96.54729466718568,11.483067341377968,295.0
45,1.0,4.0,96.0,233690.0,241300.0,395.0,2413.0,96.84624948197265,11.686697057604642,282.0
46,1.0,4.0,97.0,221820.0,229300.0,395.0,2293.0,96.73789795028347,11.90580026166594,273.0
47,1.0,4.0,98.0,212440.0,216700.0,395.0,2167.0,98.03414859252423,12.18274111675127,264.0
48,1.0,4.0,99.0,201850.0,206800.0,395.0,2068.0,97.6063829787234,12.23404255319149,253.0
49,1.0,4.0,100.0,183460.0,198100.0,395.0,1981.0,92.60979303382129,12.115093387178193,240.0
50,1.0,4.0,101.0,175730.0,187600.0,395.0,1876.0,93.67270788912579,12.313432835820896,231.0
51,1.0,4.0,102.0,158360.0,172600.0,395.0,1726.0,91.7497103128621,12.456546929316339,215.0
52,1.0,4.0,103.0,148010.0,163400.0,395.0,1634.0,90.58139534883722,12.545899632802938,205.0
53,1.0,4.0,104.0,141370.0,144700.0,395.0,1447.0,97.69868693849344,13.545266067726331,196.0
54,1.0,4.0,105.0,129170.0,135900.0,395.0,1359.0,95.04782928623989,13.392200147167035,182.0
55,1.0,4.0,106.0,113560.0,128100.0,395.0,1281.0,88.64949258391881,12.88056206088993,165.0
56,1.0,4.0,107.0,99820.0,116700.0,395.0,1167.0,85.53556126820908,12.93916023993145,151.0
57,1.0,4.0,108.0,96190.0,106800.0,395.0,1068.0,90.06554307116104,13.670411985018728,146.0
58,1.0,4.0,109.0,89550.0,99300.0,395.0,993.0,90.18126888217523,13.79657603222558,137.0
59,1.0,4.0,110.0,77380.0,90200.0,395.0,902.0,85.78713968957872,13.52549889135255,122.0
60,1.0,4.0,111.0,68510.0,80700.0,395.0,807.0,84.89467162329616,14.002478314745973,113.0
61,1.0,4.0,112.0,70000.0,76600.0,395.0,766.0,91.38381201044386,14.882506527415144,114.0
62,1.0,4.0,113.0,50690.0,62300.0,395.0,623.0,81.36436597110755,14.285714285714285,89.0
63,1.0,4.0,114.0,41540.0,55900.0,395.0,559.0,74.31127012522361,13.059033989266547,73.0
64,1.0,4.0,115.0,37360.0,48200.0,395.0,482.0,77.51037344398341,13.900414937759336,67.0
65,1.0,4.0,116.0,31130.0,41100.0,395.0,411.0,75.74209245742092,14.111922141119221,58.0
66,1.0,4.0,117.0,26250.0,31800.0,395.0,318.0,82.54716981132076,14.779874213836477,47.0
67,1.0,4.0,118.0,17910.0,23500.0,395.0,235.0,76.2127659574468,14.893617021276595,35.0
68,1.0,4.0,119.0,14960.0,16600.0,395.0,166.0,90.12048192771084,17.46987951807229,29.0
69,1.0,4.0,120.0,8310.0,11200.0,395.0,112.0,74.19642857142857,14.285714285714285,16.0
70,1.0,4.0,121.0,7560.0,8700.0,395.0,87.0,86.89655172413792,17.24137931034483,15.0
71,1.0,4.0,122.0,6460.0,9100.0,395.0,91.0,70.98901098901099,14.285714285714285,13.0
72,1.0,4.0,123.0,3290.0,5900.0,395.0,59.0,55.762711864406775,11.864406779661017,7.0
73,1.0,4.0,124.0,1940.0,3100.0,395.0,31.0,62.58064516129033,12.903225806451612,4.0
74,1.0,4.0,125.0,2330.0,3000.0,395.0,30.0,77.66666666666666,16.666666666666664,5.0
75,1.0,4.0,126.0,1050.0,1300.0,395.0,13.0,80.76923076923077,23.076923076923077,3.0
76,1.0,4.0,127.0,0.0,1000.0,395.0,10.0,0.0,0.0,0.0
77,1.0,4.0,128.0,0.0,700.0,395.0,7.0,0.0,0.0,0.0
78,1.0,4.0,129.0,0.0,400.0,395.0,4.0,0.0,0.0,0.0
