,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
1647,4.0,5.0,114.0,56640.0,46600.0,154.0,466.0,121.5450643776824,10.300429184549355,48.0,63.0
1648,4.0,5.0,115.0,50510.0,43600.0,154.0,436.0,115.84862385321102,9.862385321100918,43.0,64.0
1649,4.0,5.0,116.0,46190.0,39000.0,154.0,390.0,118.43589743589745,10.256410256410255,40.0,65.0
1650,4.0,5.0,117.0,43550.0,38300.0,154.0,383.0,113.7075718015666,10.182767624020887,39.0,66.0
1651,4.0,5.0,118.0,42690.0,33100.0,154.0,331.0,128.97280966767372,10.876132930513597,36.0,67.0
1653,4.0,5.0,120.0,37380.0,27000.0,154.0,270.0,138.44444444444446,12.222222222222221,33.0,69.0
1654,4.0,5.0,121.0,37900.0,27000.0,154.0,270.0,140.37037037037038,12.592592592592592,34.0,70.0
1655,4.0,5.0,122.0,27130.0,22600.0,154.0,226.0,120.04424778761064,11.50442477876106,26.0,71.0
1657,4.0,5.0,124.0,26760.0,19900.0,154.0,199.0,134.47236180904522,12.562814070351758,25.0,73.0
1753,4.0,6.0,121.0,47080.0,35900.0,154.0,359.0,131.14206128133705,11.142061281337046,40.0,70.0
1759,4.0,6.0,127.0,26160.0,21700.0,154.0,217.0,120.55299539170507,11.52073732718894,25.0,76.0
1760,4.0,6.0,128.0,28310.0,20300.0,154.0,203.0,139.45812807881774,12.807881773399014,26.0,77.0
1761,4.0,6.0,129.0,26540.0,18700.0,154.0,187.0,141.92513368983956,13.903743315508022,26.0,78.0
1857,4.0,7.0,126.0,44820.0,32600.0,154.0,326.0,137.48466257668713,11.65644171779141,38.0,75.0
1858,4.0,7.0,127.0,33880.0,28800.0,154.0,288.0,117.63888888888887,11.111111111111109,32.0,76.0
1859,4.0,7.0,128.0,33720.0,27700.0,154.0,277.0,121.73285198555956,12.274368231046932,34.0,77.0
1860,4.0,7.0,129.0,35470.0,27000.0,154.0,270.0,131.37037037037035,11.851851851851851,32.0,78.0
1861,4.0,7.0,130.0,36410.0,25900.0,154.0,259.0,140.5791505791506,12.355212355212355,32.0,79.0
1862,4.0,7.0,131.0,26120.0,22500.0,154.0,225.0,116.08888888888887,11.111111111111109,25.0,80.0
1863,4.0,7.0,132.0,30860.0,21800.0,154.0,218.0,141.55963302752298,12.385321100917432,27.0,81.0
1950,4.0,8.0,120.0,62680.0,51300.0,154.0,513.0,122.1832358674464,10.1364522417154,52.0,69.0
1951,4.0,8.0,121.0,63220.0,50300.0,154.0,503.0,125.68588469184893,10.536779324055665,53.0,70.0
1952,4.0,8.0,122.0,55380.0,45000.0,154.0,450.0,123.06666666666666,10.666666666666668,48.0,71.0
1953,4.0,8.0,123.0,50180.0,44900.0,154.0,449.0,111.75946547884188,10.244988864142536,46.0,72.0
1954,4.0,8.0,124.0,51220.0,42700.0,154.0,427.0,119.95316159250585,10.53864168618267,45.0,73.0
1955,4.0,8.0,125.0,44260.0,38900.0,154.0,389.0,113.7789203084833,10.282776349614396,40.0,74.0
1956,4.0,8.0,126.0,49680.0,39500.0,154.0,395.0,125.7721518987342,10.632911392405065,42.0,75.0
1962,4.0,8.0,132.0,41250.0,28400.0,154.0,284.0,145.24647887323945,12.323943661971832,35.0,81.0
1963,4.0,8.0,133.0,29670.0,24900.0,154.0,249.0,119.1566265060241,11.646586345381527,29.0,82.0
1964,4.0,8.0,134.0,33310.0,24600.0,154.0,246.0,135.40650406504065,12.601626016260164,31.0,83.0
1965,4.0,8.0,135.0,35090.0,24600.0,154.0,246.0,142.64227642276424,12.601626016260164,31.0,84.0
1966,4.0,8.0,136.0,28550.0,22600.0,154.0,226.0,126.32743362831856,12.389380530973453,28.0,85.0
1967,4.0,8.0,137.0,29880.0,22300.0,154.0,223.0,133.99103139013454,12.556053811659195,28.0,86.0
1968,4.0,8.0,138.0,24690.0,20600.0,154.0,206.0,119.85436893203881,12.135922330097088,25.0,87.0
1971,4.0,8.0,141.0,28460.0,19000.0,154.0,190.0,149.78947368421052,13.684210526315795,26.0,90.0
5018,11.0,4.0,119.0,37460.0,28200.0,125.0,282.0,132.83687943262413,10.28368794326241,29.0,68.0
5019,11.0,4.0,120.0,29520.0,23600.0,125.0,236.0,125.08474576271186,10.16949152542373,24.0,69.0
5020,11.0,4.0,121.0,30210.0,20300.0,125.0,203.0,148.81773399014781,11.330049261083744,23.0,70.0
5121,11.0,5.0,123.0,31190.0,27300.0,125.0,273.0,114.24908424908425,9.157509157509157,25.0,72.0
5122,11.0,5.0,124.0,30330.0,25300.0,125.0,253.0,119.8814229249012,9.881422924901186,25.0,73.0
5325,11.0,7.0,129.0,36710.0,31700.0,125.0,317.0,115.8044164037855,9.463722397476339,30.0,78.0
6613,14.0,5.0,130.0,21330.0,17700.0,101.0,177.0,120.5084745762712,11.299435028248588,20.0,79.0
