,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,4.0,51.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
1,1.0,4.0,52.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
2,1.0,4.0,53.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
3,1.0,4.0,54.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
4,1.0,4.0,55.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
5,1.0,4.0,56.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
6,1.0,4.0,57.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
7,1.0,4.0,58.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
8,1.0,4.0,59.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
9,1.0,4.0,60.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
10,1.0,4.0,61.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
11,1.0,4.0,62.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
12,1.0,4.0,63.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
13,1.0,4.0,64.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
14,1.0,4.0,65.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
15,1.0,4.0,66.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
16,1.0,4.0,67.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
17,1.0,4.0,68.0,392840.0,447400.0,395.0,4474.0,87.80509611086276,8.828788556101923,395.0
18,1.0,4.0,69.0,392840.0,447100.0,395.0,4471.0,87.86401252516217,8.834712592261239,395.0
19,1.0,4.0,70.0,392840.0,447100.0,395.0,4471.0,87.86401252516217,8.834712592261239,395.0
20,1.0,4.0,71.0,392840.0,447200.0,395.0,4472.0,87.84436493738819,8.83273703041145,395.0
21,1.0,4.0,72.0,392840.0,446300.0,395.0,4463.0,88.02151019493614,8.850548958099932,395.0
22,1.0,4.0,73.0,392840.0,446000.0,395.0,4460.0,88.08071748878923,8.856502242152468,395.0
23,1.0,4.0,74.0,390870.0,444900.0,395.0,4449.0,87.85569790964261,8.855922679253766,394.0
24,1.0,4.0,75.0,390870.0,442600.0,395.0,4426.0,88.31224582015363,8.901943063714416,394.0
25,1.0,4.0,76.0,390870.0,441000.0,395.0,4410.0,88.63265306122449,8.934240362811792,394.0
26,1.0,4.0,77.0,386970.0,436600.0,395.0,4366.0,88.63261566651397,8.978469995419148,392.0
27,1.0,4.0,78.0,373210.0,432400.0,395.0,4324.0,86.31128584643848,9.019426456984274,390.0
28,1.0,4.0,79.0,371580.0,426700.0,395.0,4267.0,87.08225919850013,9.069603937192406,387.0
29,1.0,4.0,80.0,367190.0,424800.0,395.0,4248.0,86.43832391713747,9.086629001883239,386.0
30,1.0,4.0,81.0,354780.0,415000.0,395.0,4150.0,85.48915662650603,9.10843373493976,378.0
31,1.0,4.0,82.0,350850.0,409300.0,395.0,4093.0,85.7195211336428,9.16198387490838,375.0
32,1.0,4.0,83.0,346010.0,401100.0,395.0,4011.0,86.26527050610821,9.24956369982548,371.0
33,1.0,4.0,84.0,340320.0,383000.0,395.0,3830.0,88.85639686684073,9.608355091383812,368.0
34,1.0,4.0,85.0,329670.0,378700.0,395.0,3787.0,87.05307631370478,9.532611565883284,361.0
35,1.0,4.0,86.0,319870.0,366700.0,395.0,3667.0,87.22934278701936,9.626397600218162,353.0
36,1.0,4.0,87.0,318960.0,358400.0,395.0,3584.0,88.99553571428571,9.821428571428571,352.0
37,1.0,4.0,88.0,299480.0,341300.0,395.0,3413.0,87.7468502783475,9.844711397597422,336.0
38,1.0,4.0,89.0,282150.0,322000.0,395.0,3220.0,87.62422360248448,10.124223602484472,326.0
39,1.0,4.0,90.0,279970.0,312500.0,395.0,3125.0,89.5904,10.335999999999999,323.0
40,1.0,4.0,91.0,271400.0,297600.0,395.0,2976.0,91.19623655913979,10.651881720430108,317.0
41,1.0,4.0,92.0,266940.0,286700.0,395.0,2867.0,93.10777816532962,10.847575863271713,311.0
42,1.0,4.0,93.0,257840.0,271500.0,395.0,2715.0,94.96869244935543,11.197053406998158,304.0
43,1.0,4.0,94.0,251820.0,260900.0,395.0,2609.0,96.5197393637409,11.383671904944423,297.0
44,1.0,4.0,95.0,245240.0,253800.0,395.0,2538.0,96.62726556343577,11.544523246650906,293.0
45,1.0,4.0,96.0,232230.0,238700.0,395.0,2387.0,97.28948470883955,11.855886049434435,283.0
46,1.0,4.0,97.0,217420.0,230900.0,395.0,2309.0,94.16197488090083,11.779991338241663,272.0
47,1.0,4.0,98.0,204920.0,215200.0,395.0,2152.0,95.22304832713755,11.942379182156133,257.0
48,1.0,4.0,99.0,196390.0,206400.0,395.0,2064.0,95.1501937984496,12.112403100775193,250.0
49,1.0,4.0,100.0,188240.0,199500.0,395.0,1995.0,94.35588972431079,12.030075187969924,240.0
50,1.0,4.0,101.0,178920.0,190700.0,395.0,1907.0,93.82275825904563,12.21814368117462,233.0
51,1.0,4.0,102.0,164810.0,178400.0,395.0,1784.0,92.3822869955157,12.387892376681615,221.0
52,1.0,4.0,103.0,153600.0,165500.0,395.0,1655.0,92.809667673716,12.628398791540786,209.0
53,1.0,4.0,104.0,148060.0,155000.0,395.0,1550.0,95.5225806451613,13.096774193548388,203.0
54,1.0,4.0,105.0,135120.0,146200.0,395.0,1462.0,92.42134062927497,12.92749658002736,189.0
55,1.0,4.0,106.0,127560.0,134500.0,395.0,1345.0,94.84014869888476,13.45724907063197,181.0
56,1.0,4.0,107.0,109520.0,125700.0,395.0,1257.0,87.12808273667461,12.728719172633255,160.0
57,1.0,4.0,108.0,98940.0,114000.0,395.0,1140.0,86.78947368421052,12.982456140350877,148.0
58,1.0,4.0,109.0,93380.0,104900.0,395.0,1049.0,89.01811248808389,13.44137273593899,141.0
59,1.0,4.0,110.0,82520.0,98800.0,395.0,988.0,83.52226720647774,12.854251012145749,127.0
60,1.0,4.0,111.0,80180.0,90200.0,395.0,902.0,88.89135254988913,13.636363636363635,123.0
61,1.0,4.0,112.0,78260.0,84900.0,395.0,849.0,92.17903415783275,14.016489988221437,119.0
62,1.0,4.0,113.0,65630.0,79000.0,395.0,790.0,83.07594936708861,13.291139240506327,105.0
63,1.0,4.0,114.0,60890.0,70400.0,395.0,704.0,86.49147727272727,13.920454545454545,98.0
64,1.0,4.0,115.0,50890.0,62000.0,395.0,620.0,82.08064516129032,14.032258064516128,87.0
65,1.0,4.0,116.0,44220.0,55500.0,395.0,555.0,79.67567567567568,13.873873873873874,77.0
66,1.0,4.0,117.0,38030.0,49200.0,395.0,492.0,77.29674796747967,14.02439024390244,69.0
67,1.0,4.0,118.0,28830.0,39300.0,395.0,393.0,73.3587786259542,13.486005089058525,53.0
68,1.0,4.0,119.0,26310.0,33400.0,395.0,334.0,78.77245508982035,14.37125748502994,48.0
69,1.0,4.0,120.0,21130.0,27600.0,395.0,276.0,76.55797101449275,14.130434782608695,39.0
70,1.0,4.0,121.0,15360.0,18200.0,395.0,182.0,84.3956043956044,14.285714285714285,26.0
71,1.0,4.0,122.0,12280.0,19200.0,395.0,192.0,63.95833333333333,11.979166666666668,23.0
72,1.0,4.0,123.0,10990.0,11400.0,395.0,114.0,96.40350877192982,18.421052631578945,21.0
73,1.0,4.0,124.0,5370.0,7500.0,395.0,75.0,71.6,14.666666666666666,11.0
74,1.0,4.0,125.0,4690.0,7400.0,395.0,74.0,63.37837837837837,12.162162162162163,9.0
75,1.0,4.0,126.0,2630.0,3200.0,395.0,32.0,82.1875,15.625,5.0
76,1.0,4.0,127.0,3210.0,2900.0,395.0,29.0,110.68965517241381,20.689655172413794,6.0
77,1.0,4.0,128.0,1300.0,1300.0,395.0,13.0,100.0,15.384615384615385,2.0
78,1.0,4.0,129.0,350.0,1000.0,395.0,10.0,35.0,10.0,1.0
