,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2014-04-01,4890.0,2,3576,42.0,0.18,16.0,0.562,1,69.0,4,3619,41.0,0.21,47.0,0.375,1,41.0,3,3730,42.0,0.15,36.0,0.441,1,54.0,3,4109,34.0,0.13,33.0,0.515,1,59.0,4,3108,51.0,0.18,48.0,0.33,1,55.0,2,4323,28.0,0.19,28.0,0.168,1,57.0,2,4
,2014-04-01,1710.0,3,3981,37.0,0.17,25.0,0.48200000000000004,1,43.0,4,3643,42.0,0.19,55.0,0.247,1,44.0,2,4250,32.0,0.17,17.0,0.302,1,73.0,2,3841,38.0,0.15,49.0,0.426,1,14.0,3,4761,24.0,0.22,21.0,0.024,1,28.0,1,4040,35.0,0.13,37.0,0.429,1,68.0,3,1
,2014-04-01,1200.0,4,3826,41.0,0.17,20.0,0.5660000000000001,1,64.0,4,4122,33.0,0.17,65.0,0.42200000000000004,1,31.0,3,3846,38.0,0.16,67.0,0.151,1,12.0,2,3400,47.0,0.21,39.0,0.225,1,17.0,2,2596,66.0,0.2,53.0,0.20800000000000002,1,11.0,2,4268,29.0,0.17,69.0,0.204,1,39.0,2,9
,2014-04-01,4680.0,5,2907,60.0,0.21,59.0,0.214,1,60.0,2,3070,53.0,0.16,38.0,0.43200000000000005,1,65.0,3,4645,34.0,0.14,60.0,0.396,1,38.0,3,4377,30.0,0.18,63.0,0.369,1,71.0,3,4688,22.0,0.18,31.0,0.32,1,27.0,2,3838,39.0,0.14,56.0,0.485,1,75.0,4,46
,2014-04-01,4340.0,6,3965,35.0,0.15,22.0,0.348,1,25.0,2,4059,35.0,0.16,12.0,0.369,1,37.0,3,4323,28.0,0.19,28.0,0.168,1,57.0,2,4647,32.0,0.26,40.0,0.0,1,46.0,1,3286,46.0,0.17,54.0,0.387,1,36.0,3,3743,40.0,0.17,68.0,0.391,1,48.0,3,3
,2014-04-01,12840.0,7,4195,32.0,0.15,62.0,0.31,1,45.0,2,3409,45.0,0.19,18.0,0.385,1,26.0,3,3725,43.0,0.18,45.0,0.423,1,52.0,3,3534,42.0,0.14,19.0,0.5329999999999999,1,18.0,4,2788,59.0,0.16,50.0,0.193,1,35.0,2,4250,32.0,0.17,17.0,0.302,1,73.0,2,78
,2014-04-01,1940.0,8,3619,41.0,0.21,47.0,0.375,1,41.0,3,3880,41.0,0.18,66.0,0.278,1,33.0,2,4268,29.0,0.17,69.0,0.204,1,39.0,2,4330,31.0,0.15,43.0,0.466,1,13.0,4,4666,31.0,0.14,44.0,0.253,1,23.0,2,3841,38.0,0.15,49.0,0.426,1,14.0,3,10
,2014-04-01,1690.0,9,3643,42.0,0.19,55.0,0.247,1,44.0,2,4449,27.0,0.21,32.0,0.153,1,66.0,2,4122,33.0,0.17,65.0,0.42200000000000004,1,31.0,3,4655,27.0,0.2,51.0,0.0,1,22.0,1,3838,39.0,0.14,56.0,0.485,1,75.0,4,3730,42.0,0.15,36.0,0.441,1,54.0,3,7
,2014-04-01,5290.0,10,3804,40.0,0.17,34.0,0.28800000000000003,1,34.0,2,3400,47.0,0.21,39.0,0.225,1,17.0,2,3981,37.0,0.17,25.0,0.48200000000000004,1,43.0,4,3723,44.0,0.17,35.0,0.185,1,67.0,2,4645,34.0,0.14,60.0,0.396,1,38.0,3,4109,34.0,0.13,33.0,0.515,1,59.0,4,2
,2014-04-01,10510.0,11,4377,30.0,0.18,63.0,0.369,1,71.0,3,3576,42.0,0.18,16.0,0.562,1,69.0,4,3236,52.0,0.18,52.0,0.29,1,16.0,2,2596,66.0,0.2,53.0,0.20800000000000002,1,11.0,2,4040,35.0,0.13,37.0,0.429,1,68.0,3,4647,32.0,0.26,40.0,0.0,1,46.0,1,41
