,date,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2013-04-07,880.0,1,3711,41.0,43.0,3408,54.0,32.0,4221,43.0,25.0,3636,68.0,72.0,3571,27.0,53.0,4315,33.0,24.0,9
,2013-04-07,2740.0,2,3574,70.0,61.0,3713,34.0,69.0,3350,18.0,11.0,4111,19.0,29.0,3419,55.0,60.0,4386,52.0,13.0,41
,2013-04-07,800.0,3,3641,59.0,38.0,4235,17.0,68.0,3950,45.0,54.0,4305,37.0,20.0,4323,48.0,28.0,3972,56.0,58.0,11
,2013-04-07,9630.0,5,3408,54.0,32.0,3010,53.0,30.0,4311,14.0,59.0,3804,12.0,15.0,4006,64.0,27.0,4214,28.0,67.0,32
,2013-04-07,3590.0,6,3728,32.0,74.0,3627,35.0,21.0,4386,52.0,13.0,4294,44.0,34.0,4315,33.0,24.0,3805,46.0,45.0,79
,2013-04-07,2010.0,7,4007,62.0,51.0,4305,37.0,20.0,3713,34.0,69.0,3788,57.0,46.0,2844,11.0,35.0,3390,25.0,23.0,10
,2013-04-07,6590.0,8,3202,38.0,63.0,4251,40.0,22.0,3135,60.0,12.0,3419,55.0,60.0,3950,45.0,33.0,3636,68.0,72.0,41
,2013-04-07,3780.0,9,4396,26.0,70.0,3574,70.0,61.0,3571,27.0,53.0,4235,17.0,68.0,4691,36.0,14.0,4311,14.0,59.0,25
,2013-04-07,33200.0,10,3627,35.0,21.0,4491,23.0,41.0,4006,64.0,27.0,4323,48.0,28.0,4712,42.0,26.0,3350,18.0,11.0,66
,2013-04-07,1740.0,11,2958,20.0,66.0,4111,19.0,29.0,3740,65.0,36.0,3805,46.0,45.0,3974,13.0,44.0,4715,15.0,47.0,10
,2013-04-07,2190.0,12,3010,53.0,30.0,3297,39.0,56.0,3641,59.0,38.0,3711,41.0,43.0,3788,57.0,46.0,4294,44.0,34.0,6
,2013-04-08,4400.0,1,3805,46.0,45.0,3419,55.0,60.0,4251,40.0,22.0,2844,11.0,35.0,4315,33.0,24.0,4691,36.0,14.0,22
,2013-04-08,5620.0,2,3740,65.0,36.0,4214,28.0,67.0,3064,67.0,39.0,3641,59.0,38.0,4311,14.0,59.0,4007,62.0,51.0,13
,2013-04-08,10110.0,3,3350,18.0,11.0,3950,45.0,33.0,4235,17.0,68.0,4491,23.0,41.0,4111,19.0,29.0,3804,12.0,15.0,53
,2013-04-08,32570.0,5,4251,40.0,22.0,4294,44.0,34.0,3713,34.0,69.0,3974,13.0,44.0,3574,70.0,61.0,3728,32.0,74.0,58
,2013-04-08,1730.0,6,3571,27.0,53.0,3636,68.0,72.0,3297,39.0,56.0,3135,60.0,12.0,3641,59.0,38.0,4305,37.0,20.0,43
,2013-04-08,1960.0,7,3950,45.0,33.0,4006,64.0,27.0,3805,46.0,45.0,3202,38.0,63.0,3010,53.0,30.0,4712,42.0,26.0,54
